Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Jacksonville Jaguars,JAC,ARI,1,6,1.4,0.9
2,Pittsburgh Steelers,PIT,GB,1,7,2.3,1.1
3,Baltimore Ravens,BAL,HOU,1,7,3.3,1.0
4,Cincinnati Bengals,CIN,CLE,2,10,4.1,1.3
5,Philadelphia Eagles,PHI,CHI,1,10,4.6,1.4
6,Seattle Seahawks,SEA,SF,1,15,6.9,2.2
7,Carolina Panthers,CAR,NYJ,3,20,7.5,2.1
8,New England Patriots,NE,MIA,4,13,7.6,1.7
9,Kansas City Chiefs,KC,BUF,6,17,10.0,2.4
10,Atlanta Falcons,ATL,TB,7,16,11.0,2.0
11,Minnesota Vikings,MIN,DET,6,18,11.1,2.1
12,Washington Redskins,WAS,NYG,7,23,12.2,2.5
13,Los Angeles Chargers,LAC,DAL,7,21,13.8,3.1
14,Arizona Cardinals,ARI,JAC,5,27,14.2,3.1
15,Houston Texans,HOU,BAL,7,22,15.3,2.5
16,Denver Broncos,DEN,OAK,7,29,15.7,3.3
17,Tennessee Titans,TEN,IND,8,23,16.4,2.5
18,Detroit Lions,DET,MIN,10,28,17.4,3.1
19,New Orleans Saints,NO,LAR,8,28,19.4,3.3
20,Dallas Cowboys,DAL,LAC,13,30,20.7,2.1
21,Oakland Raiders,OAK,DEN,3,28,18.1,4.5
22,Los Angeles Rams,LAR,NO,13,28,21.0,3.0
23,New York Jets,NYJ,CAR,16,30,21.4,3.2
24,Cleveland Browns,CLE,CIN,11,27,22.4,3.2
25,Indianapolis Colts,IND,TEN,20,31,24.6,2.4
26,New York Giants,NYG,WAS,20,31,26.5,2.6
27,Tampa Bay Buccaneers,TB,ATL,19,31,26.8,2.6
28,San Francisco 49ers,SF,SEA,21,32,27.5,2.4
29,Chicago Bears,CHI,PHI,19,31,28.2,2.1
30,Buffalo Bills,BUF,KC,18,32,28.8,3.4
31,Green Bay Packers,GB,PIT,20,32,29.2,2.4
32,Miami Dolphins,MIA,NE,27,32,31.6,1.0
