Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Le'Veon Bell,PIT,GB,1,6,1.3,0.8
2,Todd Gurley,LAR,NO,1,5,2.4,1.1
3,Mark Ingram,NO,LAR,1,11,3.9,1.7
4,Kareem Hunt,KC,BUF,1,11,4.7,2.3
5,Alvin Kamara,NO,LAR,2,16,5.2,2.2
6,LeSean McCoy,BUF,KC,2,12,5.8,2.0
7,Melvin Gordon,LAC,DAL,3,9,6.6,1.5
8,Christian McCaffrey,CAR,NYJ,6,16,8.5,2.2
9,Leonard Fournette,JAC,ARI,5,15,9.4,2.1
10,Carlos Hyde,SF,SEA,6,22,10.0,2.1
11,Tevin Coleman,ATL,TB,3,23,11.6,3.3
12,DeMarco Murray,TEN,IND,9,23,13.1,3.4
13,Lamar Miller,HOU,BAL,10,35,14.2,4.5
14,Jordan Howard,CHI,PHI,8,23,15.2,3.1
15,Jerick McKinnon,MIN,DET,9,21,15.9,3.0
16,Samaje Perine,WAS,NYG,10,51,17.6,6.6
17,Dion Lewis,NE,MIA,10,37,18.0,4.1
18,Orleans Darkwa,NYG,WAS,12,32,19.9,4.1
19,Joe Mixon,CIN,CLE,5,36,20.1,5.0
20,Duke Johnson,CLE,CIN,8,30,20.2,4.9
21,Alfred Morris,DAL,LAC,12,48,21.9,6.3
22,Jay Ajayi,PHI,CHI,12,48,22.6,7.5
23,Alex Collins,BAL,HOU,3,59,25.4,8.0
24,Latavius Murray,MIN,DET,14,44,25.8,6.2
25,Rex Burkhead,NE,MIA,18,43,26.9,6.3
26,Damien Williams,MIA,NE,15,38,28.4,5.4
27,Ameer Abdullah,DET,MIN,18,42,28.6,4.6
28,Jamaal Williams,GB,PIT,17,58,29.4,7.5
29,Adrian Peterson,ARI,JAC,18,48,29.9,6.6
30,Danny Woodhead,BAL,HOU,14,63,31.0,8.9
31,Bilal Powell,NYJ,CAR,16,44,30.9,6.5
32,Doug Martin,TB,ATL,16,46,31.0,5.4
33,Devontae Booker,DEN,OAK,18,63,34.0,8.1
34,Isaiah Crowell,CLE,CIN,25,46,34.1,4.8
35,Marshawn Lynch,OAK,DEN,25,50,34.2,5.0
36,Kenyan Drake,MIA,NE,19,46,33.9,6.5
37,J.D. McKissic,SEA,SF,16,50,36.8,6.2
38,Frank Gore,IND,TEN,22,48,37.2,6.8
39,Austin Ekeler,LAC,DAL,25,45,37.6,4.3
40,Theo Riddick,DET,MIN,17,47,37.8,6.3
41,James White,NE,MIA,24,66,38.3,6.2
42,C.J. Anderson,DEN,OAK,15,48,40.1,6.4
43,Tarik Cohen,CHI,PHI,23,52,40.9,6.1
44,Derrick Henry,TEN,IND,29,66,44.4,6.5
45,Elijah McGuire,NYJ,CAR,40,84,46.8,7.1
46,Marlon Mack,IND,TEN,36,66,47.9,5.4
47,Jonathan Stewart,CAR,NYJ,30,62,48.2,5.2
48,Rod Smith,DAL,LAC,26,60,49.4,6.5
49,Ty Montgomery,GB,PIT,16,79,48.6,14.7
50,Corey Clement,PHI,CHI,20,61,50.0,6.8
51,T.J. Yeldon,JAC,ARI,26,61,49.6,5.7
52,Byron Marshall,WAS,NYG,35,71,53.8,9.1
53,LeGarrette Blount,PHI,CHI,25,70,54.5,7.1
54,Matt Forte,NYJ,CAR,34,95,57.2,12.8
55,Charcandrick West,KC,BUF,38,65,53.3,5.9
56,Benny Cunningham,CHI,PHI,35,81,58.8,9.3
57,Giovani Bernard,CIN,CLE,29,66,57.2,6.6
58,Charles Sims,TB,ATL,40,68,56.0,6.3
59,Travaris Cadet,BUF,KC,43,73,56.5,7.5
60,Matt Breida,SF,SEA,36,68,56.8,5.4
61,Shane Vereen,NYG,WAS,46,62,53.7,4.2
62,D.J. Foster,ARI,JAC,41,74,56.7,6.5
63,Jalen Richard,OAK,DEN,34,68,58.2,5.7
64,Eddie Lacy,SEA,SF,42,81,63.7,6.6
65,Jamaal Charles,DEN,OAK,38,80,64.8,6.8
66,Javorius Allen,BAL,HOU,37,91,66.4,7.4
67,DeAndre Washington,OAK,DEN,43,67,60.0,5.3
68,Terron Ward,ATL,TB,44,77,63.3,6.8
69,Thomas Rawls,SEA,SF,47,72,62.3,6.4
70,Wayne Gallman,NYG,WAS,44,76,66.5,5.3
71,Kyle Juszczyk,SF,SEA,51,77,67.6,6.8
72,Andre Ellington,HOU,BAL,57,82,69.3,4.8
73,Alfred Blue,HOU,BAL,60,87,71.7,5.6
74,Lance Dunbar,LAR,NO,69,78,73.1,2.8
75,Derrick Coleman,ATL,TB,51,91,73.4,12.9
76,Chris Ivory,JAC,ARI,57,87,73.6,5.4
77,Aaron Ripkowski,GB,PIT,56,100,73.7,6.9
78,Mike Davis,SEA,SF,63,96,74.8,8.3
79,Kerwynn Williams,ARI,JAC,63,84,76.2,4.5
80,James Develin,NE,MIA,75,77,76.3,0.9
81,Kenjon Barner,PHI,CHI,63,119,76.9,10.9
82,Jamize Olawale,OAK,DEN,66,85,77.3,6.1
83,Peyton Barber,TB,ATL,68,92,78.2,5.1
84,Jacquizz Rodgers,TB,ATL,54,102,78.6,8.5
85,Devante Mays,GB,PIT,62,91,79.0,5.1
86,Tommy Bohanon,JAC,ARI,72,89,79.3,5.9
87,James Conner,PIT,GB,61,112,79.3,8.4
88,Cameron Artis-Payne,CAR,NYJ,71,98,79.9,5.3
89,Zach Zenner,DET,MIN,68,123,80.0,11.3
90,Dwayne Washington,DET,MIN,72,97,81.7,6.1
91,Brian Hill,CIN,CLE,80,89,84.8,3.7
92,Anthony Sherman,KC,BUF,78,93,84.8,4.5
93,Akeem Hunt,KC,BUF,58,115,87.3,15.5
94,Wendell Smallwood,PHI,CHI,76,94,87.9,7.2
95,CJ Ham,MIN,DET,73,98,88.0,8.1
96,Paul Perkins,NYG,WAS,78,98,88.0,8.2
97,Patrick DiMarco,BUF,KC,78,94,88.2,5.2
98,Zach Line,NO,LAR,80,96,90.0,5.4
99,Matthew Dayes,CLE,CIN,88,94,90.2,2.1
100,Justin Davis,LAR,NO,78,116,92.4,13.5
101,Derek Watt,LAC,DAL,87,100,92.7,5.2
102,Corey Grant,JAC,ARI,83,111,94.8,8.7
103,Andy Janovich,DEN,OAK,84,102,94.8,5.9
104,Trey Edmunds,NO,LAR,86,110,95.3,9.1
105,Mike Gillislee,NE,MIA,80,109,96.8,10.7
106,Terrance West,BAL,HOU,92,105,97.8,5.6
107,James Wilder Jr.,FA,,96,103,100.0,2.9
108,Brandon Bolden,NE,MIA,98,109,103.5,5.5
109,Roosevelt Nix,PIT,GB,104,108,106.0,2.0
110,Joe Kerridge,GB,PIT,97,126,109.3,12.2
111,Fozzy Whittaker,CAR,NYJ,108,120,114.0,6.0
