Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Rob Gronkowski,NE,BUF,1,6,1.2,0.9
2,Travis Kelce,KC,NYJ,1,6,2.6,0.9
3,Zach Ertz,PHI,SEA,2,5,2.7,0.7
4,Jimmy Graham,SEA,PHI,3,13,4.8,1.7
5,Delanie Walker,TEN,HOU,2,9,5.4,1.6
6,Jared Cook,OAK,NYG,1,10,5.7,1.7
7,Evan Engram,NYG,OAK,4,15,8.6,2.6
8,Jack Doyle,IND,JAC,5,11,8.8,1.6
9,Vernon Davis,WAS,DAL,6,14,9.0,1.8
10,Hunter Henry,LAC,CLE,5,17,9.2,2.7
11,Kyle Rudolph,MIN,ATL,5,14,10.3,2.2
12,Jason Witten,DAL,WAS,6,20,12.6,2.5
13,Austin Seferian-Jenkins,NYJ,KC,9,17,12.9,1.8
14,Charles Clay,BUF,NE,10,21,13.1,1.8
15,Julius Thomas,MIA,DEN,12,21,16.3,1.8
16,Tyler Kroft,CIN,PIT,12,27,17.4,2.7
17,Ricky Seals-Jones,ARI,LAR,8,35,18.4,4.1
18,Greg Olsen,CAR,NO,12,72,19.8,11.0
19,Eric Ebron,DET,BAL,10,24,19.0,3.2
20,Benjamin Watson,BAL,DET,16,24,20.1,2.4
21,Austin Hooper,ATL,MIN,16,27,20.6,2.8
22,C.J. Fiedorowicz,HOU,TEN,10,26,20.5,3.7
23,Cameron Brate,TB,GB,15,34,22.2,4.2
24,O.J. Howard,TB,GB,16,33,22.0,3.4
25,Ed Dickson,CAR,NO,13,32,26.5,4.8
26,Jesse James,PIT,CIN,18,34,25.5,3.5
27,David Njoku,CLE,LAC,19,35,28.6,3.3
28,Marcedes Lewis,JAC,IND,20,32,27.1,3.6
29,Josh Hill,NO,CAR,20,49,32.7,6.4
30,Tyler Higbee,LAR,ARI,24,37,28.7,3.2
31,George Kittle,SF,CHI,23,35,28.7,3.4
32,Garrett Celek,SF,CHI,25,44,29.7,4.0
33,Adam Shaheen,CHI,SF,22,54,30.9,7.1
34,Austin Traylor,DEN,MIA,22,38,32.1,4.3
35,Jermaine Gresham,ARI,LAR,29,39,32.9,2.6
36,Virgil Green,DEN,MIA,26,48,33.8,6.6
37,Gerald Everett,LAR,ARI,25,44,35.4,5.8
38,Niles Paul,WAS,DAL,25,45,35.8,4.9
39,Antonio Gates,LAC,CLE,32,48,37.3,4.3
40,Seth DeValve,CLE,LAC,33,42,38.8,3.1
41,Lance Kendricks,GB,TB,30,48,39.0,5.4
42,Stephen Anderson,HOU,TEN,30,65,39.3,9.2
43,Nick Vannett,SEA,PHI,25,53,42.0,10.8
44,Dion Sims,CHI,SF,31,50,42.0,5.2
45,Richard Rodgers,GB,TB,32,48,43.6,5.1
46,Nick Boyle,BAL,DET,24,56,44.3,9.1
47,Vance McDonald,PIT,CIN,32,62,45.1,12.1
48,Jonnu Smith,TEN,HOU,38,54,45.4,4.8
49,Eric Tomlinson,NYJ,KC,33,64,46.1,8.7
50,Darren Fells,DET,BAL,44,52,46.7,2.7
51,Daniel Brown,CHI,SF,31,59,47.1,7.8
52,Dwayne Allen,NE,BUF,36,57,50.0,6.6
53,Nick O'Leary,BUF,NE,43,55,50.0,4.4
54,Maxx Williams,BAL,DET,39,61,51.5,8.7
55,Brent Celek,PHI,SEA,52,55,53.4,1.2
56,Michael Hoomanawanui,NO,CAR,50,57,54.3,2.4
57,C.J. Uzomah,CIN,PIT,41,64,54.8,8.6
58,Demetrius Harris,KC,NYJ,49,60,55.3,3.9
59,Levine Toilolo,ATL,MIN,46,62,55.8,6.0
60,Trey Burton,PHI,SEA,47,84,56.7,11.6
61,Lee Smith,OAK,NYG,55,65,61.5,4.1
62,Rhett Ellison,NYG,OAK,56,66,62.4,3.7
63,Brandon Williams,IND,JAC,51,72,63.3,7.7
64,Clive Walford,OAK,NYG,57,79,63.3,7.5
65,Ben Koyack,JAC,IND,60,67,63.5,3.5
66,Luke Willson,SEA,PHI,54,78,64.0,8.4
67,Ross Travis,IND,JAC,58,68,64.3,4.5
68,David Morgan,MIN,ATL,63,69,65.0,2.8
69,Anthony Fasano,MIA,DEN,61,70,65.3,3.8
70,James O'Shaughnessy,JAC,IND,62,69,65.5,3.5
71,Jacob Hollister,NE,BUF,58,73,66.3,6.2
72,Jeremy Sprinkle,WAS,DAL,63,74,67.3,4.8
73,Xavier Grimble,PIT,CIN,58,95,68.5,12.5
74,Neal Sterling,NYJ,KC,64,77,70.5,6.5
75,Geoff Swaim,DAL,WAS,63,80,70.8,7.0
76,James Hanna,DAL,WAS,60,85,73.3,10.3
77,A.J. Derby,MIA,DEN,68,86,74.7,8.1
78,Troy Niklas,ARI,LAR,67,98,76.3,12.6
79,Sean McGrath,LAC,CLE,76,77,76.5,0.5
80,Derek Carrier,LAR,ARI,76,80,78.0,2.0
81,Jeff Cumberland,LAC,CLE,78,79,78.5,0.5
82,Jeff Heuerman,DEN,MIA,71,101,82.0,13.5
