Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
973386753,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,1. Column A lists all of your contest entries for this draftgroup,,,,,,
973390480,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,
973390481,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,
973390482,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,
973390483,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,5. For faster processing only include entries you are changing in the file you upload,,,,,,
973390484,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,,,,,,,
973390485,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
973390486,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,RB,Le'Veon Bell (10012330),Le'Veon Bell,10012330,10000,CLE@PIT 12/31/2017 01:00PM ET,PIT
973390487,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,RB,Todd Gurley II (10012612),Todd Gurley II,10012612,9800,SF@LAR 12/31/2017 04:25PM ET,LAR
973390488,NFL $1.75M Mini 80th Special,51713176,$8 ,Ben Roethlisberger (10012327),Mark Ingram (10012362),LeSean McCoy (10011969),Danny Amendola (10012116),DeAndre Hopkins (10011914),DeVante Parker (10012013),C.J. Uzomah (10011806),Derrick Henry (10012426),49ers (10012671),,WR,Antonio Brown (10012338),Antonio Brown,10012338,8900,CLE@PIT 12/31/2017 01:00PM ET,PIT
