Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Alvin Kamara,NO,CAR,1,4,1.9,1,
2,Todd Gurley,LAR,ATL,1,4,2.2,0.9,
3,Leonard Fournette,JAC,BUF,2,11,5.1,2.4,
4,Christian McCaffrey,CAR,NO,3,11,5.6,2,
5,Kareem Hunt,KC,TEN,3,8,5.8,1.6,
6,Mark Ingram,NO,CAR,5,13,7.6,2.5,
7,Derrick Henry,TEN,KC,7,20,13,3.5,
8,Devonta Freeman,ATL,LAR,5,18,10.1,3.1,
9,LeSean McCoy,BUF,JAC,6,26,15,5,
10,Tevin Coleman,ATL,LAR,8,26,15.3,3.9,
11,Mike Tolbert,BUF,JAC,8,23,16.6,4,
12,T.J. Yeldon,JAC,BUF,7,12,9.7,1.5,
13,Jonathan Stewart,CAR,NO,12,22,18.6,2.6,
14,Chris Ivory,JAC,BUF,13,29,18.5,3.5,
15,Charcandrick West,KC,TEN,7,21,10.9,3.1,
16,Lance Dunbar,LAR,ATL,10,24,14.8,3.2,
17,Anthony Sherman,KC,TEN,2,23,9,5.9,
18,Tommy Bohanon,JAC,BUF,10,21,13.9,2.7,
19,Patrick DiMarco,BUF,JAC,1,23,7.1,8.9,
20,Marcus Murphy,BUF,JAC,8,28,19.1,6.5,
21,Malcolm Brown,LAR,ATL,14,30,23.3,4.4,
22,Derrick Coleman,ATL,LAR,3,26,7.2,6.1,
23,Zach Line,NO,CAR,14,25,19.9,3.2,
24,Cameron Artis-Payne,CAR,NO,20,32,26.2,3.8,
25,Fozzy Whittaker,CAR,NO,12,27,19.9,3.6,
26,David Fluellen,TEN,KC,16,31,26.5,5,
27,Corey Grant,JAC,BUF,21,30,25.4,2.2,
28,Terron Ward,ATL,LAR,23,31,26.3,2.5,
29,Justin Davis,LAR,ATL,22,31,25.4,2.9,
30,Akeem Hunt,KC,TEN,16,30,24.3,4.9,
31,Jonathan Williams,NO,CAR,23,25,24.3,0.9,
32,Khalfani Muhammad,TEN,KC,29,33,31,2,
