Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
980477464,DECEMBER PLATINUM STATUS FREE CONTEST [$75K],52112330,$0 ,Drew Brees (10043250),Alvin Kamara (10043253),T.J. Yeldon (10043225),Ted Ginn Jr. (10043265),Julio Jones (10043133),Robert Woods (10043164),Charles Clay (10043210),Greg Olsen (10043307),Titans (10043092),,1. Column A lists all of your contest entries for this draftgroup,,,,,,
980614725,DECEMBER GOLD STATUS FREE CONTEST [$100K],52112331,$0 ,Drew Brees (10043250),Alvin Kamara (10043253),T.J. Yeldon (10043225),Ted Ginn Jr. (10043265),Julio Jones (10043133),Robert Woods (10043164),Charles Clay (10043210),Greg Olsen (10043307),Titans (10043092),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,
983683411,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Alvin Kamara (10043253),T.J. Yeldon (10043225),Ted Ginn Jr. (10043265),Julio Jones (10043133),Robert Woods (10043164),Charles Clay (10043210),Greg Olsen (10043307),Titans (10043092),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,
984386953,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,
984387001,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,5. For faster processing only include entries you are changing in the file you upload,,,,,,
984387020,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,,,,,,,
984387032,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
984387043,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Todd Gurley II (10043156),Todd Gurley II,10043156,9700,ATL@LAR 01/06/2018 08:15PM ET,LAR
984387076,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Alvin Kamara (10043253),Alvin Kamara,10043253,8600,CAR@NO 01/07/2018 04:40PM ET,NO
984387118,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Kareem Hunt (10043096),Kareem Hunt,10043096,8100,TEN@KC 01/06/2018 04:35PM ET,KC
