Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Rob Gronkowski,NE,TEN,1,1,1,0,
2,Delanie Walker,TEN,NE,2,3,2.2,0.4,
3,Zach Ertz,PHI,ATL,2,4,3,0.6,
4,Kyle Rudolph,MIN,NO,4,7,5.9,1.1,
5,Austin Hooper,ATL,PHI,3,6,4.4,0.9,
6,Josh Hill,NO,MIN,3,7,5.9,1.2,
7,Vance McDonald,PIT,JAC,5,17,10.6,3.9,
8,Jesse James,PIT,JAC,5,9,6,1.5,
9,Marcedes Lewis,JAC,PIT,8,10,8.4,0.8,
10,Trey Burton,PHI,ATL,9,13,11.3,1.2,
11,Jonnu Smith,TEN,NE,9,17,12.4,2.6,
12,Dwayne Allen,NE,TEN,10,16,13,1.9,
13,James O'Shaughnessy,JAC,PIT,10,16,12.3,1.7,
14,Levine Toilolo,ATL,PHI,8,15,11.9,2.4,
15,Michael Hoomanawanui,NO,MIN,9,17,12,3.6,
16,Brent Celek,PHI,ATL,10,15,13.8,1.9,
17,Xavier Grimble,PIT,JAC,13,18,15.3,1.9,
18,Jacob Hollister,NE,TEN,13,22,17.3,2.8,
