Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Antonio Brown,PIT,JAC,1,4,2.5,1,
2,Julio Jones,ATL,PHI,1,3,2,0.6,
3,Michael Thomas,NO,MIN,1,5,2,1.3,
4,Adam Thielen,MIN,NO,2,5,4.4,1,
5,Stefon Diggs,MIN,NO,3,7,4.9,1.4,
6,Brandin Cooks,NE,TEN,4,9,5.9,1.4,
7,JuJu Smith-Schuster,PIT,JAC,5,10,8,1.5,
8,Mohamed Sanu,ATL,PHI,7,11,8.6,1.1,
9,Chris Hogan,NE,TEN,11,25,16.5,4.4,
10,Alshon Jeffery,PHI,ATL,6,10,7.9,1.5,
11,Nelson Agholor,PHI,ATL,7,11,9.1,1.3,
12,Dede Westbrook,JAC,PIT,14,20,17.2,2,
13,Corey Davis,TEN,NE,10,17,13.5,2.1,
14,Rishard Matthews,TEN,NE,10,27,15.2,4.7,
15,Ted Ginn,NO,MIN,10,15,12.1,1.5,
16,Marqise Lee,JAC,PIT,15,21,17.9,1.8,
17,Eric Decker,TEN,NE,11,20,14.2,2.7,
18,Keelan Cole,JAC,PIT,13,23,17.9,3.1,
19,Danny Amendola,NE,TEN,12,24,17.2,3.1,
20,Martavis Bryant,PIT,JAC,12,22,17,3.1,
21,Allen Hurns,JAC,PIT,21,27,22.8,1.8,
22,Torrey Smith,PHI,ATL,16,22,20.5,1.7,
23,Willie Snead,NO,MIN,22,27,24.9,1.9,
24,Justin Hardy,ATL,PHI,22,34,29.3,5.2,
25,Taylor Gabriel,ATL,PHI,19,30,25.8,3.1,
26,Brandon Coleman,NO,MIN,15,26,23.1,2.9,
27,Taywan Taylor,TEN,NE,23,32,28.5,3,
28,Michael Floyd,MIN,NO,19,35,27,5.2,
29,Tommylee Lewis,NO,MIN,20,32,24.7,4.6,
30,Laquon Treadwell,MIN,NO,27,32,30,1.7,
31,Phillip Dorsett,NE,TEN,26,35,31.1,3,
32,Kenny Britt,NE,TEN,26,35,31.9,2.7,
33,Eli Rogers,PIT,JAC,19,32,27.7,4.3,
34,Jarius Wright,MIN,NO,28,35,31.3,2.7,
35,Mack Hollins,PHI,ATL,28,35,31.3,3,
