Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
990346298,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Devonta Freeman (10074571),James White (10074587),Nelson Agholor (10074663),Stefon Diggs (10074649),Michael Thomas (10074643),Delanie Walker (10074741),Leonard Fournette (10074565),Jaguars (10074791),,1. Column A lists all of your contest entries for this draftgroup,,,,,,
990353397,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Leonard Fournette (10074565),Derrick Henry (10074569),Martavis Bryant (10074661),Alshon Jeffery (10074653),Michael Thomas (10074643),Austin Hooper (10074747),Stefon Diggs (10074649),Titans (10074796),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,
990353398,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Leonard Fournette (10074565),Jerick McKinnon (10074579),Brandin Cooks (10074645),Corey Davis (10074679),Michael Thomas (10074643),Austin Hooper (10074747),Alvin Kamara (10074563),Jaguars (10074791),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,
990353399,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Alvin Kamara (10074563),T.J. Yeldon (10074597),Corey Davis (10074679),Stefon Diggs (10074649),JuJu Smith-Schuster (10074647),Rob Gronkowski (10074737),Michael Thomas (10074643),Eagles (10074795),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,
990353400,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Tevin Coleman (10074585),Leonard Fournette (10074565),Eric Decker (10074675),Torrey Smith (10074703),Michael Thomas (10074643),Rob Gronkowski (10074737),Adam Thielen (10074641),Jaguars (10074791),,5. For faster processing only include entries you are changing in the file you upload,,,,,,
990353401,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Leonard Fournette (10074565),James White (10074587),Rishard Matthews (10074665),Adam Thielen (10074641),Michael Thomas (10074643),Zach Ertz (10074739),Austin Hooper (10074747),Steelers (10074789),,,,,,,,
990353402,NFL $1M Divisional Final Four ,52322004,$4 ,Matt Ryan (10074545),Leonard Fournette (10074565),James White (10074587),Stefon Diggs (10074649),Julio Jones (10074639),Rishard Matthews (10074665),Austin Hooper (10074747),Alvin Kamara (10074563),Jaguars (10074791),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
990353403,NFL $1M Divisional Final Four ,52322004,$4 ,Matt Ryan (10074545),Leonard Fournette (10074565),Jerick McKinnon (10074579),Chris Hogan (10074657),Julio Jones (10074639),Michael Thomas (10074643),Austin Hooper (10074747),Delanie Walker (10074741),Steelers (10074789),,RB,Le'Veon Bell (10074561),Le'Veon Bell,10074561,9600,JAX@PIT 01/14/2018 01:05PM ET,PIT
990353404,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Leonard Fournette (10074565),Alvin Kamara (10074563),Danny Amendola (10074669),Eric Decker (10074675),Mohamed Sanu (10074651),Zach Ertz (10074739),Stefon Diggs (10074649),Jaguars (10074791),,WR,Antonio Brown (10074637),Antonio Brown,10074637,8100,JAX@PIT 01/14/2018 01:05PM ET,PIT
990353405,NFL $1M Divisional Final Four ,52322004,$4 ,Drew Brees (10074542),Alvin Kamara (10074563),Dion Lewis (10074567),Stefon Diggs (10074649),Alshon Jeffery (10074653),JuJu Smith-Schuster (10074647),Austin Hooper (10074747),Delanie Walker (10074741),Jaguars (10074791),,WR,Julio Jones (10074639),Julio Jones,10074639,7900,ATL@PHI 01/13/2018 04:35PM ET,ATL
