Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Antonio Brown,PIT,0.2,0.7,0.0,7.4,95.8,0.6,0.1,20.4
Julio Jones,ATL,0.0,0.0,0.0,6.3,97.0,0.6,0.1,19.5
Mike Evans,TB,0.0,0.0,0.0,6.0,84.2,0.6,0.0,18.0
Jordy Nelson,GB,0.0,0.0,0.0,6.3,80.9,0.6,0.1,17.9
Larry Fitzgerald,ARI,0.0,0.0,0.0,6.8,78.9,0.5,0.1,17.2
Brandin Cooks,NE,0.1,1.2,0.0,5.6,83.5,0.5,0.1,17.2
Michael Thomas,NO,0.0,0.0,0.0,6.3,78.4,0.5,0.1,16.9
DeAndre Hopkins,HOU,0.0,0.0,0.0,6.5,79.5,0.4,0.1,16.7
A.J. Green,CIN,0.0,0.0,0.0,5.8,80.1,0.5,0.1,16.5
Doug Baldwin,SEA,0.2,1.2,0.0,5.5,73.9,0.6,0.0,16.5
Amari Cooper,OAK,0.1,0.5,0.0,5.6,75.8,0.5,0.1,16.0
Michael Crabtree,OAK,0.0,0.0,0.0,5.3,67.9,0.5,0.0,15.3
Tyreek Hill,KC,1.5,9.8,0.2,4.9,58.9,0.4,0.1,15.1
Stefon Diggs,MIN,0.2,1.4,0.0,6.0,68.7,0.3,0.1,15.0
Keenan Allen,LAC,0.0,0.0,0.0,5.7,66.8,0.4,0.1,14.8
Demaryius Thomas,DEN,0.0,0.0,0.0,5.8,69.6,0.4,0.1,14.7
Odell Beckham Jr.,NYG,0.0,0.2,0.0,5.1,66.4,0.5,0.0,14.4
Terrelle Pryor,WAS,0.1,0.5,0.0,5.0,69.9,0.4,0.0,14.4
Golden Tate,DET,0.5,2.2,0.0,5.8,66.2,0.3,0.1,14.3
Jeremy Maclin,BAL,0.0,0.3,0.0,5.1,63.5,0.3,0.0,13.6
Davante Adams,GB,0.0,0.0,0.0,4.7,59.2,0.5,0.1,13.3
Emmanuel Sanders,DEN,0.0,0.2,0.0,5.1,65.2,0.3,0.0,13.3
Randall Cobb,GB,0.4,2.5,0.0,5.3,57.7,0.3,0.0,13.2
Dez Bryant,DAL,0.0,0.0,0.0,4.4,61.4,0.5,0.1,13.2
Alshon Jeffery,PHI,0.0,0.0,0.0,4.7,63.7,0.3,0.0,13.1
Sammy Watkins,LAR,0.0,0.0,0.0,4.3,62.5,0.4,0.0,13.0
Ted Ginn,NO,0.3,1.5,0.0,4.5,63.0,0.4,0.1,13.0
Pierre Garcon,SF,0.0,0.0,0.0,5.3,64.9,0.2,0.0,13.0
T.Y. Hilton,IND,0.0,0.0,0.0,4.7,65.7,0.3,0.1,12.9
Kelvin Benjamin,CAR,0.0,0.0,0.0,4.0,59.5,0.4,0.1,12.3
Jamison Crowder,WAS,0.1,0.5,0.0,4.6,57.0,0.3,0.1,12.1
Adam Thielen,MIN,0.2,0.9,0.0,4.6,58.3,0.3,0.1,12.0
Devante Parker,MIA,0.0,0.0,0.0,4.3,57.0,0.3,0.0,12.0
Jarvis Landry,MIA,0.1,0.5,0.0,4.8,55.3,0.3,0.1,11.9
Chris Hogan,NE,0.6,3.4,0.0,3.8,57.6,0.4,0.1,11.8
Sterling Shepard,NYG,0.1,0.9,0.0,4.4,49.4,0.4,0.0,11.7
Mike Wallace,BAL,0.1,0.9,0.0,4.3,55.1,0.3,0.0,11.7
Marqise Lee,JAC,0.2,1.0,0.0,4.1,55.3,0.3,0.0,11.7
J.J. Nelson,ARI,0.3,1.9,0.0,3.5,58.0,0.4,0.1,11.7
Martavis Bryant,PIT,0.1,0.8,0.0,3.9,52.7,0.4,0.1,11.3
Allen Hurns,JAC,0.0,0.0,0.0,3.8,51.8,0.3,0.0,11.1
DeSean Jackson,TB,0.0,0.0,0.0,3.5,56.4,0.3,0.0,11.1
Eric Decker,TEN,0.0,0.0,0.0,3.9,49.6,0.4,0.1,10.9
Brandon Marshall,NYG,0.0,0.0,0.0,3.9,49.4,0.3,0.0,10.9
Corey Coleman,CLE,0.1,0.3,0.0,4.4,51.7,0.2,0.0,10.8
Tyrell Williams,LAC,0.0,0.0,0.0,3.5,52.8,0.3,0.0,10.7
Mohamed Sanu,ATL,0.1,0.6,0.0,4.0,47.7,0.3,0.1,10.6
Jordan Matthews,BUF,0.0,0.0,0.0,4.2,50.4,0.2,0.0,10.6
Rishard Matthews,TEN,0.0,0.1,0.0,3.7,50.0,0.3,0.1,10.6
Robby Anderson,NYJ,0.1,0.8,0.0,3.7,52.5,0.2,0.1,10.3
Corey Davis,TEN,0.0,0.0,0.0,3.6,47.7,0.3,0.0,10.2
Tyler Lockett,SEA,0.2,1.4,0.0,3.4,48.2,0.3,0.0,10.1
Cooper Kupp,LAR,0.0,0.0,0.0,3.6,46.8,0.3,0.0,9.8
Jermaine Kearse,NYJ,0.0,0.0,0.0,3.6,47.5,0.2,0.0,9.8
Marvin Jones,DET,0.0,-0.2,0.0,3.3,48.5,0.2,0.0,9.6
Kenny Golladay,DET,0.0,0.0,0.0,3.5,44.7,0.3,0.0,9.6
Zay Jones,BUF,0.0,0.0,0.0,3.7,45.7,0.2,0.0,9.6
Donte Moncrief,IND,0.1,0.4,0.0,3.5,41.1,0.3,0.0,9.5
Kendall Wright,CHI,0.1,0.6,0.0,3.5,44.5,0.2,0.0,9.3
Cole Beasley,DAL,0.0,0.0,0.0,3.8,41.1,0.2,0.1,9.1
Nelson Agholor,PHI,0.2,0.8,0.0,3.5,40.7,0.2,0.0,9.1
Paul Richardson,SEA,0.0,0.1,0.0,3.0,44.2,0.3,0.0,9.0
Kenny Britt,CLE,0.1,0.4,0.0,3.3,41.8,0.2,0.1,8.7
Breshad Perriman,BAL,0.0,0.1,0.0,3.0,41.4,0.3,0.0,8.7
Brandon LaFell,CIN,0.0,0.0,0.0,3.1,38.7,0.2,0.0,8.2
Jaron Brown,ARI,0.1,0.8,0.0,2.8,39.5,0.2,0.0,8.1
Jaelen Strong,HOU,0.0,0.1,0.0,3.2,37.1,0.2,0.0,8.1
Taylor Gabriel,ATL,0.2,1.2,0.0,2.5,37.1,0.3,0.0,8.1
Kenny Stills,MIA,0.0,0.0,0.0,2.4,38.0,0.3,0.0,7.9
Brandon Coleman,NO,0.0,0.0,0.0,2.7,36.2,0.2,0.0,7.6
Marquise Goodwin,SF,0.0,0.2,0.0,2.8,37.4,0.2,0.0,7.6
Robert Woods,LAR,0.0,0.1,0.0,2.8,35.5,0.2,0.0,7.4
Torrey Smith,PHI,0.0,0.0,0.0,2.5,36.8,0.2,0.0,7.4
Chris Conley,KC,0.0,0.0,0.0,2.8,34.9,0.2,0.0,7.3
Devin Funchess,CAR,0.0,0.0,0.0,2.2,33.7,0.3,0.0,7.2
Terrance Williams,DAL,0.0,0.0,0.0,2.7,35.3,0.2,0.1,7.1
ArDarius Stewart,NYJ,0.0,0.0,0.0,2.5,34.0,0.2,0.0,7.0
Travis Benjamin,LAC,0.1,0.5,0.0,2.4,34.6,0.2,0.1,6.9
Seth Roberts,OAK,0.0,0.0,0.0,2.2,28.5,0.3,0.0,6.8
Albert Wilson,KC,0.1,0.8,0.0,2.7,29.9,0.2,0.0,6.8
Braxton Miller,HOU,0.2,1.0,0.0,2.8,27.7,0.1,0.0,6.5
John Ross,CIN,0.1,0.7,0.0,2.4,29.9,0.1,0.0,6.2
Keelan Cole,JAC,0.0,0.0,0.0,2.2,27.0,0.2,0.0,5.9
Bennie Fowler,DEN,0.0,0.0,0.0,2.1,25.7,0.2,0.0,5.8
Eli Rogers,PIT,0.0,0.2,0.0,2.0,25.0,0.2,0.0,5.6
Adam Humphries,TB,0.1,1.0,0.0,2.3,25.0,0.1,0.0,5.5
Markus Wheaton,CHI,0.0,0.1,0.0,2.1,28.9,0.1,0.1,5.5
Tavon Austin,LAR,1.6,9.5,0.1,1.8,18.0,0.1,0.1,5.4
Phillip Dorsett,NE,0.1,0.4,0.0,1.8,25.0,0.2,0.0,5.3
Roger Lewis,NYG,0.0,0.0,0.0,1.8,23.5,0.2,0.0,5.2
Chris Godwin,TB,0.0,0.0,0.0,1.8,23.7,0.2,0.0,5.0
Curtis Samuel,CAR,0.3,1.7,0.0,1.6,22.1,0.2,0.0,5.0
Jeremy Kerley,NYJ,0.0,0.0,0.0,2.1,23.6,0.1,0.0,4.9
Andre Holmes,BUF,0.0,0.0,0.0,1.7,21.1,0.2,0.0,4.8
Laquon Treadwell,MIN,0.0,0.0,0.0,1.8,21.7,0.1,0.0,4.7
Arrelious Benn,JAC,0.0,0.0,0.0,1.5,22.5,0.2,0.0,4.7
Kamar Aiken,IND,0.0,0.0,0.0,1.8,21.3,0.1,0.0,4.7
Mike Williams,LAC,0.0,0.0,0.0,1.6,19.6,0.2,0.0,4.6
Russell Shepard,CAR,0.0,0.0,0.0,1.4,22.5,0.1,0.0,4.5
Ryan Grant,WAS,0.0,0.0,0.0,1.6,20.3,0.1,0.0,4.1
Dontrelle Inman,LAC,0.0,0.0,0.0,1.4,20.6,0.1,0.0,4.1
Geronimo Allison,GB,0.0,0.0,0.0,1.3,19.5,0.1,0.0,4.1
Michael Campanaro,BAL,0.3,1.8,0.0,1.5,17.2,0.1,0.0,4.0
