Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Kareem Hunt,KC,WAS,1,5,1.8,1.2,"He's taken the league by storm, and has 15.7 more points than the next closest running back in standard leagues and he's only getting more work, according to Andy Reid. Before shutting down the Raiders run game, who totaled a miniscule nine carries, the Redskins allowed the Eagles and Rams backfields to combine for 41.3 standard points and 52.3 PPR points. To this point, Hunt has accounted for 89 percent of the fantasy production for Chiefs running backs. He's an elite RB1 and my No. 3 running back for the rest of the season.  "
2,Le'Veon Bell,PIT,BAL,1,11,2.9,1.9
3,Ezekiel Elliott,DAL,LAR,1,8,3.3,1.7,"Ezekiel Elliott overcame an extremely difficult matchup against the Cardinals last week to post a rock-solid 18.4 PPR points. It was good to see after the debacle against the Broncos. This figures to be a massive game for him, as the three teams who have played the Rams have averaged 30 carries per game and have scored five rushing touchdowns, the most in the NFL. Aaron Donald has now been back for two games, and they allowed four touchdowns in those games, so it's not that. Marlon Mack was the RB17, Chris Thompson was the RB5, and Carlos Hyde was the RB6 against them. Start Zeke as you normally would and target him in DFS.  "
4,Todd Gurley,LAR,DAL,1,10,4.7,1.8,"The Dallas secondary is gross, but their run defense isn't that bad. You shouldn't get used to Todd Gurley winning you fantasy weeks, after all, as he has just one 100-yard game in his last 21 games. He's still in the RB1 conversation, but not alongside of names like Hunt and McCoy this week. "
5,LeSean McCoy,BUF,ATL,1,13,5.4,2.5,"After two bad outings, LeSean McCoy is going to be under-owned in DFS this week, something that you should take advantage of. The Falcons have seen the fewest rushing attempts in the NFL through three games, so it's difficult to say that they turned around what was one of the weaker run defenses in the league last year. McCoy is involved regardless of game-script, and this one plays into his pass catching abilities, as running backs have already accumulated 25 receptions for over 200 yards and two touchdowns against them. McCoy is a high-end RB1, especially in PPR formats. "
6,Devonta Freeman,ATL,BUF,1,34,6.9,4.4,"Devonta Freeman is on a touchdown-scoring frenzy, as he now has four rushing scores through three games. He's also been much better at home or inside domes over his career, so there's no reason to avoid him in this contest, even though the Bills run defense has looked extremely solid under Sean McDermott. They've allowed just one touchdown through three games, but they haven't been what we would call high-powered offenses. Freeman has taken command of the timeshare into what we thought it would be when the season started and has now out-snapped Tevin Coleman 116 to 74. Freeman is a low-end RB1 for this contest due to it being at home.  "
7,Leonard Fournette,JAC,NYJ,1,15,8.3,3.2,"There are just two running backs in the league with more carries than Leonard Fournette right now and just four of them with more touchdowns. Keep in mind that Fournette has been the No. 5 fantasy running back while playing against the Texans, Titans, and Ravens over the first three weeks of the season, who allowed the 3rd, 7th, and 9th fewest rushing yards to opponents last year. The Jets are the first plus-matchup he's had. "
8,Dalvin Cook,MIN,DET,2,14,8.4,2.7,"Dalvin Cook has been the workhorse of this offense to this point, racking up 71 of the 96 touches for Vikings running backs. He also got a goal-line carry last week and scored his first touchdown. There are concerns about his potential with Keenum under center, but you're going to play a running back who is at home with a strong defense behind him. The Lions aren't the best matchup for running backs, however, as they've only allowed one running back to top 86 yards rushing against them in their last 15 games and that was Devonta Freeman with Davis out last week.  "
9,Ty Montgomery,GB,CHI,2,17,10.0,2.9,"Montgomery is a locked in RB1 against a Bears defense who has allowed a rushing touchdown in each of their last six games, including multiple rushing touchdowns in two of them. It's also worth noting that Montgomery's best games last year came against the Bears. "
10,Melvin Gordon,LAC,PHI,4,17,10.4,1.9,"Melvin Gordon is reportedly dealing with a bone bruise on his knee, which is what led to Branden Oliver playing more snaps in Week 3. The Chargers are saying that it's not a big deal, but it's also enough for me to downgrade him to an RB2 against an Eagles defense that has allowed just 111 yards on 42 carries (2.64 YPC) outside of one 53-yard Kareem Hunt touchdown run. It's not to say that Gordon isn't startable, as he's now scored in 10 of his last 15 full games. "
11,Christian McCaffrey,CAR,NE,2,34,10.6,4.2,"After Greg Olsen went down, McCaffrey immediately saw 11 targets in the first game. Cam Newton is struggling to throw the ball beyond 10 yards, so it makes sense for him to target McCaffrey a ton. The Patriots have somehow already allowed running backs to accumulate 17/253/2 through the air, so keep McCaffrey in lineups as an RB2 this week with plenty of upside. "
