Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Philadelphia Eagles,PHI,2.7,1.2,0.9,1.6,0.2,0.0,0.1,17.3,323.2,9.3
Kansas City Chiefs,KC,2.7,1.3,0.6,1.1,0.2,0.0,0.0,19.5,322.8,8.8
Minnesota Vikings,MIN,2.7,1.1,0.7,1.2,0.2,0.0,0.1,17.8,327.9,8.6
New York Jets,NYJ,2.4,1.4,0.6,0.9,0.2,0.0,0.0,18.3,285.9,8.5
Pittsburgh Steelers,PIT,2.4,0.9,0.8,1.4,0.2,0.0,0.0,18.2,313.4,8.0
Buffalo Bills,BUF,2.5,1.0,0.6,0.9,0.2,0.0,0.0,19.6,331.5,7.8
Oakland Raiders,OAK,2.2,1.0,0.8,1.3,0.2,0.0,0.0,19.5,335.9,7.7
Detroit Lions,DET,2.3,1.1,0.6,1.0,0.2,0.0,0.0,19.7,336.1,7.7
Baltimore Ravens,BAL,2.3,1.3,0.7,1.4,0.2,0.0,0.0,21.1,320.9,7.4
Cincinnati Bengals,CIN,3.0,0.6,0.6,0.6,0.1,0.0,0.0,19.1,323.3,7.3
Jacksonville Jaguars,JAC,2.4,1.0,0.7,1.0,0.2,0.0,0.0,23.9,347.2,6.9
Carolina Panthers,CAR,2.9,0.8,0.6,1.0,0.2,0.0,0.0,20.7,301.9,6.8
San Francisco 49ers,SF,2.5,0.8,0.7,1.1,0.2,0.0,0.1,23.0,362.1,6.7
Seattle Seahawks,SEA,2.1,0.9,0.7,1.2,0.2,0.0,0.1,21.6,309.3,6.6
Los Angeles Chargers,LAC,2.2,1.0,0.7,1.0,0.2,0.0,0.0,22.9,330.6,6.6
New York Giants,NYG,2.0,1.1,0.7,1.2,0.2,0.0,0.0,20.0,346.0,6.5
Miami Dolphins,MIA,2.0,1.1,0.6,1.1,0.2,0.0,0.0,22.5,369.0,6.5
Arizona Cardinals,ARI,2.3,0.9,0.7,1.3,0.2,0.0,0.0,22.5,323.5,6.5
Los Angeles Rams,LAR,2.5,0.8,0.6,0.8,0.2,0.0,0.0,22.8,356.6,6.4
Indianapolis Colts,IND,2.2,1.0,0.7,1.1,0.2,0.0,0.0,21.6,335.5,6.4
Cleveland Browns,CLE,2.3,0.9,0.7,1.3,0.1,0.0,0.0,22.1,355.0,6.4
Tennessee Titans,TEN,2.3,0.9,0.6,1.1,0.1,0.0,0.0,21.3,319.9,6.3
New England Patriots,NE,2.0,1.0,0.6,1.0,0.2,0.0,0.0,24.2,394.8,6.1
Houston Texans,HOU,2.6,0.6,0.6,1.0,0.1,0.0,0.0,22.1,330.1,6.0
Dallas Cowboys,DAL,2.5,0.6,0.6,0.9,0.1,0.0,0.0,25.6,398.0,5.7
Chicago Bears,CHI,2.1,0.6,0.7,1.2,0.1,0.0,0.1,22.5,356.2,5.7
Green Bay Packers,GB,1.9,0.6,0.6,1.0,0.1,0.0,0.0,27.2,385.7,5.1
Tampa Bay Buccaneers,TB,1.8,0.5,0.6,1.0,0.1,0.0,0.0,28.6,406.4,4.7
