Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
876092448,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Chris Ivory (9646032) (LOCKED),Doug Martin (9645774) (LOCKED),A.J. Green (9646273),Jarvis Landry (9646141) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Christian McCaffrey (9645838) (LOCKED),Buccaneers (9645800) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup,,,,,,
876092866,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Todd Gurley II (9646064) (LOCKED),Jordan Howard (9645804) (LOCKED),Doug Baldwin (9646504),Cole Beasley (9646343),T.Y. Hilton (9646007) (LOCKED),Hunter Henry (9646453),Demaryius Thomas (9646411),Bears (9645834) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,
876092867,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),Duke Johnson Jr. (9645868) (LOCKED),A.J. Green (9646273),Rishard Matthews (9645912) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),LeSean McCoy (9645740) (LOCKED),Bears (9645834) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,
876092868,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),Chris Ivory (9646032) (LOCKED),Antonio Brown (9646309),Jordy Nelson (9645945) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Alvin Kamara (9645967) (LOCKED),Bears (9645834) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,
876092869,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Doug Martin (9645774) (LOCKED),Christian McCaffrey (9645838) (LOCKED),Larry Fitzgerald (9646110) (LOCKED),Jarvis Landry (9646141) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Carlos Hyde (9646364),Buccaneers (9645800) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload,,,,,,
876092870,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),Jerick McKinnon (9646202) (LOCKED),Jarvis Landry (9646141) (LOCKED),Demaryius Thomas (9646411),Tyrell Williams (9646445),Austin Seferian-Jenkins (9646189) (LOCKED),Todd Gurley II (9646064) (LOCKED),Bears (9645834) (LOCKED),,,,,,,,
876092871,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),LeSean McCoy (9645740) (LOCKED),Adrian Peterson (9646100) (LOCKED),A.J. Green (9646273),Demaryius Thomas (9646411),Tyrell Williams (9646445),Jimmy Graham (9646514),Christian McCaffrey (9645838) (LOCKED),Cardinals (9646130) (LOCKED),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
876092872,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Christian McCaffrey (9645838) (LOCKED),Adrian Peterson (9646100) (LOCKED),Antonio Brown (9646309),Demaryius Thomas (9646411),Tyrell Williams (9646445),Delanie Walker (9645924) (LOCKED),Carlos Hyde (9646364),Cardinals (9646130) (LOCKED),,RB,Le'Veon Bell (9646301),Le'Veon Bell,9646301,9100,CIN@PIT 10/22/2017 04:25PM ET,PIT
876092873,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),Jerick McKinnon (9646202) (LOCKED),Doug Baldwin (9646504),Demaryius Thomas (9646411),Tyrell Williams (9646445),Evan Engram (9646483),Ezekiel Elliott (9646331),Bears (9645834) (LOCKED),,RB,Ezekiel Elliott (9646331),Ezekiel Elliott,9646331,9000,DAL@SF 10/22/2017 04:05PM ET,DAL
876092874,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Todd Gurley II (9646064) (LOCKED),Jordan Howard (9645804) (LOCKED),Mike Evans (9645782) (LOCKED),Demaryius Thomas (9646411),Tyrell Williams (9646445),Jimmy Graham (9646514),Alvin Kamara (9645967) (LOCKED),Bears (9645834) (LOCKED),,WR,Antonio Brown (9646309),Antonio Brown,9646309,8900,CIN@PIT 10/22/2017 04:25PM ET,PIT
876092875,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Todd Gurley II (9646064) (LOCKED),Jordan Howard (9645804) (LOCKED),Davante Adams (9645949) (LOCKED),Keenan Allen (9646443),Demaryius Thomas (9646411),Evan Engram (9646483),Alvin Kamara (9645967) (LOCKED),Bears (9645834) (LOCKED),,RB,Leonard Fournette (9646030) (LOCKED),Leonard Fournette,9646030,8600,In Progress,JAX
876092876,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jay Ajayi (9646133) (LOCKED),Doug Martin (9645774) (LOCKED),Keenan Allen (9646443),Adam Thielen (9646208) (LOCKED),Demaryius Thomas (9646411),Jimmy Graham (9646514),Christian McCaffrey (9645838) (LOCKED),Buccaneers (9645800) (LOCKED),,WR,A.J. Green (9646273),A.J. Green,9646273,8300,CIN@PIT 10/22/2017 04:25PM ET,CIN
876092877,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),LeSean McCoy (9645740) (LOCKED),Keenan Allen (9646443),Jarvis Landry (9646141) (LOCKED),Demaryius Thomas (9646411),Austin Seferian-Jenkins (9646189) (LOCKED),Chris Ivory (9646032) (LOCKED),Bears (9645834) (LOCKED),,RB,Todd Gurley II (9646064) (LOCKED),Todd Gurley II,9646064,8200,In Progress,LAR
876092878,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Jordan Howard (9645804) (LOCKED),Duke Johnson Jr. (9645868) (LOCKED),Keenan Allen (9646443),Larry Fitzgerald (9646110) (LOCKED),Demaryius Thomas (9646411),Delanie Walker (9645924) (LOCKED),Carlos Hyde (9646364),Bears (9645834) (LOCKED),,WR,Dez Bryant (9646341),Dez Bryant,9646341,7800,DAL@SF 10/22/2017 04:05PM ET,DAL
876092879,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Philip Rivers (9646430),Le'Veon Bell (9646301),Christian McCaffrey (9645838) (LOCKED),John Brown (9646114) (LOCKED),Cooper Kupp (9646074) (LOCKED),Demaryius Thomas (9646411),Cameron Brate (9645792) (LOCKED),Keenan Allen (9646443),Steelers (9646327),,WR,Mike Evans (9645782) (LOCKED),Mike Evans,9645782,7600,In Progress,TB
876092880,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jay Ajayi (9646133) (LOCKED),Christian McCaffrey (9645838) (LOCKED),Martavis Bryant (9646311),Pierre Garcon (9646372),A.J. Green (9646273),Hunter Henry (9646453),Demaryius Thomas (9646411),Dolphins (9646161) (LOCKED),,QB,Drew Brees (9645964) (LOCKED),Drew Brees,9645964,7600,In Progress,NO
876092881,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jordan Howard (9645804) (LOCKED),Alvin Kamara (9645967) (LOCKED),Martavis Bryant (9646311),Randall Cobb (9645947) (LOCKED),A.J. Green (9646273),Cameron Brate (9645792) (LOCKED),Melvin Gordon (9646433),Bears (9645834) (LOCKED),,WR,Michael Thomas (9645975) (LOCKED),Michael Thomas,9645975,7500,In Progress,NO
876092882,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jordan Howard (9645804) (LOCKED),Chris Ivory (9646032) (LOCKED),Martavis Bryant (9646311),Mike Evans (9645782) (LOCKED),A.J. Green (9646273),Hunter Henry (9646453),Demaryius Thomas (9646411),Bears (9645834) (LOCKED),,RB,LeSean McCoy (9645740) (LOCKED),LeSean McCoy,9645740,7400,In Progress,BUF
876092883,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jordan Howard (9645804) (LOCKED),Chris Ivory (9646032) (LOCKED),Martavis Bryant (9646311),A.J. Green (9646273),Jarvis Landry (9646141) (LOCKED),Austin Seferian-Jenkins (9646189) (LOCKED),Carlos Hyde (9646364),Bears (9645834) (LOCKED),,WR,Larry Fitzgerald (9646110) (LOCKED),Larry Fitzgerald,9646110,7300,In Progress,ARI
876092884,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jay Ajayi (9646133) (LOCKED),Christian McCaffrey (9645838) (LOCKED),Martavis Bryant (9646311),A.J. Green (9646273),Rishard Matthews (9645912) (LOCKED),Jimmy Graham (9646514),Duke Johnson Jr. (9645868) (LOCKED),Dolphins (9646161) (LOCKED),,QB,Dak Prescott (9646328),Dak Prescott,9646328,7300,DAL@SF 10/22/2017 04:05PM ET,DAL
876092885,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Trevor Siemian (9646395),Jordan Howard (9645804) (LOCKED),LeSean McCoy (9645740) (LOCKED),T.Y. Hilton (9646007) (LOCKED),Marqise Lee (9646042) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Todd Gurley II (9646064) (LOCKED),Bears (9645834) (LOCKED),,RB,C.J. Anderson (9646399),C.J. Anderson,9646399,7200,DEN@LAC 10/22/2017 04:25PM ET,DEN
876092886,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Trevor Siemian (9646395),Chris Ivory (9646032) (LOCKED),Doug Martin (9645774) (LOCKED),A.J. Green (9646273),Jarvis Landry (9646141) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Christian McCaffrey (9645838) (LOCKED),Buccaneers (9645800) (LOCKED),,QB,Cam Newton (9645835) (LOCKED),Cam Newton,9645835,7000,In Progress,CAR
876092887,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Trevor Siemian (9646395),Doug Martin (9645774) (LOCKED),Christian McCaffrey (9645838) (LOCKED),Larry Fitzgerald (9646110) (LOCKED),Adam Thielen (9646208) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Carlos Hyde (9646364),Buccaneers (9645800) (LOCKED),,RB,Melvin Gordon (9646433),Melvin Gordon,9646433,7000,DEN@LAC 10/22/2017 04:25PM ET,LAC
876092888,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Trevor Siemian (9646395),Todd Gurley II (9646064) (LOCKED),Jordan Howard (9645804) (LOCKED),Doug Baldwin (9646504),Jordy Nelson (9645945) (LOCKED),Demaryius Thomas (9646411),Evan Engram (9646483),Hunter Henry (9646453),Bears (9645834) (LOCKED),,WR,Kelvin Benjamin (9645848) (LOCKED),Kelvin Benjamin,9645848,6900,In Progress,CAR
876092889,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Trevor Siemian (9646395),Jordan Howard (9645804) (LOCKED),Mark Ingram (9645969) (LOCKED),Antonio Brown (9646309),Rishard Matthews (9645912) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Duke Johnson Jr. (9645868) (LOCKED),Bears (9645834) (LOCKED),,QB,Marcus Mariota (9645901) (LOCKED),Marcus Mariota,9645901,6900,In Progress,TEN
876092890,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Jameis Winston (9645771) (LOCKED),Melvin Gordon (9646433),Jordan Howard (9645804) (LOCKED),Antonio Brown (9646309),DeSean Jackson (9645784) (LOCKED),Jordan Matthews (9645750) (LOCKED),Jimmy Graham (9646514),Joe Mixon (9646265),Bears (9645834) (LOCKED),,WR,Stefon Diggs (9646206) (LOCKED),Stefon Diggs,9646206,6900,In Progress,MIN
876092891,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Jameis Winston (9645771) (LOCKED),Christian McCaffrey (9645838) (LOCKED),Jerick McKinnon (9646202) (LOCKED),DeSean Jackson (9645784) (LOCKED),Jordan Matthews (9645750) (LOCKED),Demaryius Thomas (9646411),Hunter Henry (9646453),Todd Gurley II (9646064) (LOCKED),Seahawks (9646522),,QB,Aaron Rodgers (9645933) (LOCKED),Aaron Rodgers,9645933,6800,In Progress,GB
876092892,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Jameis Winston (9645771) (LOCKED),C.J. Anderson (9646399),Christian McCaffrey (9645838) (LOCKED),DeSean Jackson (9645784) (LOCKED),Jordan Matthews (9645750) (LOCKED),Jordy Nelson (9645945) (LOCKED),Evan Engram (9646483),Doug Baldwin (9646504),Broncos (9646429),,WR,Jordy Nelson (9645945) (LOCKED),Jordy Nelson,9645945,6800,In Progress,GB
876092893,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Jameis Winston (9645771) (LOCKED),Melvin Gordon (9646433),Jordan Howard (9645804) (LOCKED),A.J. Green (9646273),DeSean Jackson (9645784) (LOCKED),Jordan Matthews (9645750) (LOCKED),Jimmy Graham (9646514),Demaryius Thomas (9646411),Bears (9645834) (LOCKED),,WR,Jarvis Landry (9646141) (LOCKED),Jarvis Landry,9646141,6800,In Progress,MIA
876092894,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Jameis Winston (9645771) (LOCKED),Jordan Howard (9645804) (LOCKED),Carlos Hyde (9646364),A.J. Green (9646273),DeSean Jackson (9645784) (LOCKED),Jarvis Landry (9646141) (LOCKED),Austin Seferian-Jenkins (9646189) (LOCKED),Jordan Matthews (9645750) (LOCKED),Bears (9645834) (LOCKED),,RB,Mark Ingram (9645969) (LOCKED),Mark Ingram,9645969,6700,In Progress,NO
876092895,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jay Ajayi (9646133) (LOCKED),Jerick McKinnon (9646202) (LOCKED),A.J. Green (9646273),JuJu Smith-Schuster (9646313),Demaryius Thomas (9646411),Hunter Henry (9646453),Christian McCaffrey (9645838) (LOCKED),Dolphins (9646161) (LOCKED),,WR,Adam Thielen (9646208) (LOCKED),Adam Thielen,9646208,6700,In Progress,MIN
876092896,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Jordan Howard (9645804) (LOCKED),Alvin Kamara (9645967) (LOCKED),Davante Adams (9645949) (LOCKED),A.J. Green (9646273),JuJu Smith-Schuster (9646313),Cameron Brate (9645792) (LOCKED),Melvin Gordon (9646433),Bears (9645834) (LOCKED),,QB,Carson Palmer (9646093) (LOCKED),Carson Palmer,9646093,6600,In Progress,ARI
876092897,NFL $4M Fantasy Football Millionaire [$1M to 1st],46765664,$20 ,Ben Roethlisberger (9646298),Todd Gurley II (9646064) (LOCKED),Jordan Howard (9645804) (LOCKED),A.J. Green (9646273),JuJu Smith-Schuster (9646313),Demaryius Thomas (9646411),Hunter Henry (9646453),Chris Ivory (9646032) (LOCKED),Bears (9645834) (LOCKED),,WR,Doug Baldwin (9646504),Doug Baldwin,9646504,6600,SEA@NYG 10/22/2017 04:25PM ET,SEA
