Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
888446566,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,1. Column A lists all of your contest entries for this draftgroup
888456928,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,2. Your current lineup is listed next to each entry (blank for reservations)
888456929,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
888456930,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
888456931,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,5. For faster processing only include entries you are changing in the file you upload
888456932,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,
888456933,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
888456934,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Ezekiel Elliott (9683674),Ezekiel Elliott,9683674,9200,DAL@WAS 10/29/2017 04:25PM ET,DAL,
888456935,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,LeSean McCoy (9683166),LeSean McCoy,9683166,8700,OAK@BUF 10/29/2017 01:00PM ET,BUF,
888456936,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,A.J. Green (9683234),A.J. Green,9683234,8600,IND@CIN 10/29/2017 01:00PM ET,CIN,
888456937,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Julio Jones (9683434),Julio Jones,9683434,8400,ATL@NYJ 10/29/2017 01:00PM ET,ATL,
888456938,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Melvin Gordon (9683329),Melvin Gordon,9683329,8100,LAC@NE 10/29/2017 01:00PM ET,LAC,
888456939,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Mike Evans (9683562),Mike Evans,9683562,7900,CAR@TB 10/29/2017 01:00PM ET,TB,
888456940,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Dez Bryant (9683684),Dez Bryant,9683684,7700,DAL@WAS 10/29/2017 04:25PM ET,DAL,
888456941,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Tom Brady (9683293),Tom Brady,9683293,7600,LAC@NE 10/29/2017 01:00PM ET,NE,
888456942,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Michael Thomas (9683405),Michael Thomas,9683405,7600,CHI@NO 10/29/2017 01:00PM ET,NO,
888456943,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,DeAndre Hopkins (9683623),DeAndre Hopkins,9683623,7500,HOU@SEA 10/29/2017 04:05PM ET,HOU,
