Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Michael Thomas,NO,TB,1,9,2.2,1.7
2,Julio Jones,ATL,CAR,1,9,2.8,1.8
3,Mike Evans,TB,NO,1,11,3.3,1.7
4,Dez Bryant,DAL,KC,1,10,4.5,1.9
5,Doug Baldwin,SEA,WAS,2,15,6.3,2.8
6,DeAndre Hopkins,HOU,IND,1,29,7.8,5.2
7,Tyreek Hill,KC,DAL,1,13,8.0,2.5
8,A.J. Green,CIN,JAC,4,22,8.5,4.2
9,Michael Crabtree,OAK,MIA,2,15,8.8,2.5
10,Jarvis Landry,MIA,OAK,2,14,9.0,2.5
11,Golden Tate,DET,GB,3,20,9.4,2.9
12,Larry Fitzgerald,ARI,SF,7,19,12.3,2.4
13,Amari Cooper,OAK,MIA,3,20,12.5,2.6
14,Demaryius Thomas,DEN,PHI,7,24,14.3,3.1
15,T.Y. Hilton,IND,HOU,7,28,17.0,4.6
16,Marvin Jones,DET,GB,13,24,17.5,2.8
17,Devin Funchess,CAR,ATL,11,31,18.6,3.8
18,Jordy Nelson,GB,DET,11,29,18.7,3.5
19,Devante Parker,MIA,OAK,2,61,19.2,7.3
20,Sterling Shepard,NYG,LAR,14,57,20.0,5.7
21,Emmanuel Sanders,DEN,PHI,11,76,22.3,8.3
22,DeSean Jackson,TB,NO,14,31,22.8,3.7
23,Alshon Jeffery,PHI,DEN,13,44,25.0,6.3
24,Robby Anderson,NYJ,BUF,17,36,25.4,3.6
25,Mohamed Sanu,ATL,CAR,15,39,26.1,5.2
26,Ted Ginn,NO,TB,13,39,26.4,4.5
27,Will Fuller,HOU,IND,6,51,27.4,8.9
28,Davante Adams,GB,DET,17,41,28.3,4.5
29,Jeremy Maclin,BAL,TEN,17,49,28.6,5.6
30,Tyler Lockett,SEA,WAS,21,49,31.3,5.3
31,Paul Richardson,SEA,WAS,21,43,31.4,4.1
32,Rishard Matthews,TEN,BAL,22,51,33.0,5.5
33,Nelson Agholor,PHI,DEN,19,52,33.7,6.1
