Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Todd Gurley,LAR,19.2,88.7,0.8,4.0,41.6,0.3,0.2,23.2
David Johnson,ARI,18.3,75.5,0.7,4.7,48.5,0.2,0.3,21.8
Alvin Kamara,NO,13.5,69.8,0.6,4.5,45.3,0.3,0.1,21.2
Melvin Gordon,LAC,17.8,75.5,0.6,3.3,28.8,0.2,0.1,18.3
Le'Veon Bell,PIT,16.2,64.1,0.5,4.6,35.8,0.1,0.2,17.8
Saquon Barkley,NYG,17.3,72.7,0.5,3.9,28.0,0.1,0.1,17.7
Ezekiel Elliott,DAL,19.5,86.3,0.5,2.7,25.4,0.1,0.2,17.4
Christian McCaffrey,CAR,12.1,49.4,0.3,4.8,41.2,0.3,0.2,17.0
Kareem Hunt,KC,15.3,75.9,0.5,3.0,24.2,0.2,0.2,16.7
Leonard Fournette,JAC,18.5,75.1,0.6,2.4,19.2,0.1,0.2,15.3
Dalvin Cook,MIN,17.9,70.4,0.5,2.7,21.5,0.1,0.1,15.1
LeSean McCoy,BUF,14.2,58.0,0.3,3.5,25.0,0.1,0.1,13.7
Devonta Freeman,ATL,13.4,56.3,0.4,2.8,22.1,0.1,0.2,13.2
Joe Mixon,CIN,14.3,57.6,0.5,2.4,22.2,0.0,0.1,13.2
Lamar Miller,HOU,14.3,60.9,0.3,2.3,20.9,0.1,0.1,12.4
Jordan Howard,CHI,15.7,66.0,0.4,1.9,13.6,0.0,0.1,12.3
Alex Collins,BAL,15.1,64.6,0.4,1.8,13.0,0.1,0.2,12.2
Rex Burkhead,NE,9.0,39.2,0.5,2.2,20.2,0.2,0.1,12.0
Kenyan Drake,MIA,12.3,48.1,0.4,2.6,18.2,0.1,0.1,11.9
Jamaal Williams,GB,12.6,54.2,0.4,1.8,16.7,0.1,0.1,11.7
Jay Ajayi,PHI,14.4,65.1,0.3,1.5,10.8,0.0,0.2,10.7
Royce Freeman,DEN,13.2,50.0,0.3,2.0,15.5,0.1,0.1,10.6
Derrick Henry,TEN,13.2,56.5,0.4,1.1,11.3,0.0,0.1,10.3
Ty Montgomery,GB,6.2,27.1,0.2,2.9,22.1,0.1,0.1,9.8
Duke Johnson,CLE,3.9,17.3,0.2,3.6,31.7,0.1,0.2,9.7
Marshawn Lynch,OAK,11.9,54.4,0.4,1.1,8.5,0.0,0.1,9.7
Dion Lewis,TEN,8.2,36.3,0.2,2.4,18.0,0.1,0.1,9.6
Jordan Wilkins,IND,10.6,40.5,0.4,1.7,13.8,0.1,0.1,9.6
Tarik Cohen,CHI,4.8,18.0,0.1,4.0,28.6,0.1,0.2,9.4
Carlos Hyde,CLE,11.0,47.5,0.3,1.9,11.7,0.0,0.2,9.3
James White,NE,3.8,14.5,0.1,3.4,27.3,0.2,0.1,9.3
Tevin Coleman,ATL,8.9,35.3,0.2,2.0,20.1,0.2,0.1,9.2
Chris Thompson,WAS,4.1,16.0,0.1,2.9,27.8,0.2,0.2,9.0
Isaiah Crowell,NYJ,11.2,44.0,0.3,1.9,13.2,0.0,0.1,9.0
Bilal Powell,NYJ,8.9,36.6,0.2,2.3,16.3,0.0,0.1,9.0
Kerryon Johnson,DET,9.0,33.1,0.2,2.1,16.7,0.1,0.1,8.8
Chris Carson,SEA,12.0,40.3,0.2,1.6,13.4,0.1,0.1,8.6
Theo Riddick,DET,4.5,15.6,0.1,3.1,24.0,0.2,0.1,8.5
Peyton Barber,TB,11.5,45.5,0.3,1.3,9.7,0.0,0.1,8.5
Austin Ekeler,LAC,6.1,26.1,0.2,1.9,18.1,0.2,0.2,8.1
Giovani Bernard,CIN,5.5,22.7,0.1,2.4,22.6,0.1,0.1,8.1
Devontae Booker,DEN,8.4,30.5,0.2,2.0,16.1,0.0,0.2,7.8
Matt Breida,SF,6.6,28.4,0.2,1.7,13.8,0.1,0.1,7.2
Marlon Mack,IND,7.7,28.7,0.2,1.3,11.3,0.1,0.1,6.9
Corey Clement,PHI,6.0,24.9,0.3,1.3,12.5,0.1,0.1,6.9
Javorius Allen,BAL,5.1,21.7,0.2,1.9,11.2,0.1,0.0,6.7
Latavius Murray,MIN,8.5,32.0,0.3,1.1,8.7,0.0,0.1,6.6
Darren Sproles,PHI,3.4,15.0,0.1,2.2,19.0,0.1,0.1,6.4
Frank Gore,MIA,5.8,21.2,0.1,1.7,13.8,0.1,0.1,6.1
T.J. Yeldon,JAC,4.2,18.5,0.1,2.0,15.5,0.0,0.1,6.1
Spencer Ware,KC,5.1,24.5,0.2,1.2,11.7,0.1,0.1,5.9
Doug Martin,OAK,8.1,30.8,0.2,0.8,6.8,0.0,0.1,5.9
James Conner,PIT,8.8,30.5,0.2,0.8,5.1,0.0,0.0,5.8
Alfred Morris,SF,6.4,25.6,0.2,1.3,9.1,0.0,0.1,5.7
Adrian Peterson,WAS,11.1,35.9,0.2,1.0,5.2,0.0,0.3,5.7
C.J. Anderson,CAR,8.2,33.8,0.2,0.7,5.4,0.0,0.1,5.7
Chase Edmonds,ARI,4.8,19.8,0.1,1.5,12.1,0.0,0.1,5.5
Kenneth Dixon,BAL,4.5,20.4,0.2,1.4,9.3,0.0,0.1,5.5
Nyheim Hines,IND,4.4,17.0,0.1,1.4,11.6,0.1,0.1,5.5
LeGarrette Blount,DET,7.9,29.5,0.3,0.6,3.7,0.0,0.1,5.4
Sony Michel,NE,5.0,18.4,0.2,1.3,9.9,0.0,0.1,5.3
Nick Chubb,CLE,6.3,27.1,0.1,1.0,7.6,0.0,0.1,5.1
Boston Scott,NO,4.4,19.6,0.2,1.0,8.6,0.0,0.1,5.1
Wayne Gallman,NYG,3.6,14.9,0.0,1.8,11.5,0.1,0.1,4.9
Chris Ivory,BUF,6.1,23.2,0.1,1.1,8.5,0.0,0.1,4.7
Jonathan Williams,NO,5.6,24.5,0.2,0.7,5.0,0.0,0.1,4.4
Rashaad Penny,SEA,5.2,18.0,0.1,1.1,8.5,0.0,0.1,4.3
Robert Kelley,WAS,5.5,18.9,0.2,0.7,4.9,0.0,0.1,4.2
Ronald Jones II,TB,5.2,20.8,0.1,0.8,6.3,0.0,0.1,4.2
Jeremy Hill,NE,5.9,22.1,0.2,0.5,3.6,0.0,0.1,4.1
Jalen Richard,OAK,2.5,11.7,0.1,1.2,10.0,0.1,0.1,4.0
Alfred Blue,HOU,4.1,16.6,0.1,0.9,7.3,0.0,0.1,3.7
Rod Smith,DAL,3.2,13.6,0.1,0.9,8.3,0.0,0.1,3.6
C.J. Prosise,SEA,1.8,5.5,0.0,1.4,15.0,0.0,0.1,3.6
Mike Gillislee,NO,3.2,14.2,0.1,0.8,7.2,0.1,0.3,3.6
Kyle Juszczyk,SF,0.4,1.7,0.0,1.7,14.0,0.1,0.1,3.5
Corey Grant,JAC,4.3,17.9,0.1,0.4,3.5,0.0,0.1,3.3
Malcolm Brown,LAR,3.4,13.3,0.1,0.5,4.1,0.0,0.1,3.0
Jonathan Stewart,NYG,3.3,11.3,0.1,0.6,4.7,0.0,0.1,2.8
Cameron Artis-Payne,CAR,3.2,12.8,0.1,0.7,4.3,0.0,0.1,2.8
Ameer Abdullah,DET,2.6,9.7,0.1,0.5,3.8,0.0,0.0,2.5
Christine Michael,IND,1.8,7.3,0.1,0.7,4.8,0.0,0.0,2.4
Jacquizz Rodgers,TB,2.6,10.3,0.1,0.6,4.6,0.0,0.1,2.3
Marcus Murphy,BUF,2.6,10.9,0.0,0.6,4.3,0.0,0.1,2.3
Wendell Smallwood,PHI,2.3,8.8,0.1,0.4,3.7,0.0,0.1,1.9
Samaje Perine,WAS,2.7,8.3,0.0,0.4,3.8,0.0,0.0,1.9
Kalen Ballage,MIA,2.2,8.0,0.0,0.5,3.8,0.0,0.1,1.9
Mark Walton,CIN,2.4,8.9,0.1,0.3,2.6,0.0,0.1,1.9
DeAndre Washington,OAK,1.3,4.8,0.1,0.6,3.3,0.0,0.0,1.8
Phillip Lindsay,DEN,2.1,7.6,0.0,0.5,3.9,0.0,0.1,1.7
Raheem Mostert,SF,3.1,11.3,0.1,0.2,1.2,0.0,0.2,1.7
Benny Cunningham,CHI,0.5,1.8,0.0,0.7,6.0,0.0,0.0,1.5
Tra Carson,CIN,1.0,3.0,0.0,0.5,5.0,0.0,0.0,1.3
Tyler Ervin,HOU,0.5,1.9,0.0,0.5,3.7,0.0,0.0,1.2
John Kelly,LAR,1.6,6.2,0.1,0.1,1.0,0.0,0.0,1.1
Mike Davis,SEA,1.7,4.7,0.0,0.4,3.3,0.0,0.1,1.0
Jaylen Samuels,PIT,1.3,3.9,0.0,0.3,2.0,0.0,0.0,0.8
Senorise Perry,MIA,0.6,2.3,0.0,0.2,1.1,0.0,0.0,0.8
Damien Williams,KC,0.5,2.3,0.0,0.3,2.1,0.0,0.0,0.7
Patrick DiMarco,BUF,0.3,0.9,0.0,0.4,2.3,0.0,0.0,0.7
Anthony Sherman,KC,0.3,0.9,0.0,0.3,2.3,0.0,0.0,0.7
Roosevelt Nix,PIT,0.9,2.7,0.0,0.2,0.6,0.0,0.0,0.7
Justin Davis,LAR,0.6,2.3,0.0,0.2,1.3,0.0,0.0,0.6
Jamize Olawale,DAL,0.4,2.0,0.0,0.2,2.1,0.0,0.0,0.6
