Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Rob Gronkowski,NE,4.8,69.9,0.7,0.0,15.9
Travis Kelce,KC,5.6,64.9,0.4,0.0,14.7
Zach Ertz,PHI,5.5,59.9,0.5,0.1,14.4
Jimmy Graham,GB,4.4,44.3,0.5,0.1,11.4
Greg Olsen,CAR,4.2,48.2,0.4,0.0,11.3
Kyle Rudolph,MIN,4.1,42.7,0.5,0.0,11.2
Delanie Walker,TEN,4.5,50.8,0.3,0.1,11.1
Trey Burton,CHI,4.1,47.6,0.3,0.0,10.9
Jack Doyle,IND,4.4,42.8,0.4,0.1,10.7
Jordan Reed,WAS,4.4,42.0,0.3,0.0,10.3
Evan Engram,NYG,4.0,43.1,0.3,0.0,10.0
Tyler Eifert,CIN,2.8,33.0,0.4,0.0,8.7
Charles Clay,BUF,3.6,37.3,0.2,0.0,8.6
Jared Cook,OAK,3.5,40.0,0.2,0.1,8.4
Benjamin Watson,NO,3.1,33.9,0.3,0.0,8.2
Austin Seferian-Jenkins,JAC,3.2,33.8,0.3,0.1,8.2
Ricky Seals-Jones,ARI,2.5,32.7,0.4,0.0,7.9
Eric Ebron,IND,3.0,31.7,0.3,0.0,7.9
David Njoku,CLE,2.9,35.0,0.2,0.0,7.9
O.J. Howard,TB,2.4,33.7,0.3,0.1,7.3
Mike Gesicki,MIA,2.9,29.6,0.2,0.0,7.2
George Kittle,SF,2.9,31.6,0.2,0.0,7.2
Cameron Brate,TB,2.6,31.4,0.2,0.0,7.2
Austin Hooper,ATL,2.8,29.1,0.2,0.0,6.8
Vance McDonald,PIT,2.5,30.0,0.2,0.0,6.8
Ryan Griffin,HOU,2.4,27.7,0.2,0.1,6.1
Luke Willson,DET,2.2,22.7,0.3,0.0,6.0
Dallas Goedert,PHI,2.2,22.6,0.2,0.0,5.8
Antonio Gates,LAC,1.9,22.1,0.2,0.0,5.4
Jesse James,PIT,2.3,20.4,0.2,0.0,5.2
Virgil Green,LAC,1.8,23.2,0.2,0.0,5.2
Vernon Davis,WAS,2.0,25.7,0.1,0.1,5.1
Tyler Kroft,CIN,1.8,18.7,0.2,0.0,4.8
Nick Vannett,SEA,1.9,18.3,0.2,0.0,4.8
Jake Butt,DEN,2.0,20.0,0.1,0.0,4.7
Tyler Higbee,LAR,1.9,19.9,0.1,0.0,4.7
Garrett Celek,SF,1.5,18.2,0.2,0.0,4.3
Nick Boyle,BAL,2.0,16.4,0.1,0.0,4.1
Jermaine Gresham,ARI,1.8,17.1,0.1,0.0,4.0
Jordan Leggett,NYJ,1.6,16.6,0.1,0.0,3.8
Jonnu Smith,TEN,1.5,15.2,0.1,0.0,3.8
Blake Jarwin,DAL,1.6,15.1,0.1,0.0,3.7
Jeff Heuerman,DEN,1.3,15.5,0.1,0.0,3.6
Jordan Akins,HOU,1.4,15.6,0.1,0.0,3.5
Chris Herndon IV,NYJ,1.4,12.9,0.1,0.0,3.2
Dwayne Allen,NE,1.1,12.1,0.1,0.0,3.2
Rico Gathers,DAL,1.3,13.2,0.1,0.0,3.2
Marcedes Lewis,GB,1.1,12.4,0.1,0.0,3.1
Gerald Everett,LAR,1.1,12.9,0.1,0.1,3.0
Josh Hill,NO,1.3,12.2,0.1,0.2,2.9
David Morgan,MIN,1.1,10.9,0.1,0.0,2.7
Rhett Ellison,NYG,1.1,9.6,0.1,0.0,2.6
Mark Andrews,BAL,1.1,8.3,0.1,0.0,2.5
Durham Smythe,MIA,1.1,11.2,0.1,0.0,2.5
Seth DeValve,CLE,0.9,10.1,0.1,0.0,2.5
A.J. Derby,MIA,0.9,9.3,0.1,0.0,2.4
Geoff Swaim,DAL,0.8,9.0,0.1,0.0,2.4
Darren Fells,CLE,0.9,9.3,0.1,0.0,2.3
Jacob Hollister,NE,0.9,9.7,0.1,0.0,2.3
Will Dissly,SEA,0.9,8.2,0.1,0.0,2.3
Maxx Williams,BAL,0.9,7.5,0.1,0.0,2.1
Ian Thomas,CAR,0.9,8.6,0.1,0.0,2.0
MarQueis Gray,MIA,0.8,8.0,0.0,0.0,1.9
Dion Sims,CHI,0.7,7.8,0.0,0.0,1.7
Niles Paul,JAC,0.6,5.2,0.1,0.0,1.6
Jason Croom,BUF,0.7,8.0,0.0,0.0,1.5
