Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Antonio Brown,PIT,7.3,97.0,0.7,0.0,0.0,0.0,0.1,21.0
DeAndre Hopkins,HOU,6.4,97.7,0.6,0.0,0.0,0.0,0.1,19.5
Michael Thomas,NO,6.7,86.5,0.5,0.0,0.0,0.0,0.1,18.4
A.J. Green,CIN,5.7,82.6,0.5,0.0,0.0,0.0,0.1,16.7
Keenan Allen,LAC,5.8,81.4,0.5,0.0,0.2,0.0,0.1,16.6
Julio Jones,ATL,5.7,85.0,0.3,0.0,0.5,0.0,0.1,16.1
Davante Adams,GB,5.4,66.0,0.6,0.0,0.0,0.0,0.0,15.4
Odell Beckham Jr.,NYG,5.9,72.5,0.4,0.1,0.5,0.0,0.1,15.4
Adam Thielen,MIN,5.3,73.4,0.4,0.1,0.3,0.0,0.1,15.1
Stefon Diggs,MIN,4.9,65.9,0.5,0.5,1.7,0.0,0.1,14.9
Jarvis Landry,CLE,6.5,66.2,0.4,0.1,0.1,0.0,0.2,14.8
Larry Fitzgerald,ARI,6.4,65.2,0.3,0.0,0.0,0.0,0.1,14.8
Mike Evans,TB,5.0,72.9,0.4,0.0,0.0,0.0,0.0,14.6
Tyreek Hill,KC,5.1,63.3,0.4,1.0,6.6,0.0,0.1,14.4
T.Y. Hilton,IND,4.7,70.3,0.4,0.0,0.0,0.0,0.1,14.3
Golden Tate,DET,5.6,62.2,0.4,0.2,0.8,0.0,0.1,14.1
Demaryius Thomas,DEN,5.4,64.4,0.4,0.0,0.0,0.0,0.1,13.9
Amari Cooper,OAK,4.9,61.9,0.4,0.1,0.2,0.0,0.0,13.7
Chris Hogan,NE,4.3,62.2,0.5,0.2,0.8,0.0,0.0,13.4
Doug Baldwin,SEA,4.7,61.4,0.4,0.1,-0.1,0.0,0.0,13.1
JuJu Smith-Schuster,PIT,4.4,58.2,0.5,0.0,0.0,0.0,0.0,12.9
Allen Robinson,CHI,4.6,64.9,0.3,0.0,0.0,0.0,0.0,12.9
Michael Crabtree,BAL,5.0,51.6,0.4,0.0,0.0,0.0,0.0,12.8
Marvin Jones,DET,3.9,58.5,0.5,0.0,0.0,0.0,0.0,12.7
Robby Anderson,NYJ,4.6,59.5,0.4,0.1,0.4,0.0,0.0,12.7
Brandin Cooks,LAR,4.0,57.7,0.4,0.4,1.8,0.0,0.0,12.7
Nelson Agholor,PHI,4.5,52.6,0.4,0.1,0.9,0.0,0.0,12.5
Robert Woods,LAR,4.1,56.2,0.4,0.1,0.6,0.0,0.1,12.0
Corey Davis,TEN,4.8,54.3,0.3,0.0,0.0,0.0,0.1,11.9
Cooper Kupp,LAR,4.3,56.6,0.3,0.0,0.0,0.0,0.1,11.8
Emmanuel Sanders,DEN,4.4,55.9,0.3,0.0,0.6,0.0,0.0,11.7
Marquise Goodwin,SF,4.0,57.1,0.3,0.1,0.7,0.0,0.0,11.3
Randall Cobb,GB,4.5,45.6,0.4,0.5,1.5,0.0,0.0,11.3
Pierre Garcon,SF,4.5,54.0,0.2,0.0,0.0,0.0,0.0,11.2
Jordy Nelson,OAK,4.5,45.0,0.3,0.0,0.0,0.0,0.0,11.1
Jamison Crowder,WAS,4.6,51.2,0.2,0.3,1.2,0.0,0.1,11.0
Quincy Enunwa,NYJ,3.9,50.0,0.3,0.0,0.3,0.0,0.0,10.6
Devin Funchess,CAR,3.4,48.3,0.4,0.0,0.0,0.0,0.0,10.6
Kenny Stills,MIA,3.4,50.4,0.3,0.0,0.0,0.0,0.1,10.4
Josh Gordon,CLE,3.7,52.5,0.2,0.0,0.1,0.0,0.0,10.4
Will Fuller,HOU,3.4,49.7,0.3,0.1,0.5,0.0,0.0,10.4
Keelan Cole,JAC,3.4,50.9,0.3,0.0,0.0,0.0,0.1,10.2
Sammy Watkins,KC,3.5,47.2,0.3,0.0,0.0,0.0,0.0,10.1
Sterling Shepard,NYG,4.1,46.5,0.2,0.1,0.4,0.0,0.0,9.9
Kenny Golladay,DET,3.2,49.8,0.3,0.1,0.5,0.0,0.0,9.8
Ted Ginn,NO,3.2,44.5,0.3,0.6,3.1,0.0,0.1,9.6
Mohamed Sanu,ATL,3.7,41.9,0.2,0.1,0.4,0.0,0.0,9.4
Rishard Matthews,TEN,3.0,44.9,0.3,0.0,0.1,0.0,0.0,9.3
Tyrell Williams,LAC,2.9,45.3,0.3,0.0,0.0,0.0,0.1,9.2
John Brown,BAL,3.4,42.2,0.2,0.0,0.5,0.0,0.0,9.1
Kelvin Benjamin,BUF,3.4,44.8,0.2,0.0,0.0,0.0,0.0,9.1
Paul Richardson,WAS,3.1,43.4,0.2,0.0,0.0,0.0,0.0,8.9
Allen Hurns,DAL,3.3,43.2,0.2,0.0,0.0,0.0,0.0,8.6
Michael Gallup,DAL,3.1,40.0,0.2,0.0,0.4,0.0,0.0,8.5
Dede Westbrook,JAC,3.2,40.7,0.2,0.0,0.0,0.0,0.0,8.5
DeSean Jackson,TB,3.1,41.4,0.2,0.1,0.9,0.0,0.0,8.5
Ryan Grant,IND,3.1,37.9,0.3,0.0,0.0,0.0,0.0,8.4
Josh Doctson,WAS,2.9,39.6,0.2,0.1,-0.3,0.0,0.0,8.3
Mike Wallace,PHI,2.7,39.3,0.3,0.1,0.4,0.0,0.0,8.2
Calvin Ridley,ATL,3.0,39.9,0.2,0.0,0.3,0.0,0.0,8.1
Tyler Lockett,SEA,3.1,36.9,0.2,0.4,2.1,0.0,0.0,8.0
Devante Parker,MIA,3.1,37.0,0.2,0.0,0.0,0.0,0.0,7.8
Cameron Meredith,NO,2.9,39.2,0.2,0.0,0.2,0.0,0.2,7.8
Christian Kirk,ARI,3.0,35.6,0.2,0.0,0.3,0.0,0.0,7.8
Anthony Miller,CHI,2.9,38.7,0.2,0.0,0.2,0.0,0.0,7.8
Danny Amendola,MIA,3.2,35.1,0.2,0.0,0.1,0.0,0.0,7.8
Courtland Sutton,DEN,2.9,37.3,0.2,0.0,0.3,0.0,0.1,7.6
Taywan Taylor,TEN,2.7,35.3,0.2,0.4,2.1,0.0,0.0,7.5
Mike Williams,LAC,2.7,34.3,0.2,0.0,0.1,0.0,0.0,7.5
John Ross,CIN,2.6,37.1,0.2,0.2,1.5,0.0,0.0,7.5
Geronimo Allison,GB,3.0,35.1,0.2,0.0,0.0,0.0,0.1,7.5
Phillip Dorsett,NE,2.5,35.6,0.2,0.0,0.2,0.0,0.0,7.4
D.J. Moore,CAR,2.7,32.8,0.2,0.1,0.4,0.0,0.0,7.4
Albert Wilson,MIA,2.8,33.0,0.2,0.1,0.6,0.0,0.0,7.3
