Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
104,Robby Anderson,NYJ,BUF,47,143,81.7,27.7,16.32531915
63,Sammy Watkins,KC,ARI,23,123,42.3,14.2,8.766956522
49,Allen Robinson,CHI,DET,27,65,46.4,9.5,3.342592593
68,Chris Conley,KC,ARI,37,83,68.5,9.9,2.648918919
67,Jermaine Kearse,NYJ,BUF,23,79,67.4,7.3,2.316956522
6,Keenan Allen,LAC,OAK,1,11,5.9,1.5,2.25
30,Amari Cooper,DAL,PHI,13,40,29.3,4.9,1.846923077
96,Richie James,SF,NYG,68,114,91,11,1.779411765
126,Kevin White,CHI,DET,108,137,118,13.4,1.662592593
93,Demarcus Robinson,KC,ARI,59,105,89.9,9.9,1.661186441
38,Mike Williams,LAC,OAK,22,75,40.3,5.7,1.476818182
132,Jawill Davis,NYG,SF,116,142,129,13,1.456896552
55,John Ross,CIN,NO,38,78,54.4,7.3,1.402368421
41,Maurice Harris,WAS,TB,31,59,42.9,6.3,1.280322581
117,Kendall Wright,ARI,KC,89,117,105.3,10.2,1.168988764
127,Russell Shepard,NYG,SF,108,138,122.3,11.1,1.140833333
46,Randall Cobb,GB,MIA,19,57,43.4,4.5,1.065789474
26,Golden Tate,PHI,DAL,16,33,26.5,4.1,1.050625
2,Antonio Brown,PIT,CAR,1,115,2.3,1,1
109,Michael Floyd,WAS,TB,76,118,103.8,8.7,0.995921053
74,Tajae Sharpe,TEN,NE,54,82,71.9,7.3,0.986851852
37,Donte Moncrief,JAC,IND,21,51,39.5,4.4,0.921904762
135,Leonte Carroo,MIA,GB,120,141,130.5,10.5,0.91875
39,D.J. Moore,CAR,PIT,26,60,40.4,4.8,0.886153846
24,Corey Davis,TEN,NE,12,38,25.4,3.2,0.853333333
29,Tyler Lockett,SEA,LAR,19,51,29.2,4,0.842105263
45,Jordy Nelson,OAK,LAC,30,67,45.9,5,0.833333333
134,Keith Kirkwood,NO,CIN,120,140,130,10,0.833333333
48,Adam Humphries,TB,WAS,34,65,48.5,5.3,0.826176471
44,Dede Westbrook,JAC,IND,27,58,45.6,4.7,0.818148148
1,Michael Thomas,NO,CIN,1,5,1.4,0.9,0.81
3,Julio Jones,ATL,CLE,1,6,3.2,0.9,0.81
21,Marquez Valdes-Scantling,GB,MIA,16,39,21.5,3.6,0.81
123,Brian Quick,WAS,TB,95,112,103.5,8.5,0.760526316
69,Cordarrelle Patterson,NE,TEN,57,94,68.7,6.5,0.74122807
18,Larry Fitzgerald,ARI,KC,16,31,19.6,3.4,0.7225
82,Dontrelle Inman,IND,JAC,66,98,82,6.8,0.700606061
83,Kendrick Bourne,SF,NYG,66,94,84.4,6.8,0.700606061
139,Khadarel Hodge,LAR,SEA,129,148,138.5,9.5,0.699612403
33,Tyrell Williams,LAC,OAK,13,53,33.8,3,0.692307692
59,Keelan Cole,JAC,IND,44,76,58.9,5.5,0.6875
60,Nelson Agholor,PHI,DAL,50,83,63.7,5.8,0.6728
89,Jarius Wright,CAR,PIT,61,100,89.5,6.4,0.67147541
52,Devante Parker,MIA,GB,39,61,51.2,5.1,0.666923077
66,Alex Erickson,CIN,NO,46,93,67.1,5.5,0.657608696
9,Mike Evans,TB,WAS,5,15,9.3,1.8,0.648
25,DeSean Jackson,TB,WAS,20,47,25.9,3.6,0.648
10,Tyler Boyd,CIN,NO,4,15,9.9,1.6,0.64
61,Michael Gallup,DAL,PHI,48,83,62.4,5.5,0.630208333
32,Christian Kirk,ARI,KC,21,44,32.2,3.6,0.617142857
27,Devin Funchess,CAR,PIT,18,47,26.6,3.3,0.605
88,Terrelle Pryor,BUF,NYJ,54,97,86.9,5.7,0.601666667
