Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
33,Kapri Bibbs,WAS,HOU,21,46,33,5.7,1.547142857
28,Mike Davis,SEA,GB,20,45,28.2,5.3,1.4045
41,Rashaad Penny,SEA,GB,25,47,40.6,5,1
16,Dion Lewis,TEN,IND,9,20,15.8,2.9,0.934444444
7,Kareem Hunt,KC,LAR,2,10,6.8,1.3,0.845
29,Chris Carson,SEA,GB,20,48,28.4,4.1,0.8405
10,Phillip Lindsay,DEN,LAC,9,18,11.3,2.5,0.694444444
5,David Johnson,ARI,OAK,3,9,5,1.4,0.653333333
25,Theo Riddick,DET,CAR,18,30,25.1,3.3,0.605
6,Ezekiel Elliott,DAL,ATL,3,8,5.8,1.3,0.563333333
15,Tarik Cohen,CHI,MIN,10,24,15.3,2.3,0.529
4,Alvin Kamara,NO,PHI,2,9,5,1,0.5
17,Mark Ingram,NO,PHI,9,23,16.6,2.1,0.49
22,Jalen Richard,OAK,ARI,21,34,24.2,3.2,0.487619048
20,Dalvin Cook,MIN,CHI,15,38,20,2.7,0.486
14,Joe Mixon,CIN,BAL,10,22,13.5,2.2,0.484
11,Tevin Coleman,ATL,DAL,9,22,11.8,2,0.444444444
18,Kerryon Johnson,DET,CAR,10,20,16.8,2,0.4
30,Austin Ekeler,LAC,DEN,22,38,29.6,2.9,0.382272727
24,Ito Smith,ATL,DAL,21,36,24.9,2.8,0.373333333
80,Mike Boone,MIN,CHI,67,87,80,5,0.373134328
78,C.J. Anderson,FA,,68,84,77,5,0.367647059
70,C.J. Prosise,SEA,GB,57,84,62.3,4.4,0.339649123
3,Saquon Barkley,NYG,TB,2,7,3.1,0.8,0.32
66,Alex Armah,CAR,DET,50,74,61.6,4,0.32
81,Roosevelt Nix,PIT,JAC,72,85,81.2,4.7,0.306805556
56,Jaylen Samuels,PIT,JAC,45,60,53.9,3.7,0.304222222
13,Leonard Fournette,JAC,PIT,10,16,13.1,1.7,0.289
38,Giovani Bernard,CIN,BAL,28,44,38.3,2.8,0.28
42,Javorius Allen,BAL,CIN,35,46,41,3.1,0.274571429
62,Benny Cunningham,CHI,MIN,56,75,61.1,3.9,0.271607143
21,Alex Collins,BAL,CIN,12,27,20.2,1.8,0.27
67,Elijhaa Penny,NYG,TB,65,80,71.5,4,0.246153846
37,Wendell Smallwood,PHI,NO,31,43,37.3,2.5,0.201612903
82,Justin Jackson,LAC,DEN,76,86,81.4,3.9,0.200131579
27,Adrian Peterson,WAS,HOU,20,32,26.8,2,0.2
73,Taquan Mizzell,CHI,MIN,63,88,73.6,3.5,0.194444444
75,Zach Line,NO,PHI,60,79,75,3.4,0.192666667
65,Andy Janovich,DEN,LAC,58,75,65.5,3.3,0.187758621
2,Melvin Gordon,LAC,DEN,2,6,2.3,0.6,0.18
51,LeGarrette Blount,DET,CAR,47,66,53.3,2.9,0.17893617
