Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
27,James O'Shaughnessy,JAC,PIT,9,35,25,4.6,2.351111111
5,Trey Burton,CHI,MIN,2,16,6.4,2,2
9,Austin Hooper,ATL,DAL,2,13,8.3,1.8,1.62
56,Maxx Williams,BAL,CIN,44,63,53.4,7.5,1.278409091
11,Jared Cook,OAK,ARI,5,15,10.6,2.4,1.152
12,Jordan Reed,WAS,HOU,2,16,11.6,1.4,0.98
36,Ryan Griffin,HOU,WAS,20,41,33.8,4.4,0.968
6,Jimmy Graham,GB,SEA,4,16,6.9,1.8,0.81
28,Hayden Hurst,BAL,CIN,18,33,25.8,3.4,0.642222222
57,Ian Thomas,CAR,DET,48,65,56.6,5.5,0.630208333
58,Xavier Grimble,PIT,JAC,42,64,57.2,5,0.595238095
7,Evan Engram,NYG,TB,5,12,7,1.7,0.578
62,Lee Smith,OAK,ARI,49,61,56,5.2,0.551836735
24,Dallas Goedert,PHI,NO,21,40,25.7,3.2,0.487619048
10,Eric Ebron,IND,TEN,6,15,10.4,1.7,0.481666667
37,Josh Hill,NO,PHI,30,45,37.5,3.8,0.481333333
61,Ben Braunecker,CHI,MIN,54,68,58.2,5,0.462962963
54,Jaylen Samuels,PIT,JAC,33,43,36.8,3.8,0.437575758
64,Scott Simonson,NYG,TB,59,69,64,5,0.423728814
21,Gerald Everett,LAR,KC,18,30,21.9,2.7,0.405
66,Ben Koyack,JAC,PIT,63,73,68,5,0.396825397
32,Ed Dickson,SEA,GB,25,37,32,3.1,0.3844
25,Mark Andrews,BAL,CIN,18,29,24.3,2.6,0.375555556
22,Cameron Brate,TB,NYG,20,33,24.4,2.7,0.3645
52,Marcedes Lewis,GB,SEA,42,65,52.6,3.8,0.343809524
8,Jack Doyle,IND,TEN,5,11,8.3,1.3,0.338
59,Darrell Daniels,SEA,GB,52,74,57.2,3.9,0.2925
31,Jordan Thomas,HOU,WAS,25,37,31,2.7,0.2916
13,Vance McDonald,PIT,JAC,9,17,13,1.6,0.284444444
18,Ricky Seals-Jones,ARI,OAK,8,21,17.9,1.5,0.28125
42,Rhett Ellison,NYG,TB,35,51,43.2,3.1,0.274571429
35,Luke Willson,DET,CAR,24,39,35.2,2.5,0.260416667
20,Jonnu Smith,TEN,IND,17,29,21.1,2.1,0.259411765
2,Zach Ertz,PHI,NO,1,5,2.1,0.5,0.25
4,O.J. Howard,TB,NYG,2,13,4,0.7,0.245
51,Blake Bell,JAC,PIT,45,60,55.2,3.2,0.227555556
60,Eric Saubert,ATL,DAL,52,62,58,3.3,0.209423077
14,C.J. Uzomah,CIN,BAL,10,21,13.1,1.4,0.196
47,Matt LaCosse,DEN,LAC,43,61,50.5,2.9,0.195581395
19,Nick Vannett,SEA,GB,15,26,18.7,1.7,0.192666667
16,Jeff Heuerman,DEN,LAC,9,19,15.8,1.3,0.187777778
45,Dalton Schultz,DAL,ATL,41,53,46.3,2.7,0.177804878
43,Luke Stocker,TEN,IND,37,48,41.6,2.5,0.168918919
48,Blake Jarwin,DAL,ATL,44,67,49.5,2.7,0.165681818
50,Logan Paulsen,ATL,DAL,44,62,49.9,2.7,0.165681818
46,Mo Alie-Cox,IND,TEN,41,54,49.8,2.6,0.164878049
26,Jesse James,PIT,JAC,14,29,24.3,1.5,0.160714286
29,Vernon Davis,WAS,HOU,25,34,29.4,2,0.16
30,Tyler Higbee,LAR,KC,22,32,29.5,1.6,0.116363636
53,Derek Carrier,OAK,ARI,39,49,46.3,2,0.102564103
15,Kyle Rudolph,MIN,CHI,12,20,15.4,1.1,0.100833333
17,Benjamin Watson,NO,PHI,15,22,17.8,1.2,0.096
67,Daniel Brown,CHI,MIN,67,72,69.5,2.5,0.093283582
23,Geoff Swaim,DAL,ATL,22,29,25.5,1.4,0.089090909
33,Virgil Green,LAC,DEN,27,37,33.8,1.5,0.083333333
38,Demetrius Harris,KC,LAR,31,51,37.4,1.6,0.082580645
41,Levine Toilolo,DET,CAR,40,47,42.6,1.8,0.081
3,Greg Olsen,CAR,DET,2,4,3.2,0.4,0.08
40,Lance Kendricks,GB,SEA,33,43,41.2,1.6,0.077575758
49,Jordan Akins,HOU,WAS,45,50,47.8,1.6,0.056888889
34,Antonio Gates,LAC,DEN,27,40,34.4,1.2,0.053333333
55,Rico Gathers,DAL,ATL,50,60,54.2,1.5,0.045
39,Jermaine Gresham,ARI,OAK,35,44,38.9,1.2,0.041142857
44,Nick Boyle,BAL,CIN,42,48,43.3,1.3,0.040238095
1,Travis Kelce,KC,LAR,1,3,1.1,0.2,0.04
65,Antony Auclair,TB,NYG,63,66,64.5,1.5,0.035714286
63,David Grinnage,FA,,57,59,58,0.8,0.01122807
