Name_ID,ID,Pos
Ravens  (11617852),11617852,DST
Cardinals  (11617853),11617853,DST
Chargers  (11617851),11617851,DST
Texans  (11617857),11617857,DST
Steelers  (11617854),11617854,DST
Panthers  (11617855),11617855,DST
Titans  (11617858),11617858,DST
Redskins  (11617856),11617856,DST
Colts  (11617859),11617859,DST
Giants  (11617861),11617861,DST
Jaguars  (11617866),11617866,DST
Falcons  (11617860),11617860,DST
Raiders  (11617863),11617863,DST
Bengals  (11617862),11617862,DST
Saints  (11617867),11617867,DST
Buccaneers  (11617864),11617864,DST
Cowboys  (11617865),11617865,DST
Lions  (11617869),11617869,DST
Broncos  (11617870),11617870,DST
Eagles  (11617868),11617868,DST
Drew Brees (11617216),11617216,QB
Cam Newton (11617218),11617218,QB
Carson Wentz (11617217),11617217,QB
Matt Ryan (11617219),11617219,QB
Lamar Jackson (11617237),11617237,QB
Andrew Luck (11617221),11617221,QB
Deshaun Watson (11617223),11617223,QB
Ryan Fitzpatrick (11617225),11617225,QB
Ben Roethlisberger (11617222),11617222,QB
Dak Prescott (11617230),11617230,QB
Philip Rivers (11617220),11617220,QB
Eli Manning (11617229),11617229,QB
Marcus Mariota (11617226),11617226,QB
Matthew Stafford (11617227),11617227,QB
Blake Bortles (11617231),11617231,QB
Josh Rosen (11617234),11617234,QB
Alex Smith (11617236),11617236,QB
Case Keenum (11617235),11617235,QB
Andy Dalton (11617232),11617232,QB
Derek Carr (11617239),11617239,QB
Saquon Barkley (11617267),11617267,RB
Melvin Gordon III (11617265),11617265,RB
Ezekiel Elliott (11617269),11617269,RB
Alvin Kamara (11617271),11617271,RB
David Johnson (11617275),11617275,RB
Michael Thomas (11617449),11617449,WR
Odell Beckham Jr. (11617453),11617453,WR
Christian McCaffrey (11617273),11617273,RB
DeAndre Hopkins (11617455),11617455,WR
James Conner (11617277),11617277,RB
Julio Jones (11617451),11617451,WR
Antonio Brown (11617457),11617457,WR
Zach Ertz (11617699),11617699,TE
Keenan Allen (11617467),11617467,WR
Tevin Coleman (11617291),11617291,RB
Mike Evans (11617461),11617461,WR
JuJu Smith-Schuster (11617465),11617465,WR
Emmanuel Sanders (11617471),11617471,WR
Corey Davis (11617481),11617481,WR
Kenny Golladay (11617477),11617477,WR
Leonard Fournette (11617283),11617283,RB
T.Y. Hilton (11617473),11617473,WR
Dion Lewis (11617299),11617299,RB
Larry Fitzgerald (11617483),11617483,WR
Joe Mixon (11617279),11617279,RB
Alshon Jeffery (11617469),11617469,WR
Amari Cooper (11617487),11617487,WR
Tyler Boyd (11617463),11617463,WR
Phillip Lindsay (11617293),11617293,RB
Sterling Shepard (11617489),11617489,WR
John Brown (11617475),11617475,WR
Lamar Miller (11617303),11617303,RB
Kerryon Johnson (11617287),11617287,RB
Alex Collins (11617309),11617309,RB
Mark Ingram (11617301),11617301,RB
Greg Olsen (11617701),11617701,TE
Marlon Mack (11617285),11617285,RB
O.J. Howard (11617703),11617703,TE
Calvin Ridley (11617479),11617479,WR
Theo Riddick (11617315),11617315,RB
Michael Crabtree (11617505),11617505,WR
DeSean Jackson (11617497),11617497,WR
Golden Tate (11617485),11617485,WR
Courtland Sutton (11617511),11617511,WR
Devin Funchess (11617493),11617493,WR
Jalen Richard (11617311),11617311,RB
Demaryius Thomas (11617501),11617501,WR
Doug Martin (11617307),11617307,RB
Christian Kirk (11617509),11617509,WR
Chris Godwin (11617521),11617521,WR
Adrian Peterson (11617289),11617289,RB
Evan Engram (11617711),11617711,TE
Willie Snead IV (11617523),11617523,WR
Donte Moncrief (11617499),11617499,WR
Jack Doyle (11617709),11617709,TE
Mohamed Sanu (11617495),11617495,WR
Eric Ebron (11617707),11617707,TE
Austin Hooper (11617705),11617705,TE
Jared Cook (11617715),11617715,TE
Maurice Harris (11617515),11617515,WR
Jordan Reed (11617717),11617717,TE
Vance McDonald (11617713),11617713,TE
Dede Westbrook (11617507),11617507,WR
Tyrell Williams (11617503),11617503,WR
Tre'Quan Smith (11617533),11617533,WR
D.J. Moore (11617527),11617527,WR
Keke Coutee (11617513),11617513,WR
Cole Beasley (11617519),11617519,WR
Ito Smith (11617343),11617343,RB
C.J. Uzomah (11617723),11617723,TE
Kapri Bibbs (11617351),11617351,RB
John Ross (11617517),11617517,WR
Nelson Agholor (11617531),11617531,WR
Jeff Heuerman (11617719),11617719,TE
Benjamin Watson (11617721),11617721,TE
Ricky Seals-Jones (11617725),11617725,TE
Peyton Barber (11617339),11617339,RB
Austin Ekeler (11617323),11617323,RB
Mike Williams (11617545),11617545,WR
Josh Doctson (11617525),11617525,WR
Adam Humphries (11617537),11617537,WR
Nyheim Hines (11617327),11617327,RB
Derrick Henry (11617317),11617317,RB
