Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
97,Devin Funchess,CAR,SEA,35,155,64.3,25.2,18.144
81,Marquise Goodwin,SF,TB,29,132,53.4,22.3,17.14793103
74,Austin Carr,NO,ATL,50,103,73.6,15.5,4.805
70,Bruce Ellington,DET,CHI,35,98,60.5,11.8,3.978285714
58,Kendrick Bourne,SF,TB,41,84,64.3,12.6,3.872195122
138,Saeed Blacknall,OAK,BAL,122,161,141.5,19.5,3.116803279
69,Dante Pettis,SF,TB,45,97,68.6,11.6,2.990222222
34,Doug Baldwin,SEA,CAR,20,52,30,7.5,2.8125
43,Devante Parker,MIA,IND,30,74,47.4,9.1,2.760333333
4,Antonio Brown,PIT,DEN,2,19,4,2.1,2.205
41,David Moore,SEA,CAR,27,63,46,7.3,1.973703704
65,Robby Anderson,NYJ,NE,48,92,67.2,9.7,1.960208333
80,Trent Taylor,SF,TB,61,97,81.4,10.4,1.773114754
24,Corey Davis,TEN,HOU,13,46,24.5,4.8,1.772307692
46,Willie Snead,BAL,OAK,25,68,43.9,6.6,1.7424
139,Deontay Burnett,NYJ,NE,128,157,142.5,14.5,1.642578125
88,Trey Quinn,WAS,DAL,46,93,70.6,8.6,1.607826087
53,Kenny Stills,MIA,IND,40,69,52.1,7.9,1.56025
107,Richie James,SF,TB,69,119,94.1,10.3,1.537536232
104,Torrey Smith,CAR,SEA,77,117,93.2,10.7,1.486883117
133,J'Mon Moore,GB,MIN,120,156,130.6,13.2,1.452
92,Cody Core,CIN,CLE,68,119,87.9,9.8,1.412352941
95,Taywan Taylor,TEN,HOU,76,132,94.5,10,1.315789474
82,Keith Kirkwood,NO,ATL,67,105,87.6,9.3,1.290895522
54,Curtis Samuel,CAR,SEA,36,80,55.4,6.7,1.246944444
44,Demaryius Thomas,HOU,TEN,27,68,46.1,5.8,1.245925926
39,Danny Amendola,MIA,IND,21,56,38.4,5.1,1.238571429
2,Odell Beckham Jr.,NYG,PHI,1,7,3.1,1.1,1.21
26,Courtland Sutton,DEN,PIT,18,39,27.6,4.6,1.175555556
100,Alex Erickson,CIN,CLE,69,123,96.4,9,1.173913043
22,Larry Fitzgerald,ARI,LAC,13,42,24.2,3.9,1.17
31,Mohamed Sanu,ATL,NO,21,49,31.8,4.9,1.143333333
120,DaeSean Hamilton,DEN,PIT,96,145,112,10.4,1.126666667
5,Adam Thielen,MIN,GB,2,9,4.7,1.5,1.125
66,Jermaine Kearse,NYJ,NE,41,74,65,6.7,1.094878049
47,John Brown,BAL,OAK,37,74,48,6.3,1.072702703
68,Randall Cobb,GB,MIN,41,95,68.2,6.6,1.062439024
59,Nelson Agholor,PHI,NYG,40,74,62.2,6.5,1.05625
25,D.J. Moore,CAR,SEA,16,36,26.2,4.1,1.050625
103,Robert Foster,BUF,JAC,77,121,108.3,8.8,1.005714286
28,Golden Tate,PHI,NYG,17,45,29.6,4.1,0.988823529
3,Julio Jones,ATL,NO,2,10,3.5,1.4,0.98
29,Sterling Shepard,NYG,PHI,19,54,29.9,4.3,0.973157895
90,Aldrick Robinson,MIN,GB,71,97,83.2,8.2,0.947042254
21,Calvin Ridley,ATL,NO,13,43,23.1,3.5,0.942307692
136,Damiere Byrd,CAR,SEA,118,139,128.5,10.5,0.934322034
77,Allen Hurns,DAL,WAS,67,111,80.7,7.9,0.931492537
52,Mike Williams,LAC,ARI,30,72,50.1,5,0.833333333
55,Michael Crabtree,BAL,OAK,38,65,52.8,5.6,0.825263158
50,Quincy Enunwa,NYJ,NE,40,66,52.6,5.7,0.81225
78,Jordy Nelson,OAK,BAL,61,87,76,7,0.803278689
19,Alshon Jeffery,PHI,NYG,12,27,19,3.1,0.800833333
143,Lance Lenoir,DAL,WAS,139,160,149.5,10.5,0.793165468
127,Darius Jennings,TEN,HOU,90,133,118.5,8.4,0.784
140,Keon Hatcher,OAK,BAL,135,158,143.7,10.2,0.770666667
61,Zay Jones,BUF,JAC,46,76,63,5.8,0.731304348
9,Keenan Allen,LAC,ARI,2,11,9.2,1.2,0.72
14,JuJu Smith-Schuster,PIT,DEN,11,22,14.6,2.8,0.712727273
105,Josh Bellamy,CHI,DET,88,125,103.4,7.9,0.709204545
51,Cole Beasley,DAL,WAS,37,59,50,5.1,0.702972973
35,Anthony Miller,CHI,DET,29,53,37.1,4.5,0.698275862
83,Chester Rogers,IND,MIA,70,107,82.8,6.8,0.660571429
112,Corey Coleman,NYG,PHI,89,131,110.6,7.6,0.648988764
86,TJ Jones,DET,CHI,73,102,85.2,6.8,0.633424658
32,Marquez Valdes-Scantling,GB,MIN,23,47,32.1,3.8,0.627826087
111,Dwayne Harris,OAK,BAL,82,133,109.6,7.1,0.614756098
48,John Ross,CIN,CLE,29,59,50.8,4.2,0.608275862
117,Cam Batson,TEN,HOU,98,130,119.5,7.7,0.605
62,Maurice Harris,WAS,DAL,50,76,66,5.5,0.605
42,Tyrell Williams,LAC,ARI,38,64,43.9,4.7,0.581315789
126,Andy Jones,DET,CHI,105,128,113.4,7.8,0.579428571
30,DeSean Jackson,TB,SF,25,40,31,3.8,0.5776
56,Dontrelle Inman,IND,MIA,37,69,56.7,4.6,0.571891892
33,Keke Coutee,HOU,TEN,24,49,32.3,3.7,0.570416667
89,Breshad Perriman,CLE,CIN,64,100,84.5,6,0.5625
71,Rashard Higgins,CLE,CIN,56,90,75.2,5.6,0.56
