Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
63,Charles Clay,BUF,MIA,26,79,51.6,17.5,11.77884615
73,Clive Walford,IND,JAC,46,96,67,17.8,6.887826087
65,Anthony Firkser,TEN,NYJ,33,76,54.2,14.1,6.024545455
75,Jaylen Samuels,PIT,LAC,36,70,52.3,13.9,5.366944444
70,Maxx Williams,BAL,ATL,51,92,63.2,15.5,4.710784314
47,Michael Roberts,DET,LAR,20,99,32.2,8.2,3.362
77,Garrett Celek,SF,SEA,47,84,69.2,12.3,3.21893617
49,Erik Swoope,IND,JAC,27,70,38,9,3
31,Hayden Hurst,BAL,ATL,23,54,31.2,6.8,2.010434783
79,Jacob Hollister,NE,MIN,63,91,72.5,11,1.920634921
41,Dan Arnold,NO,DAL,19,42,32.5,5.9,1.832105263
57,Xavier Grimble,PIT,LAC,46,83,57.4,8.8,1.683478261
39,Luke Willson,DET,LAR,28,58,40.5,6.3,1.4175
25,Matt LaCosse,DEN,CIN,17,37,30.1,4.9,1.412352941
87,Ian Thomas,CAR,TB,64,81,72.5,8.5,1.12890625
86,Robert Tonyan,GB,ARI,73,95,81,8.8,1.060821918
26,Mark Andrews,BAL,ATL,21,50,26.9,4.6,1.007619048
30,Rhett Ellison,NYG,CHI,18,34,24.6,4.2,0.98
50,Logan Thomas,BUF,MIA,38,90,49.4,6.1,0.979210526
88,Ben Braunecker,CHI,NYG,65,80,72.5,7.5,0.865384615
82,Chris Manhertz,CAR,TB,57,71,64,7,0.859649123
36,Ryan Griffin,HOU,CLE,16,45,35.5,3.7,0.855625
4,George Kittle,SF,SEA,2,8,4,1.3,0.845
28,Dallas Goedert,PHI,WAS,21,43,28.7,4.1,0.80047619
45,Dalton Schultz,DAL,NO,24,58,47.1,4.3,0.770416667
93,Darrell Daniels,ARI,GB,80,94,87,7,0.6125
42,Nick Boyle,BAL,ATL,25,50,42.1,3.9,0.6084
51,Luke Stocker,TEN,NYJ,37,56,44.3,4.6,0.571891892
8,Jared Cook,OAK,KC,3,10,7.8,1.3,0.563333333
24,Jesse James,PIT,LAC,17,32,24.8,3,0.529411765
34,Lance Kendricks,GB,ARI,26,42,34.1,3.7,0.526538462
76,Brian Parker,DEN,CIN,57,72,64.3,5.4,0.511578947
94,John Phillips,ARI,GB,85,98,91.5,6.5,0.497058824
38,Blake Jarwin,DAL,NO,32,51,41.8,3.9,0.4753125
23,Tyler Higbee,LAR,DET,16,29,23,2.6,0.4225
71,Adam Shaheen,CHI,NYG,56,77,63.2,4.7,0.394464286
7,Cameron Brate,TB,CAR,5,15,7.6,1.4,0.392
85,Eric Saubert,ATL,BAL,65,75,70,5,0.384615385
33,Ed Dickson,SEA,SF,22,38,32.5,2.9,0.382272727
52,Levine Toilolo,DET,LAR,34,59,47.6,3.5,0.360294118
55,Nick O'Leary,MIA,BUF,36,66,54.2,3.6,0.36
95,Ross Dwelley,SF,SEA,86,97,91.5,5.5,0.351744186
54,Rico Gathers,DAL,NO,47,65,55.3,4,0.340425532
21,Benjamin Watson,NO,DAL,17,32,21.9,2.4,0.338823529
3,Eric Ebron,IND,JAC,3,7,4,1,0.333333333
6,Greg Olsen,CAR,TB,3,9,6,1,0.333333333
53,Jermaine Gresham,ARI,GB,39,55,49.2,3.6,0.332307692
29,Ricky Seals-Jones,ARI,GB,24,35,28.7,2.8,0.326666667
72,Derek Carrier,OAK,KC,50,71,64,4,0.32
84,Orson Charles,CLE,HOU,68,79,74.3,4.6,0.311176471
60,Logan Paulsen,ATL,BAL,45,72,61.1,3.7,0.304222222
17,Jonnu Smith,TEN,NYJ,12,22,17.5,1.9,0.300833333
83,Matt Lengel,CIN,DEN,68,79,73.3,4.5,0.297794118
35,Mike Gesicki,MIA,BUF,29,55,34.7,2.9,0.29
9,David Njoku,CLE,HOU,5,16,8.4,1.2,0.288
40,Josh Hill,NO,DAL,34,53,41.2,3.1,0.282647059
61,A.J. Derby,MIA,BUF,49,80,55.8,3.7,0.279387755
56,Antony Auclair,TB,CAR,47,64,53.4,3.6,0.275744681
66,Ben Koyack,JAC,IND,53,74,57.4,3.8,0.27245283
13,C.J. Uzomah,CIN,DEN,11,20,13,1.7,0.262727273
32,James O'Shaughnessy,JAC,IND,19,36,31.1,2.2,0.254736842
15,Kyle Rudolph,MIN,NE,9,17,14.7,1.5,0.25
27,Vernon Davis,WAS,PHI,25,38,29.4,2.5,0.25
20,Nick Vannett,SEA,SF,17,32,21.4,2,0.235294118
58,Blake Bell,JAC,IND,58,73,64.8,3.6,0.223448276
91,Tyler Conklin,NE,MIN,75,83,79,4,0.213333333
18,Jimmy Graham,GB,ARI,14,25,19.1,1.7,0.206428571
44,Demetrius Harris,KC,OAK,38,54,44.5,2.8,0.206315789
59,Darren Fells,CLE,HOU,53,65,58.4,3.3,0.205471698
10,Jordan Reed,WAS,PHI,6,13,9.8,1.1,0.201666667
62,Seth DeValve,CLE,HOU,57,76,61.1,3.3,0.191052632
22,Antonio Gates,LAC,PIT,21,31,24.7,2,0.19047619
46,Jason Croom,BUF,MIA,43,59,50.4,2.8,0.182325581
48,Jordan Akins,HOU,CLE,40,54,44.5,2.7,0.18225
78,Scott Simonson,NYG,CHI,65,77,72.2,3.3,0.167538462
74,Marcedes Lewis,GB,ARI,54,69,65.6,3,0.166666667
5,Rob Gronkowski,NE,MIN,4,10,4.7,0.8,0.16
37,Jordan Thomas,HOU,CLE,29,49,36.8,2.1,0.152068966
89,Sean Culkin,LAC,PIT,74,82,78,3.3,0.147162162
12,Austin Hooper,ATL,BAL,9,17,12.1,1.1,0.134444444
68,Durham Smythe,MIA,BUF,43,88,60,2.4,0.133953488
43,Virgil Green,LAC,PIT,31,46,40.4,1.9,0.116451613
64,Jordan Leggett,NYJ,TEN,50,60,53.6,2.3,0.1058
16,Chris Herndon IV,NYJ,TEN,14,19,15.7,1.2,0.102857143
14,Vance McDonald,PIT,LAC,10,18,14.3,1,0.1
67,Lee Smith,OAK,KC,53,63,59.2,2.2,0.091320755
11,Trey Burton,CHI,NYG,8,15,11.5,0.8,0.08
19,Gerald Everett,LAR,DET,15,22,17.8,1,0.066666667
92,Richard Rodgers,PHI,WAS,81,85,83,2,0.049382716
69,Eric Tomlinson,NYJ,TEN,58,78,64.8,1.2,0.024827586
90,Alan Cross,TB,CAR,73,75,74,1,0.01369863
80,MyCole Pruitt,TEN,NYJ,68,70,69,0.8,0.009411765
1,Travis Kelce,KC,OAK,1,2,1,0,0
2,Zach Ertz,PHI,WAS,1,3,2,0,0
81,Jeremy Sprinkle,WAS,PHI,61,61,61,0,0
