Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
149,Rishard Matthews,NYJ,TEN,93,147,128.3,25,6.720430108
54,Chris Conley,KC,OAK,29,82,55.6,13.6,6.377931034
5,Antonio Brown,PIT,LAC,1,15,4,2.4,5.76
57,Devin Funchess,CAR,TB,31,105,56.7,11.4,4.192258065
27,A.J. Green,CIN,DEN,15,57,27.5,7.9,4.160666667
55,Marcell Ateman,OAK,KC,18,80,58.6,8.1,3.645
4,Adam Thielen,MIN,NE,1,10,3.5,1.9,3.61
104,Danny Amendola,MIA,BUF,54,161,73.2,13.7,3.475740741
50,Josh Doctson,WAS,PHI,24,74,49.5,8.4,2.94
73,Randall Cobb,GB,ARI,39,127,74.7,10.4,2.773333333
60,Bruce Ellington,DET,LAR,38,76,58,9.6,2.425263158
61,Dante Pettis,SF,SEA,41,82,60.4,9.7,2.294878049
139,Jake Kumerow,GB,ARI,101,141,127.2,14.8,2.168712871
30,Josh Reynolds,LAR,DET,18,48,30.3,5.8,1.868888889
142,Nick Williams,FA,,103,139,123.8,13.8,1.848932039
97,Leonte Carroo,MIA,BUF,66,110,92.8,11,1.833333333
26,Jarvis Landry,CLE,HOU,17,49,26.7,5.5,1.779411765
101,Jamison Crowder,WAS,PHI,63,144,93.6,10.5,1.75
2,Michael Thomas,NO,DAL,1,8,3.3,1.3,1.69
52,Michael Crabtree,BAL,ATL,36,73,52.6,7.8,1.69
56,Keke Coutee,HOU,CLE,36,71,56.5,7.2,1.44
25,Larry Fitzgerald,ARI,GB,16,46,26.7,4.7,1.380625
155,Martavis Bryant,OAK,KC,135,168,150,13.6,1.370074074
67,John Ross,CIN,DEN,53,86,63.9,8.3,1.299811321
112,Richie James,SF,SEA,91,135,105.5,10.8,1.281758242
91,Keelan Cole,JAC,IND,78,130,93.7,9.8,1.231282051
3,DeAndre Hopkins,HOU,CLE,1,6,3.4,1.1,1.21
29,Adam Humphries,TB,CAR,16,54,29.3,4.4,1.21
119,Auden Tate,CIN,DEN,97,149,121.2,10.7,1.180309278
137,Brice Butler,MIA,BUF,95,142,119,10.4,1.138526316
34,Chris Godwin,TB,CAR,23,48,33.7,5.1,1.130869565
44,Curtis Samuel,CAR,TB,23,65,46.9,5.1,1.130869565
126,Andre Holmes,BUF,MIA,91,157,123,10.1,1.120989011
16,Kenny Golladay,DET,LAR,8,21,15.2,2.9,1.05125
131,Rashad Greene,JAC,IND,98,129,109.4,10,1.020408163
1,Tyreek Hill,KC,OAK,1,5,1.9,1,1
85,Robert Foster,BUF,MIA,56,102,93,7.4,0.977857143
53,Devante Parker,MIA,BUF,40,71,57.6,6.2,0.961
123,Noah Brown,DAL,NO,86,129,115.3,9,0.941860465
66,Kenny Stills,MIA,BUF,46,76,63.9,6.5,0.918478261
143,Brandon Marshall,NO,DAL,103,125,116.7,9.7,0.913495146
11,Brandin Cooks,LAR,DET,6,20,11.4,2.3,0.881666667
151,Justin Hunter,PIT,LAC,114,134,124,10,0.877192982
108,Tim Patrick,DEN,CIN,105,137,118.2,9.5,0.85952381
