Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Vol
Josh McCown,QB,NYJ,@TEN,4400,5.4,-7.05,27.9,15.4,0.339200263
Jeff Driskel,QB,CIN,DEN,4500,5.5,-7.19,28,15.31,0.335410197
Marcus Mariota,QB,TEN,NYJ,5200,7.2,-7.53,31,16.27,0.330046617
Carlos Hyde,RB,JAX,IND,3300,3.9,-1.98,22.8,16.98,0.32900677
Mike Williams,WR,LAC,@PIT,3700,0,-7.29,19.8,12.5,0.325509995
Chase Daniel,QB,CHI,@NYG,4800,7.7,-5.91,30.2,16.6,0.324759526
Colt McCoy,QB,WAS,@PHI,4900,6.5,-7.38,29.2,15.33,0.324285714
Leonte Carroo,WR,MIA,BUF,3000,0,-5.89,17.7,11.77,0.323156309
Cody Kessler,QB,JAX,IND,4500,5.5,-7.25,27,14.22,0.320503077
Robert Foster,WR,BUF,@MIA,3300,0,-6.47,18.4,11.9,0.320302887
Dak Prescott,QB,DAL,NO,5400,7.6,-7.65,31.1,15.85,0.319794494
Spencer Ware,RB,KC,@OAK,4000,7.4,0.28,27.5,20.46,0.317808905
Bruce Ellington,WR,DET,LAR,3500,2.4,-4.47,21.2,14.31,0.317778
Damien Williams,RB,KC,@OAK,3000,0.2,-5.07,17.6,12.3,0.317679083
Ryan Tannehill,QB,MIA,BUF,4900,5.6,-8.3,27.6,13.73,0.314285714
Chris Godwin,WR,TB,CAR,3900,4.5,-3.18,24.1,16.43,0.313851181
Robby Anderson,WR,NYJ,@TEN,3500,0.4,-6.5,18.9,12.02,0.312707074
Keelan Cole,WR,JAX,IND,3000,0.6,-5.32,17.7,11.77,0.312201858
Matt LaCosse,TE,DEN,@CIN,2500,1.3,-3.27,16.9,12.34,0.312
Josh Allen,QB,BUF,@MIA,5300,6.4,-8.63,29.1,14.09,0.31180848
Marcell Ateman,WR,OAK,KC,3600,1.6,-5.45,20.3,13.23,0.311666667
Lamar Jackson,QB,BAL,@ATL,5900,8.9,-7.8,32.8,16.15,0.311151497
Kelvin Benjamin,WR,BUF,@MIA,3400,0.1,-6.56,18.2,11.5,0.310412439
Chris Conley,WR,KC,@OAK,3800,0.4,-7.07,19.5,12.03,0.309842914
Nick Mullens,QB,SF,@SEA,4700,3.5,-9.78,24.7,11.44,0.309233782
Josh Rosen,QB,ARI,@GB,4900,3.9,-9.98,25.5,11.59,0.308571429
Kenny Stills,WR,MIA,BUF,3800,0.4,-7.09,19.4,11.92,0.3082207
Dante Pettis,WR,SF,@SEA,3800,1.8,-5.72,20.7,13.18,0.306598486
Ito Smith,RB,ATL,BAL,3400,0,-6.02,17.8,11.8,0.305267482
Taywan Taylor,WR,TEN,NYJ,3300,0.3,-6.2,17.8,11.25,0.304635898
Baker Mayfield,QB,CLE,@HOU,5600,8.2,-7.64,30.9,15,0.30334151
Curtis Samuel,WR,CAR,@TB,3900,1.2,-6.53,20.1,12.44,0.302642211
Derek Carr,QB,OAK,KC,5000,8.1,-6.03,29.5,15.35,0.302641702
Michael Gallup,WR,DAL,NO,3500,0,-6.9,17.9,11.03,0.302565223
Peyton Barber,RB,TB,CAR,3700,2.6,-3.98,21,14.5,0.302494137
Deshaun Watson,QB,HOU,CLE,6100,10.4,-6.87,34,16.76,0.302167037
Dan Arnold,TE,NO,@DAL,2500,0.4,-4.17,15.5,10.94,0.302
Chester Rogers,WR,IND,@JAX,3100,0,-6.11,16.8,10.72,0.301736907
Dontrelle Inman,WR,IND,@JAX,3800,1,-6.5,19.6,12.12,0.301731843
DeVante Parker,WR,MIA,BUF,3800,0.5,-6.99,19.1,11.65,0.301731843
Ty Montgomery,RB,BAL,@ATL,3600,0,-6.37,18.1,11.69,0.301666667
Kirk Cousins,QB,MIN,@NE,5500,8.8,-6.81,31.1,15.51,0.300693139
Rhett Ellison,TE,NYG,CHI,2600,0.7,-4.07,16,11.28,0.300057687
Zay Jones,WR,BUF,@MIA,3600,0.5,-6.54,18.5,11.44,0.3
Courtland Sutton,WR,DEN,@CIN,4200,2.4,-5.91,21.8,13.48,0.299348499
Jordy Nelson,WR,OAK,KC,3700,0,-7.29,18.2,10.91,0.299206157
Frank Gore,RB,MIA,BUF,3500,3.2,-3.02,20.9,14.71,0.299184606
Demaryius Thomas,WR,HOU,CLE,4300,1.5,-7.01,21.1,12.63,0.298897198
David Moore,WR,SEA,SF,4300,0.7,-7.82,20.3,11.81,0.298897198
Kendrick Bourne,WR,SF,@SEA,3600,0.2,-6.85,18.1,10.98,0.298333333
Jameis Winston,QB,TB,CAR,6000,11.6,-5.36,34.7,17.75,0.298219718
Case Keenum,QB,DEN,@CIN,5200,7,-7.68,28.5,13.8,0.298151355
Ed Dickson,TE,SEA,SF,2500,0,-4.55,14.9,10.33,0.298
Adam Humphries,WR,TB,CAR,4200,5.3,-2.99,24.6,16.31,0.297805465
Derrick Henry,RB,TEN,NYJ,3800,1.3,-5.41,19.6,12.91,0.296865201
Nick Vannett,TE,SEA,SF,2600,0.3,-4.43,15.4,10.68,0.296135364
Jarius Wright,WR,CAR,@TB,3000,0,-5.91,16.2,10.25,0.295770181
Willie Snead,WR,BAL,@ATL,4000,0.9,-6.95,19.6,11.76,0.295672961
Eli Manning,QB,NYG,CHI,5000,6.8,-7.37,27.7,13.59,0.295570635
Carson Wentz,QB,PHI,WAS,5600,8.4,-7.45,30.5,14.7,0.295323672
Matthew Stafford,QB,DET,LAR,5400,8.4,-6.86,30.1,14.81,0.295299597
Taylor Gabriel,WR,CHI,@NYG,4200,2.9,-5.41,22,13.69,0.294719398
Cole Beasley,WR,DAL,NO,3900,1.5,-6.2,19.9,12.22,0.294635803
Tyler Higbee,TE,LAR,@DET,2700,0.1,-4.83,15.4,10.5,0.294448637
Cam Newton,QB,CAR,@TB,6600,13.1,-5.63,37,18.34,0.294188663
James O'Shaughnessy,TE,JAX,IND,2600,0.4,-4.28,15.4,10.7,0.294174203
Erik Swoope,TE,IND,@JAX,2500,0,-4.55,14.7,10.19,0.294
Gerald Everett,TE,LAR,@DET,2900,0.1,-5.19,15.9,10.59,0.293398634
Justin Jackson,RB,LAC,@PIT,3600,0.8,-5.56,18.4,12.06,0.293333333
Jordan Howard,RB,CHI,@NYG,4000,2.9,-4.21,21.4,14.3,0.292510684
Seth Roberts,WR,OAK,KC,4000,0.5,-7.37,19,11.11,0.292510684
Tajae Sharpe,WR,TEN,NYJ,3500,0,-6.9,17.3,10.4,0.292423372
Jeffery Wilson,RB,SF,@SEA,3000,0,-5.31,16,10.74,0.292118697
Jason Croom,TE,BUF,@MIA,2500,0.4,-4.18,15,10.48,0.292
Luke Willson,TE,DET,LAR,2500,0,-4.52,14.6,10.03,0.292
Blake Jarwin,TE,DAL,NO,2500,0,-4.55,14.6,10.05,0.292
Ryan Griffin,TE,HOU,CLE,2500,0,-4.55,14.6,10.1,0.292
Ben Roethlisberger,QB,PIT,LAC,6000,11.4,-5.54,34,17,0.291764745
Matt Ryan,QB,ATL,BAL,5600,8.8,-7.01,30.6,14.77,0.291314754
Antonio Gates,TE,LAC,@PIT,2800,0,-5.06,15.4,10.31,0.291032644
Ryan Switzer,WR,PIT,LAC,3500,0,-6.9,17.2,10.29,0.290733064
Antonio Callaway,WR,CLE,@HOU,4100,0.5,-7.61,19.1,11.06,0.290483197
Mike Gesicki,TE,MIA,BUF,2500,0.3,-4.3,14.8,10.29,0.29
Jermaine Kearse,WR,NYJ,@TEN,4000,1.7,-6.17,20,12.14,0.289348406
Anthony Miller,WR,CHI,@NYG,4500,0.9,-7.95,20.3,11.44,0.289198125
Lamar Miller,RB,HOU,CLE,4600,4.4,-3.72,24,15.86,0.288986234
Mohamed Sanu,WR,ATL,BAL,4300,1.1,-7.36,20,11.5,0.288222298
Mark Andrews,TE,BAL,@ATL,2500,0,-4.55,14.4,9.84,0.288
Nick O'Leary,TE,MIA,BUF,2500,0,-4.55,14.4,9.8,0.288
T.J. Yeldon,RB,JAX,IND,4400,5.1,-2.72,24.2,16.42,0.287943334
