Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Upside
Ryan Fitzpatrick,QB,TB,NO,4500,-1.3,-14.02,15.6,2.83,102.3644601
C.J. Beathard,QB,SF,DEN,4400,-0.8,-13.23,16.3,3.83,104.354669
Taysom Hill,QB,NO,@TB,4000,-1.3,-12.64,15.8,4.44,107.7232498
DaeSean Hamilton,WR,DEN,@SF,3000,0.6,-5.3,19.1,13.18,128.2718358
Josh Rosen,QB,ARI,DET,4700,4,-9.3,26.1,12.8,131.9348885
Tim Patrick,WR,DEN,@SF,3000,0.4,-5.49,18.7,12.77,126.8851132
Curtis Samuel,WR,CAR,@CLE,4000,1.4,-6.51,21.5,13.64,126.6220655
Nick Mullens,QB,SF,DEN,4600,3.9,-9.13,25.2,12.19,128.0738091
Brice Butler,WR,MIA,NE,3000,0.6,-5.28,18.8,12.9,126.1917519
Case Keenum,QB,DEN,@SF,5200,5.7,-9.03,27.3,12.55,124.6768927
Sam Darnold,QB,NYJ,@BUF,4400,3.4,-9.01,24.9,12.49,131.2061628
Justin Jackson,RB,LAC,CIN,3800,3.8,-2.93,23.3,16.56,124.9606894
Jaylen Samuels,RB,PIT,@OAK,3700,5.1,-1.43,24.4,17.81,124.7833769
Russell Wilson,QB,SEA,MIN,6100,8.3,-8.95,31.1,13.81,124.7838082
Dak Prescott,QB,DAL,PHI,5600,6.9,-8.91,30.6,14.73,133.4603738
Baker Mayfield,QB,CLE,CAR,5800,7.6,-8.77,30.3,13.88,126.3426144
Marcell Ateman,WR,OAK,PIT,3700,0.5,-6.74,19.7,12.37,124.1368309
Chris Conley,WR,KC,BAL,3800,0.9,-6.59,20.2,12.72,123.6790413
Matthew Stafford,QB,DET,@ARI,5200,6.2,-8.54,27.7,13.03,124.0996849
Josh Allen,QB,BUF,NYJ,5500,7,-8.52,30.9,15.31,135.3974041
Michael Gallup,WR,DAL,PHI,3700,1.2,-6.07,20.3,13.03,123.4902849
Demaryius Thomas,WR,HOU,IND,4100,1.5,-6.55,21.2,13.09,123.0849463
Robert Foster,WR,BUF,NYJ,3300,0.1,-6.45,18.4,11.86,122.9173277
Mike Williams,WR,LAC,CIN,3900,0,-7.68,19.3,11.65,122.6127896
Taylor Gabriel,WR,CHI,LAR,3900,2.8,-4.86,22.1,14.43,122.6127896
DeAndre Carter,WR,HOU,IND,3200,0.3,-6,18.3,12.04,122.1487927
Patrick Mahomes,QB,KC,BAL,7000,11.5,-8.33,35.2,15.35,123.8936362
Kirk Cousins,QB,MIN,@SEA,5600,7.5,-8.3,29.7,13.84,125.0135147
Seth Roberts,WR,OAK,PIT,3500,0.8,-6.12,19.2,12.27,121.1886111
Jeff Wilson,RB,SF,DEN,3800,7.1,0.35,26,19.28,121.1157451
Cody Kessler,QB,JAX,@TEN,4400,4.4,-8.08,26.2,13.72,133.0369464
Taywan Taylor,WR,TEN,JAX,3400,0.3,-6.41,18.5,11.83,121.0352158
Anthony Miller,WR,CHI,LAR,4300,0.9,-7.59,20.5,11.98,120.5313219
Carson Wentz,QB,PHI,@DAL,5400,7.3,-7.97,29.6,14.32,127.108212
Bruce Ellington,WR,DET,@ARI,3800,2.4,-5.06,21.2,13.69,120.4749211
Quincy Enunwa,WR,NYJ,@BUF,3700,1,-6.3,19.6,12.34,120.2575549
Zay Jones,WR,BUF,NYJ,4200,1.7,-6.53,21.1,12.81,120.2408303
Stevan Ridley,RB,PIT,@OAK,3300,1.2,-4.61,19.1,13.25,120.2306101
Damien Williams,RB,KC,BAL,3000,0.9,-4.36,18.2,12.92,119.9515005
Travis Benjamin,WR,LAC,CIN,3000,0,-5.91,17.3,11.35,119.9515005
TreQuan Smith,WR,NO,@TB,4500,1,-7.91,20.8,11.95,119.9299591
Donte Moncrief,WR,JAX,@TEN,3800,0.5,-6.96,19.2,11.74,119.834097
Dede Westbrook,WR,JAX,@TEN,3900,0.7,-6.94,19.5,11.86,119.4362925
Peyton Barber,RB,TB,NO,3600,1.5,-4.88,19.8,13.38,119.4034631
Antonio Callaway,WR,CLE,CAR,3900,1,-6.66,19.7,12.06,118.800993
Ryan Grant,WR,IND,@HOU,3200,0.5,-5.8,18,11.74,118.7557707
Cam Newton,QB,CAR,@CLE,6300,10.4,-7.42,34.3,16.51,129.4049982
Ben Roethlisberger,QB,PIT,@OAK,6800,11.9,-7.35,34.7,15.45,120.3460599
Kenny Stills,WR,MIA,NE,4100,1.7,-6.33,20.7,12.59,118.7113695
John Ross,WR,CIN,@LAC,3800,0,-7.49,18.5,11.06,118.5524489
Courtland Sutton,WR,DEN,@SF,4500,5.1,-3.74,24.6,15.78,118.1128385
Marcus Mariota,QB,TEN,JAX,4900,6.7,-7.15,30.1,16.19,137.76868
Isaiah Crowell,RB,NYJ,@BUF,3600,2.7,-3.7,20.8,14.46,118.0985072
Tyrell Williams,WR,LAC,CIN,4600,0.1,-8.99,19.7,10.62,117.8519558
Dante Pettis,WR,SF,DEN,4400,1.8,-6.9,21.1,12.47,117.7804159
Jordy Nelson,WR,OAK,PIT,4200,0.8,-7.5,19.8,11.49,117.7616379
Larry Fitzgerald,WR,ARI,DET,4900,3.9,-5.79,23.9,14.21,117.7510086
Robby Anderson,WR,NYJ,@BUF,3600,0,-7.09,18,10.93,117.4460292
Keith Kirkwood,WR,NO,@TB,3500,0,-6.9,17.8,10.91,117.2368086
Tom Brady,QB,NE,@MIA,5800,9.3,-7.08,31,14.54,120.7768604
Sterling Shepard,WR,NYG,@WAS,4400,2.2,-6.49,21.4,12.78,117.1701547
Frank Gore,RB,MIA,NE,3300,2.4,-3.42,19.8,13.96,116.8722132
Eli Manning,QB,NYG,@WAS,5100,7.4,-7.05,28.2,13.75,120.8388573
Mark Sanchez,QB,WAS,NYG,4000,4.3,-7.04,26.6,15.24,140.4811971
Jeff Driskel,QB,CIN,@LAC,4400,5.4,-7.02,27.6,15.16,135.4779913
Adam Humphries,WR,TB,NO,4900,7.3,-2.32,27.1,17.46,116.5734985
David Moore,WR,SEA,MIN,4100,0,-8.08,18.6,10.56,116.2121828
Josh Reynolds,WR,LAR,@CHI,4600,2.1,-6.97,21.4,12.37,116.0480993
Chris Godwin,WR,TB,NO,4900,6.7,-2.98,26.4,16.71,115.9847434
Keelan Cole,WR,JAX,@TEN,3000,0,-5.91,16.7,10.84,115.7913328
Elijah McGuire,RB,NYJ,@BUF,3400,0.7,-5.34,18.1,12.06,115.7149866
Isaiah McKenzie,WR,BUF,NYJ,3400,1.3,-5.43,18.7,11.98,115.7149866
LeGarrette Blount,RB,DET,@ARI,3900,2.1,-4.82,20.3,13.39,115.6244959
DeVante Parker,WR,MIA,NE,4300,2.4,-6.09,21.2,12.7,115.6116761
Derek Carr,QB,OAK,PIT,5000,7.3,-6.8,28.8,14.61,125.7327627
Derrick Henry,RB,TEN,JAX,3600,1,-5.39,18.7,12.36,115.4885954
Ryan Tannehill,QB,MIA,NE,4800,6.8,-6.74,29.5,15.9,134.56913
Marquez Valdes-Scantling,WR,GB,ATL,4400,0.3,-8.36,19.2,10.49,115.339371
Trent Sherfield,WR,ARI,DET,3000,0,-5.91,16.6,10.66,115.0979715
Kenyan Drake,RB,MIA,NE,4500,4.1,-3.86,23.1,15.09,115.0843042
Ito Smith,RB,ATL,@GB,3400,0.2,-5.81,17.5,11.51,115.0499579
Doug Baldwin,WR,SEA,MIN,4800,3.1,-6.4,22.5,13.06,115.0062168
Aaron Rodgers,QB,GB,ATL,6000,10.3,-6.71,32.7,15.69,123.2719506
Mohamed Sanu,WR,ATL,@GB,4300,2.6,-5.87,21.3,12.79,114.9967204
Calvin Ridley,WR,ATL,@GB,5200,2,-8.23,21.9,11.66,114.8643595
Rashard Higgins,WR,CLE,CAR,3600,0,-7.09,17.6,10.46,114.8361175
Duke Johnson,RB,CLE,CAR,3700,1.5,-5,19.2,12.68,114.438641
Golden Tate,WR,PHI,@DAL,4800,2.8,-6.66,22.1,12.66,114.4134013
Jordan Howard,RB,CHI,LAR,3900,1.7,-5.23,19.7,12.85,114.353897
Dan Arnold,TE,NO,@TB,2500,0.4,-4.14,15.9,11.38,114.2049765
Deshaun Watson,QB,HOU,IND,5900,10.1,-6.56,33.6,16.89,130.0520468
Tevin Coleman,RB,ATL,@GB,4400,2.8,-4.98,21.5,13.75,114.1188486
Kenneth Dixon,RB,BAL,@KC,3200,1,-4.7,17.8,12.16,114.0055399
Royce Freeman,RB,DEN,@SF,3500,0.4,-5.84,17.7,11.54,113.9436398
Corey Davis,WR,TEN,JAX,5100,2.9,-7.14,22.5,12.45,113.8673847
Matt Ryan,QB,ATL,@GB,5600,9.3,-6.51,31,15.1,122.197895
Willie Snead,WR,BAL,@KC,3700,0.2,-7.1,17.8,10.52,113.792095
Tyler Lockett,WR,SEA,MIN,5600,3.8,-7.27,24,13,113.7510359
Andrew Luck,QB,IND,@HOU,5900,10.2,-6.5,31.8,15.1,119.5372005
Nelson Agholor,WR,PHI,@DAL,3600,0,-7.09,17.4,10.3,113.5311616
Ryan Switzer,WR,PIT,@OAK,3600,0,-7.09,17.3,10.16,112.8786837
Jamison Crowder,WR,WAS,NYG,4000,0.7,-7.18,18.6,10.76,112.762934
Ian Thomas,TE,CAR,@CLE,2700,0.4,-4.52,16.1,11.21,112.7487488
Randall Cobb,WR,GB,ATL,4300,0.4,-8.05,18.7,10.19,112.5368975
John Brown,WR,BAL,@KC,4200,0,-8.27,18.1,9.8,112.1834551
Lamar Jackson,QB,BAL,@KC,5700,9.8,-6.36,33,16.86,129.8762378
Lamar Miller,RB,HOU,IND,5100,4.7,-4.36,24,14.94,112.1245166
Allen Robinson,WR,CHI,LAR,5600,3.3,-7.75,23.1,12.09,111.4985402
Spencer Ware,RB,KC,BAL,5200,3.9,-5.32,23.2,13.95,111.4011125
Devin Funchess,WR,CAR,@CLE,4700,0.5,-8.73,19.1,9.86,111.0402229
Philip Rivers,QB,LAC,CIN,6500,12.1,-6.31,32.5,14.14,109.3097871
Jermaine Kearse,WR,NYJ,@BUF,3600,0.2,-6.91,17.2,10.12,110.9212498
Adrian Peterson,RB,WAS,NYG,4800,3.9,-4.61,22.6,14.09,110.856508
Gus Edwards,RB,BAL,@KC,4500,3.4,-4.58,21.7,13.74,110.8443562
Tajae Sharpe,WR,TEN,JAX,3300,0,-6.5,16.5,10.05,110.8270987
Doug Martin,RB,OAK,PIT,4300,3.5,-4.14,21.5,13.93,110.6920303
Cameron Brate,TE,TB,NO,3500,1.2,-5.21,18,11.66,110.650471
Drew Brees,QB,NO,@TB,6600,12.5,-6.2,34.3,15.59,116.2184775
Gerald Everett,TE,LAR,@CHI,2700,0,-4.91,15.4,10.48,110.5943141
Tyler Higbee,TE,LAR,@CHI,2600,0.3,-4.42,15.5,10.75,110.5399181
Erik Swoope,TE,IND,@HOU,2500,0,-4.55,15,10.48,110.520945
Jameis Winston,QB,TB,NO,6200,11.4,-6.16,34.2,16.69,124.1092879
Jared Goff,QB,LAR,@CHI,5800,10.3,-6.12,31.8,15.34,119.6637096
Antonio Gates,TE,LAC,CIN,2800,0.2,-4.88,15.7,10.61,109.9712144
LeSean McCoy,RB,BUF,NYJ,5000,4.1,-4.74,22.9,14.03,109.943067
Alshon Jeffery,WR,PHI,@DAL,5500,1.7,-9.16,21.1,10.25,109.904169
Matt LaCosse,TE,DEN,@SF,2700,0.5,-4.43,15.8,10.85,109.8761692
Marquise Goodwin,WR,SF,DEN,4700,0,-9.26,18.4,9.1,109.846242
Keenan Allen,WR,LAC,CIN,7400,10,-4.53,31.4,16.83,109.8170737
James O'Shaughnessy,TE,JAX,@TEN,2500,0.2,-4.33,15.1,10.54,109.7841387
Demarcus Robinson,WR,KC,BAL,3000,0,-5.91,15.8,9.85,109.5510813
Jordan Thomas,TE,HOU,IND,3000,0.5,-4.94,16.3,10.86,109.5510813
Mitch Trubisky,QB,CHI,LAR,5600,9.9,-5.96,33.1,17.28,130.6447541
Chris Herndon,TE,NYJ,@BUF,3000,0.8,-4.67,16.6,11.09,109.5510813
Phillip Lindsay,RB,DEN,@SF,6300,6.8,-4.36,27,15.82,109.3715885
Jalen Richard,RB,OAK,PIT,4100,4.4,-2.88,21.9,14.65,109.3394193
Charles Clay,TE,BUF,NYJ,2500,0.1,-4.47,14.9,10.32,109.0473324
T.J. Yeldon,RB,JAX,@TEN,4000,1.6,-5.46,18.9,11.81,108.9831708
Josh Gordon,WR,NE,@MIA,6000,4,-7.86,23.8,11.95,108.9635992
T.Y. Hilton,WR,IND,@HOU,6300,7,-5.39,27.1,14.66,108.8301449
Corey Clement,RB,PHI,@DAL,3300,0.1,-5.76,16.3,10.49,108.8120606
D.J. Moore,WR,CAR,@CLE,5700,3.6,-7.68,23,11.77,108.6034057
Mark Andrews,TE,BAL,@KC,2800,0.3,-4.85,15.6,10.49,108.552231
Tyreek Hill,WR,KC,BAL,8000,7.9,-7.87,29.6,13.87,108.5
Josh Doctson,WR,WAS,NYG,4500,0.5,-8.35,18.4,9.51,108.4215287
Trey Burton,TE,CHI,LAR,3400,1.7,-4.46,18,11.84,108.3996713
Jonnu Smith,TE,TEN,JAX,3100,0.3,-5.35,16.1,10.47,108.3602144
Chris Carson,RB,SEA,MIN,4900,2.9,-5.76,21.3,12.63,108.3309279
Kenny Golladay,WR,DET,@ARI,6400,4.3,-8.35,24.4,11.82,108.2603432
Robert Woods,WR,LAR,@CHI,6700,6.4,-6.8,26.8,13.57,108.2111219
Dion Lewis,RB,TEN,JAX,4400,3.9,-3.89,21.6,13.77,108.0162363
Giovani Bernard,RB,CIN,@LAC,4000,1.2,-5.89,18.3,11.19,107.7232498
