Rank,WSIS,Running Backs,Team,Opp,Best,Worst,Avg,Std Dev,Uncertainty
76,,LeSean McCoy,BUF,vs. DET,22,108,73.3,20.3,18.73136364
66,,Matt Breida,SF,vs. SEA,21,101,59.2,19.2,17.55428571
94,,James Conner,PIT,vs. NE,15,111,90.3,10.8,7.776
43,,Charcandrick West,KC,vs. LAC,14,54,35.1,8.9,5.657857143
81,,Kerryon Johnson,DET,at BUF,40,102,76.1,11.5,3.30625
28,,Elijah McGuire,NYJ,vs. HOU,10,50,29.1,5.6,3.136
44,,Zach Zenner,DET,at BUF,26,78,42.3,8.3,2.649615385
34,,Jeff Wilson,SF,vs. SEA,18,52,32.9,6.7,2.493888889
5,,Alvin Kamara,NO,at CAR,1,10,5.3,1.4,1.96
17,,Aaron Jones,GB,at CHI,3,23,17.3,2.2,1.613333333
30,,Kenneth Dixon,BAL,vs. TB,22,63,30.8,5.9,1.582272727
10,,David Johnson,ARI,at ATL,2,27,10,1.6,1.28
32,,Dion Lewis,TEN,at NYG,21,44,32.2,5,1.19047619
57,,Detrez Newsome,LAC,at KC,42,71,56.5,6.9,1.133571429
88,,Cordarrelle Patterson,NE,at PIT,63,94,81.7,8.4,1.12
79,,Byron Marshall,WAS,at JAC,53,74,65.2,7.6,1.089811321
19,,Damien Williams,KC,vs. LAC,10,67,17.6,3.2,1.024
110,,Boston Scott,PHI,at LAR,85,108,101,9.3,1.017529412
58,,Marcus Murphy,BUF,vs. DET,42,95,60.5,6.5,1.005952381
16,,Jaylen Samuels,PIT,vs. NE,9,46,16.6,3,1
53,,Rex Burkhead,NE,at PIT,41,67,53.4,6.4,0.99902439
104,,Benny Cunningham,CHI,vs. GB,79,103,92,8.5,0.914556962
9,,Tarik Cohen,CHI,vs. GB,7,19,9.8,2.5,0.892857143
72,,Darrel Williams,KC,vs. LAC,58,109,71.7,6.9,0.820862069
105,,Matthew Dayes,SF,vs. SEA,80,101,92.5,8.1,0.820125
90,,Justin Davis,LAR,vs. PHI,67,96,83.8,7.4,0.817313433
46,,Darren Sproles,PHI,at LAR,34,60,45.1,5.2,0.795294118
21,,Sony Michel,NE,at PIT,12,30,20.8,3,0.75
106,,Brian Hill,ATL,vs. ARI,90,110,99.8,8.1,0.729
100,,Troymaine Pope,LAC,at KC,71,92,85,7,0.690140845
24,,Tevin Coleman,ATL,vs. ARI,19,36,26.5,3.6,0.682105263
108,,Ameer Abdullah,MIN,vs. MIA,87,110,100.4,7.7,0.681494253
3,,Saquon Barkley,NYG,vs. TEN,1,7,2.6,0.8,0.64
80,,John Kelly,LAR,vs. PHI,72,114,80.7,6.7,0.623472222
