Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
5,Todd Gurley,LAR,ARI,1,22,5,3.8,14.44
15,Derrick Henry,TEN,WAS,1,21,14.7,3.7,13.69
89,C.J. Anderson,LAR,ARI,46,107,71.9,17.3,6.506304348
58,Spencer Ware,KC,SEA,28,108,50.5,12.2,5.315714286
91,Kapri Bibbs,GB,NYJ,31,99,68.7,11.8,4.491612903
16,Jaylen Samuels,PIT,NO,8,35,15.7,5.8,4.205
111,Kenjon Barner,CAR,ATL,88,122,105,17,3.284090909
54,John Kelly,LAR,ARI,28,84,57.4,9.4,3.155714286
35,Matt Breida,SF,CHI,22,113,35.5,8.2,3.056363636
31,Lamar Miller,HOU,PHI,21,64,32.8,7.5,2.678571429
104,Zach Line,NO,PIT,73,106,91.3,13.7,2.57109589
108,Trey Edmunds,PIT,NO,92,124,103.3,14.6,2.316956522
17,Damien Williams,KC,SEA,10,30,16,4.7,2.209
70,Rashaad Penny,SEA,KC,43,109,66.4,8.7,1.760232558
109,Benny Cunningham,CHI,SF,88,118,102,12.3,1.719204545
83,Cordarrelle Patterson,NE,BUF,54,89,77.1,9.4,1.636296296
12,Tarik Cohen,CHI,SF,8,23,12.6,3.5,1.53125
10,Melvin Gordon,LAC,BAL,5,19,11.2,2.7,1.458
3,Saquon Barkley,NYG,IND,1,6,3.4,1.2,1.44
79,David Williams,JAC,MIA,56,86,76.6,8.1,1.171607143
36,LeSean McCoy,BUF,NE,27,51,37.2,5.6,1.161481481
110,Ameer Abdullah,MIN,DET,97,119,105,9.9,1.010412371
71,Brian Hill,ATL,CAR,53,120,69.6,7.2,0.978113208
76,Charcandrick West,KC,SEA,45,107,67.3,6.3,0.882
13,Marlon Mack,IND,NYG,6,16,12.9,2.3,0.881666667
84,D'Onta Foreman,HOU,PHI,63,112,90.3,7.4,0.869206349
57,Trenton Cannon,NYJ,GB,45,69,57.8,6.1,0.826888889
44,Mike Davis,SEA,KC,29,54,42.1,4.8,0.794482759
41,Darren Sproles,PHI,HOU,32,55,39.1,5,0.78125
56,Justin Jackson,LAC,BAL,39,79,56.8,5.5,0.775641026
22,Tevin Coleman,ATL,CAR,15,27,21.7,3.4,0.770666667
74,Carlos Hyde,JAC,MIA,64,102,75.1,6.9,0.74390625
34,Dion Lewis,TEN,WAS,27,43,35.4,4.4,0.717037037
107,Tre Madden,SEA,KC,84,99,91.5,7.5,0.669642857
40,Duke Johnson,CLE,CIN,29,51,38.2,4.3,0.637586207
28,Theo Riddick,DET,MIN,26,40,29.8,4,0.615384615
18,Sony Michel,NE,BUF,13,24,18.6,2.8,0.603076923
66,Chris Ivory,BUF,NE,59,112,69.7,5.9,0.59
80,Javorius Allen,BAL,LAC,67,123,80.9,6.1,0.555373134
7,Joe Mixon,CIN,CLE,6,14,8,1.8,0.54
8,Phillip Lindsay,DEN,OAK,6,15,9.1,1.8,0.54
38,Zach Zenner,DET,MIN,30,47,37.9,4,0.533333333
9,Chris Carson,SEA,KC,7,14,10,1.9,0.515714286
11,Dalvin Cook,MIN,DET,7,16,11.9,1.9,0.515714286
73,Brandon Bolden,MIA,JAC,60,81,71.7,5.5,0.504166667
68,Darrel Williams,KC,SEA,55,100,72.3,5.1,0.472909091
32,Kenyan Drake,MIA,JAC,26,43,34.6,3.5,0.471153846
50,Nyheim Hines,IND,NYG,38,58,47.6,4.2,0.464210526
20,Elijah McGuire,NYJ,GB,11,25,20,2.2,0.44
39,Kenneth Dixon,BAL,LAC,28,52,38.1,3.5,0.4375
14,David Johnson,ARI,LAR,8,19,13.5,1.8,0.405
47,Jeff Wilson,SF,CHI,32,59,49.5,3.6,0.405
69,Stevan Ridley,PIT,NO,60,85,70.7,4.9,0.400166667
67,Byron Marshall,WAS,TEN,49,68,58.3,4.4,0.395102041
48,Rex Burkhead,NE,BUF,45,66,52.1,4.2,0.392
90,Alfred Morris,SF,CHI,71,98,90.9,5.2,0.38084507
37,Josh Adams,PHI,HOU,31,44,37.8,3.4,0.372903226
82,Justin Davis,LAR,ARI,61,85,78.4,4.7,0.362131148
42,Adrian Peterson,WAS,TEN,32,46,40.3,3.4,0.36125
2,Ezekiel Elliott,DAL,TB,1,4,2.4,0.6,0.36
51,Alfred Blue,HOU,PHI,27,61,49.8,3.1,0.355925926
60,James Develin,NE,BUF,54,71,60.7,4.3,0.342407407
23,Mark Ingram,NO,PIT,17,27,22.1,2.3,0.311176471
92,Ty Montgomery,BAL,LAC,76,104,91.5,4.8,0.303157895
21,Jamaal Williams,GB,NYJ,16,30,21.1,2.2,0.3025
93,Elijhaa Penny,NYG,IND,82,102,95,4.9,0.292804878
33,Peyton Barber,TB,DAL,24,42,35,2.6,0.281666667
