Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
21,Jaylen Samuels,PIT,NO,2,24,9.8,6.5,21.125
37,Jeremy Sprinkle,WAS,TEN,19,61,42.2,8.9,4.168947368
26,Matt LaCosse,DEN,OAK,14,50,31.4,5.5,2.160714286
31,Anthony Firkser,TEN,WAS,18,48,36.2,5.8,1.868888889
44,Dalton Schultz,DAL,TB,30,55,41.8,6.2,1.281333333
78,Dwayne Allen,NE,BUF,61,82,71.7,8.6,1.212459016
24,Nick Vannett,SEA,KC,21,39,26.6,4.8,1.097142857
43,Dan Arnold,NO,PIT,29,55,44.2,5.3,0.96862069
50,Jordan Leggett,NYJ,GB,26,64,51,5,0.961538462
49,Lee Smith,OAK,DEN,35,57,47.6,5.6,0.896
60,Tyler Conklin,NE,BUF,49,79,56.4,6.3,0.81
54,Maxx Williams,BAL,LAC,37,64,53,5.1,0.702972973
83,Ben Braunecker,CHI,SF,74,88,81,7,0.662162162
48,Mo Alie-Cox,IND,NYG,35,61,50.5,4.8,0.658285714
69,Logan Thomas,BUF,NE,59,81,66.6,6.2,0.651525424
23,Jordan Thomas,HOU,PHI,18,32,23,3.4,0.642222222
53,Rhett Ellison,NYG,IND,39,66,51.9,5,0.641025641
32,Ed Dickson,SEA,KC,20,42,32.7,3.5,0.6125
35,Levine Toilolo,DET,MIN,23,36,29.5,3.6,0.563478261
34,Lance Kendricks,GB,NYJ,32,47,37.1,4.2,0.55125
27,Antonio Gates,LAC,BAL,19,34,26.5,3.1,0.505789474
9,Cameron Brate,TB,DAL,8,17,10,2,0.5
59,Jason Croom,BUF,NE,58,76,65.5,5.3,0.484310345
58,MyCole Pruitt,TEN,WAS,40,66,58,4.3,0.46225
16,Jimmy Graham,GB,NYJ,9,20,17,2,0.444444444
73,Marcedes Lewis,GB,NYJ,63,84,71.2,5.2,0.429206349
40,Josh Hill,NO,PIT,30,49,40.2,3.5,0.408333333
6,Rob Gronkowski,NE,BUF,3,11,6.6,1.1,0.403333333
38,Hayden Hurst,BAL,LAC,34,58,41.8,3.7,0.402647059
66,Darren Fells,CLE,CIN,54,74,64.2,4.6,0.391851852
25,Ricky Seals-Jones,ARI,LAR,16,33,25.8,2.5,0.390625
12,Austin Hooper,ATL,CAR,8,16,12.2,1.7,0.36125
39,Mike Gesicki,MIA,JAC,34,56,40.1,3.5,0.360294118
20,Blake Jarwin,DAL,TB,15,29,21,2.3,0.352666667
63,Blake Bell,JAC,MIA,60,78,67.9,4.6,0.352666667
51,Jordan Akins,HOU,PHI,46,62,54.3,3.9,0.330652174
3,George Kittle,SF,CHI,2,5,3.5,0.8,0.32
47,Luke Stocker,TEN,WAS,37,54,44.2,3.4,0.312432432
52,Luke Willson,DET,MIN,44,63,51.6,3.7,0.311136364
17,Gerald Everett,LAR,ARI,13,26,17.8,2,0.307692308
82,Jacob Hollister,NE,BUF,67,76,71.5,4.5,0.302238806
28,Mark Andrews,BAL,LAC,21,35,28.3,2.3,0.251904762
19,Dallas Goedert,PHI,HOU,16,25,20.2,2,0.25
62,Garrett Celek,SF,CHI,54,68,63.2,3.5,0.226851852
56,Jermaine Gresham,ARI,LAR,50,60,53.7,3.3,0.2178
33,Jesse James,PIT,NO,27,48,31.1,2.4,0.213333333
57,Nick O'Leary,MIA,JAC,47,67,57.8,3.1,0.204468085
42,Demetrius Harris,KC,SEA,31,42,39.2,2.5,0.201612903
18,Ian Thomas,CAR,ATL,13,23,19.1,1.6,0.196923077
14,Chris Herndon IV,NYJ,GB,10,18,14.1,1.4,0.196
71,Logan Paulsen,ATL,CAR,60,73,68.6,3.4,0.192666667
41,Charles Clay,BUF,NE,33,44,38.1,2.5,0.189393939
13,Vance McDonald,PIT,NO,8,18,13.9,1.2,0.18
70,Seth DeValve,CLE,CIN,57,80,68,3.2,0.179649123
68,Brian Parker,DEN,OAK,58,72,66.2,3.2,0.176551724
10,C.J. Uzomah,CIN,CLE,10,21,11.2,1.3,0.169
77,Xavier Grimble,PIT,NO,73,83,76.2,3.5,0.167808219
4,Eric Ebron,IND,NYG,3,5,4,0.7,0.163333333
36,Ryan Griffin,HOU,PHI,30,39,34.4,2.2,0.161333333
5,Jared Cook,OAK,DEN,4,8,5.7,0.8,0.16
29,Tyler Higbee,LAR,ARI,25,36,29,2,0.16
81,Darren Waller,OAK,DEN,69,83,77,3.3,0.157826087
84,Scott Simonson,NYG,IND,80,89,83,3.5,0.153125
79,Ben Koyack,JAC,MIA,65,80,76.6,3.1,0.147846154
15,Kyle Rudolph,MIN,DET,14,19,16,1.4,0.14
75,Chris Manhertz,CAR,ATL,62,80,73.3,2.9,0.135645161
45,Adam Shaheen,CHI,SF,33,52,47.2,2,0.121212121
11,Trey Burton,CHI,SF,10,16,11.4,1.1,0.121
72,Rico Gathers,DAL,TB,66,92,71,2.8,0.118787879
22,Benjamin Watson,NO,PIT,19,37,23.4,1.5,0.118421053
30,James O'Shaughnessy,JAC,MIA,25,34,29.3,1.6,0.1024
61,Derek Carrier,OAK,DEN,51,70,57,2.1,0.086470588
64,Antony Auclair,TB,DAL,56,78,63,2.2,0.086428571
65,Eric Saubert,ATL,CAR,59,78,67.3,2.2,0.082033898
8,David Njoku,CLE,CIN,7,12,8.8,0.7,0.07
7,Evan Engram,NYG,IND,6,9,7,0.6,0.06
55,Nick Boyle,BAL,LAC,51,62,54.3,1.6,0.050196078
67,Eric Tomlinson,NYJ,GB,58,75,66.2,1.6,0.044137931
74,Durham Smythe,MIA,JAC,63,74,71.2,1.5,0.035714286
46,Virgil Green,LAC,BAL,41,48,45.1,1.1,0.029512195
76,Robert Tonyan,GB,NYJ,69,81,76.2,1.2,0.020869565
2,Zach Ertz,PHI,HOU,2,3,2,0.2,0.02
80,Matt Lengel,CIN,CLE,62,77,76.8,0.4,0.002580645
1,Travis Kelce,KC,SEA,1,1,1,0,0
