Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
108,DeSean Jackson,TB,DAL,40,153,88.6,32.9,27.06025
19,Keenan Allen,LAC,BAL,5,64,20.7,9.3,17.298
100,Keke Coutee,HOU,PHI,36,145,92,19.2,10.24
78,Randall Cobb,GB,NYJ,42,154,69.8,15.4,5.646666667
57,Chris Hogan,NE,BUF,30,96,59.4,12.4,5.125333333
68,Tim Patrick,DEN,OAK,33,95,73.9,12.9,5.042727273
104,Bennie Fowler,NYG,IND,45,110,93.8,13.9,4.293555556
47,Robert Foster,BUF,NE,25,71,48.9,10.1,4.0804
126,Chad Williams,ARI,LAR,89,143,122.2,18.7,3.929101124
90,Cordarrelle Patterson,NE,BUF,50,119,86.9,13.1,3.4322
88,Demarcus Robinson,KC,SEA,52,104,87.3,12,2.769230769
77,Cody Core,CIN,CLE,51,98,77.8,11.4,2.548235294
61,Isaiah McKenzie,BUF,NE,38,99,56.3,9.7,2.476052632
51,Anthony Miller,CHI,SF,38,91,52.6,9.4,2.325263158
84,Alex Erickson,CIN,CLE,57,107,87.1,11.4,2.28
112,Phillip Dorsett,NE,BUF,88,144,113.5,13.9,2.195568182
40,DaeSean Hamilton,DEN,OAK,24,57,38.6,7,2.041666667
64,Taywan Taylor,TEN,WAS,32,76,61.5,7.8,1.90125
95,Trent Taylor,SF,CHI,79,131,95.5,12,1.82278481
2,Julio Jones,ATL,CAR,1,10,3,1.3,1.69
87,Dontrelle Inman,IND,NYG,63,103,87.1,9.8,1.524444444
80,Breshad Perriman,CLE,CIN,64,101,80.5,9.8,1.500625
107,Austin Carr,NO,PIT,90,140,110.7,11.4,1.444
1,DeAndre Hopkins,HOU,PHI,1,8,1.6,1.2,1.44
3,Michael Thomas,NO,PIT,1,7,3.2,1.2,1.44
79,James Washington,PIT,NO,62,124,81.4,9.2,1.36516129
124,Byron Marshall,WAS,TEN,84,107,92,10.6,1.337619048
146,Jawill Davis,NYG,IND,126,151,138.5,12.5,1.240079365
4,Davante Adams,GB,NYJ,1,5,3.2,1.1,1.21
59,Nelson Agholor,PHI,HOU,42,84,61.6,7.1,1.200238095
103,Jordan Matthews,PHI,HOU,84,130,103.6,9.8,1.143333333
25,Larry Fitzgerald,ARI,LAR,17,37,23.9,4.4,1.138823529
89,Ryan Switzer,PIT,NO,78,107,89.2,9.4,1.132820513
151,JoJo Natson,LAR,ARI,140,165,152.5,12.5,1.116071429
102,Kelvin Benjamin,KC,SEA,82,134,99.7,9.2,1.032195122
149,Kevin White,CHI,SF,132,155,143.5,11.5,1.001893939
45,Chris Conley,KC,SEA,41,67,48.7,6.3,0.96804878
99,Allen Hurns,DAL,TB,85,128,101.7,8.5,0.85
85,Keith Kirkwood,NO,PIT,54,107,94,6.6,0.806666667
145,Khadarel Hodge,LAR,ARI,137,166,150.4,10.5,0.804744526
71,Devin Funchess,CAR,ATL,54,93,69.5,6.5,0.782407407
106,DeAndre Carter,HOU,PHI,90,125,106.5,8.3,0.765444444
16,Jarvis Landry,CLE,CIN,11,33,16.5,2.9,0.764545455
56,John Brown,BAL,LAC,48,79,59.6,6,0.75
94,Trent Sherfield,ARI,LAR,68,119,99,7.1,0.741323529
52,Willie Snead,BAL,LAC,46,68,53.4,5.8,0.731304348
54,Jamison Crowder,WAS,TEN,29,67,54.1,4.6,0.729655172
28,Josh Reynolds,LAR,ARI,17,36,29.3,3.5,0.720588235
115,Brice Butler,MIA,JAC,90,117,108,8,0.711111111
30,Courtland Sutton,DEN,OAK,24,41,30.1,4,0.666666667
22,Robby Anderson,NYJ,GB,12,36,21.5,2.8,0.653333333
76,Aldrick Robinson,MIN,DET,64,96,72,6.4,0.64
113,Corey Coleman,NYG,IND,95,120,110.9,7.7,0.624105263
136,Russell Gage,ATL,CAR,116,143,134,8.3,0.59387931
55,Tre'Quan Smith,NO,PIT,44,73,55.9,5.1,0.591136364
17,Alshon Jeffery,PHI,HOU,9,48,18.7,2.3,0.587777778
72,Marquez Valdes-Scantling,GB,NYJ,58,87,73.6,5.7,0.560172414
27,Dante Pettis,SF,CHI,22,39,27.5,3.5,0.556818182
49,David Moore,SEA,KC,26,58,49.9,3.8,0.555384615
32,Adam Humphries,TB,DAL,21,41,31.4,3.4,0.55047619
105,Josh Bellamy,CHI,SF,98,129,109.9,7.3,0.54377551
31,Mike Williams,LAC,BAL,18,38,31.3,3.1,0.533888889
96,Zach Pascal,IND,NYG,81,108,95.6,6.4,0.505679012
119,Chris Moore,BAL,LAC,92,130,120.8,6.8,0.502608696
5,Antonio Brown,PIT,NO,2,16,4.3,1,0.5
37,Golden Tate,PHI,HOU,26,65,37.4,3.6,0.498461538
35,Curtis Samuel,CAR,ATL,28,43,35.5,3.7,0.488928571
82,Chester Rogers,IND,NYG,62,102,83.8,5.3,0.453064516
26,Calvin Ridley,ATL,CAR,20,34,26.3,3,0.45
36,Jordy Nelson,OAK,DEN,25,64,37.4,3.3,0.4356
109,Andy Jones,DET,MIN,90,112,103.3,6.2,0.427111111
13,Julian Edelman,NE,BUF,3,15,13.2,1.1,0.403333333
15,Brandin Cooks,LAR,ARI,12,27,16.1,2.2,0.403333333
127,Darius Jennings,TEN,WAS,112,139,128.7,6.7,0.400803571
29,D.J. Moore,CAR,ATL,24,39,29.4,3.1,0.400416667
50,Zay Jones,BUF,NE,41,68,52.3,4,0.390243902
65,Cole Beasley,DAL,TB,53,83,65.1,4.5,0.382075472
21,Corey Davis,TEN,WAS,18,27,20.9,2.6,0.375555556
138,Jake Kumerow,GB,NYJ,124,148,140,6.8,0.372903226
10,T.Y. Hilton,IND,NYG,4,15,10.2,1.2,0.36
150,Darren Waller,OAK,DEN,137,151,144,7,0.357664234
48,Kenny Stills,MIA,JAC,41,66,49.4,3.8,0.352195122
23,Kenny Golladay,DET,MIN,17,28,23.7,2.4,0.338823529
141,Jalen Tolliver,ARI,LAR,133,153,142.8,6.7,0.337518797
69,Seth Roberts,OAK,DEN,55,79,67.2,4.3,0.336181818
135,Leonte Carroo,MIA,JAC,121,141,133.4,6.3,0.328016529
8,JuJu Smith-Schuster,PIT,NO,6,14,8.4,1.4,0.326666667
38,Chris Godwin,TB,DAL,28,47,37.4,3,0.321428571
147,River Cracraft,DEN,OAK,141,159,148.8,6.7,0.318368794
33,Demaryius Thomas,HOU,PHI,20,53,33.6,2.5,0.3125
34,Dede Westbrook,JAC,MIA,29,45,35.1,3,0.310344828
98,Laquon Treadwell,MIN,DET,89,109,98.4,5.2,0.303820225
67,Josh Doctson,WAS,TEN,56,80,70.8,4.1,0.300178571
60,Michael Crabtree,BAL,LAC,53,85,62.5,3.9,0.286981132
74,Marquise Goodwin,SF,CHI,63,112,75.6,4.2,0.28
12,Robert Woods,LAR,ARI,7,23,11.9,1.4,0.28
110,Andre Roberts,NYJ,GB,58,104,95.3,3.9,0.262241379
14,Mike Evans,TB,DAL,10,19,14.8,1.6,0.256
111,Eli Rogers,PIT,NO,77,119,109,4.4,0.251428571
101,Jarius Wright,CAR,ATL,88,112,100.9,4.7,0.251022727
58,Donte Moncrief,JAC,MIA,50,74,59.5,3.5,0.245
46,Michael Gallup,DAL,TB,35,63,48.9,2.8,0.224
18,Tyler Lockett,SEA,KC,13,23,18.8,1.7,0.222307692
120,Marvin Hall,ATL,CAR,113,131,124.1,5,0.221238938
92,Jaron Brown,SEA,KC,82,128,87.6,4.2,0.215121951
91,Ryan Grant,IND,NYG,83,110,90.9,4.2,0.21253012
70,Jermaine Kearse,NYJ,GB,56,90,72.7,3.4,0.206428571
7,Amari Cooper,DAL,TB,7,15,8,1.2,0.205714286
63,Marcell Ateman,OAK,DEN,51,69,60.9,3.2,0.200784314
86,Keelan Cole,JAC,MIA,81,102,85.9,4,0.197530864
43,Antonio Callaway,CLE,CIN,40,55,44.4,2.8,0.196
66,Devante Parker,MIA,JAC,59,77,65.2,3.4,0.195932203
42,Taylor Gabriel,CHI,SF,38,80,43.9,2.7,0.191842105
144,Ray-Ray McCloud,BUF,NE,133,145,139.3,4.9,0.180526316
44,John Ross,CIN,CLE,41,54,45.4,2.7,0.177804878
62,Danny Amendola,MIA,JAC,51,73,64.4,3,0.176470588
9,Adam Thielen,MIN,DET,7,12,8.6,1.1,0.172857143
152,Malik Turner,SEA,KC,148,160,154.7,5,0.168918919
75,Equanimeous St. Brown,GB,NYJ,61,99,78.4,3.2,0.167868852
93,Travis Benjamin,LAC,BAL,78,108,91,3.6,0.166153846
97,TJ Jones,DET,MIN,87,109,96.4,3.8,0.165977011
39,Sterling Shepard,NYG,IND,32,46,37.7,2.3,0.1653125
20,Doug Baldwin,SEA,KC,16,25,20.7,1.6,0.16
11,Stefon Diggs,MIN,DET,9,15,10.9,1.2,0.16
116,Michael Floyd,WAS,TEN,104,123,114,4,0.153846154
114,Justin Hardy,ATL,CAR,105,121,112.8,4,0.152380952
129,Richie James,SF,CHI,122,141,131.2,4.3,0.151557377
142,Bobo Wilson,TB,DAL,136,157,144.2,4.5,0.148897059
73,Rashard Higgins,CLE,CIN,49,90,75.3,2.7,0.14877551
118,J.,ARI,LAR,106,135,118,3.9,0.143490566
41,Mohamed Sanu,ATL,CAR,37,55,43.7,2.3,0.142972973
133,Brandon Powell,DET,MIN,127,139,132.2,4.1,0.132362205
53,Tyrell Williams,LAC,BAL,44,61,53.5,2.3,0.120227273
128,Charone Peake,NYJ,GB,108,161,123,3.6,0.12
121,Tommylee Lewis,NO,PIT,111,134,124.3,3.6,0.116756757
140,Rishard Matthews,NYJ,GB,113,120,116.5,3.5,0.10840708
117,Deonte Thompson,BUF,NE,108,125,117.1,3.3,0.100833333
81,Tajae Sharpe,TEN,WAS,67,88,81.8,2.5,0.093283582
132,Torrey Smith,CAR,ATL,117,144,126.4,3.3,0.093076923
139,Justin Watson,TB,DAL,131,154,137,3.2,0.078167939
24,Allen Robinson,CHI,SF,20,37,23.9,1.2,0.072
83,Kendrick Bourne,SF,CHI,79,91,86,2.3,0.066962025
134,Dwayne Harris,OAK,DEN,128,137,132.8,2.9,0.065703125
148,Darrius Heyward-Bey,PIT,NO,137,143,140,3,0.065693431
122,Auden Tate,CIN,CLE,116,132,123.9,2.7,0.062844828
131,Rashad Greene,JAC,MIA,117,133,126,2.5,0.053418803
123,Andre Holmes,DEN,OAK,119,135,125,2.2,0.040672269
6,Tyreek Hill,KC,SEA,4,8,5.8,0.4,0.04
125,Noah Brown,DAL,TB,116,136,126.7,2.1,0.038017241
130,Damion Ratley,CLE,CIN,121,133,131.3,1.6,0.021157025
137,Cam Batson,TEN,WAS,136,144,138.8,1.6,0.018823529
143,Josh Malone,CIN,CLE,134,137,135.3,1.2,0.010746269
