Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,
Taylor Heinicke,QB,CAR,ATL,4000,6.1,-5.23,29.2,17.86,1.455208813
Ryan Tannehill,QB,MIA,JAX,4600,5,-8.04,27.6,14.59,1.358905204
Cody Kessler,QB,JAX,@MIA,4600,4.7,-8.3,27,13.98,1.34086664
Josh Rosen,QB,ARI,LAR,4500,4.4,-8.37,26.4,13.67,1.332555101
Jeff Driskel,QB,CIN,@CLE,4600,4.9,-8.1,26.7,13.69,1.310802365
Josh Allen,QB,BUF,@NE,5800,8.3,-8.15,31.8,15.38,1.307952175
Sam Darnold,QB,NYJ,GB,4900,6.4,-7.45,28.6,14.74,1.307036195
Lamar Jackson,QB,BAL,@LAC,6000,8.1,-8.9,31.7,14.75,1.298758051
Marcus Mariota,QB,TEN,WAS,5500,7,-8.61,29.9,14.37,1.297322407
Dak Prescott,QB,DAL,TB,5700,8.2,-7.96,31.3,15.2,1.293164264
Jameis Winston,QB,TB,@DAL,5500,7.8,-7.75,30.6,15.04,1.291657244
Matthew Stafford,QB,DET,MIN,4900,5.4,-8.48,26.9,13.07,1.265823342
Nick Foles,QB,PHI,HOU,4700,7.8,-5.47,29,15.7,1.265619745
Nick Mullens,QB,SF,CHI,4700,6.7,-6.59,27.9,14.6,1.265619745
Josh Johnson,QB,WAS,@TEN,5100,7.1,-7.33,28.8,14.33,1.260674617
Derek Carr,QB,OAK,DEN,4900,6.8,-7.02,28.1,14.27,1.254048241
Russell Wilson,QB,SEA,KC,6100,9.6,-7.64,32.5,15.19,1.253311056
Mitch Trubisky,QB,CHI,@SF,6300,8.1,-9.73,31.2,13.32,1.250734502
Eli Manning,QB,NYG,@IND,4800,6.1,-7.47,27.1,13.52,1.244912657
Case Keenum,QB,DEN,@OAK,5300,6.2,-8.84,27.9,12.86,1.244613318
John Ross,WR,CIN,@CLE,3800,1.3,-6.17,20.7,13.25,1.243198653
Baker Mayfield,QB,CLE,CIN,6100,8.3,-8.93,31,13.76,1.242365108
