Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Drew Brees,NO,CLE,1,3,1.2,0.5
2,Ben Roethlisberger,PIT,KC,1,15,2.6,2.0
3,Cam Newton,CAR,ATL,1,18,5.9,3.9
4,Deshaun Watson,HOU,TEN,2,15,6.2,3.1
5,Patrick Mahomes,KC,PIT,2,23,6.8,3.5
6,Philip Rivers,LAC,BUF,2,16,7.4,3.7
7,Alex Smith,WAS,IND,2,17,7.5,3.4
8,Kirk Cousins,MIN,GB,3,18,8.2,2.9
9,Aaron Rodgers,GB,MIN,1,32,9.0,4.4
10,Jimmy Garoppolo,SF,DET,3,26,9.4,4.0
11,Russell Wilson,SEA,CHI,1,20,10.8,3.5
12,Tom Brady,NE,JAC,2,19,11.2,3.7
13,Matthew Stafford,DET,SF,5,18,13.3,3.4
14,Andrew Luck,IND,WAS,4,28,13.8,4.2
15,Jared Goff,LAR,ARI,2,22,14.1,3.2
16,Tyrod Taylor,CLE,NO,6,24,14.6,3.7
17,Case Keenum,DEN,OAK,4,31,16.3,3.5
18,Matt Ryan,ATL,CAR,5,23,16.3,3.1
19,Mitch Trubisky,CHI,SEA,13,28,20.7,2.9
20,Blake Bortles,JAC,NE,12,30,20.8,3.0
21,Dak Prescott,DAL,NYG,4,28,21.4,3.6
22,Nick Foles,PHI,TB,12,29,22.5,3.4
23,Ryan Fitzpatrick,TB,PHI,7,31,23.1,3.4
24,Eli Manning,NYG,DAL,11,32,24.4,3.6
25,Joe Flacco,BAL,CIN,13,32,25.7,3.8
26,Andy Dalton,CIN,BAL,17,32,23.8,3.1
27,Sam Darnold,NYJ,MIA,15,31,25.4,3.0
28,Marcus Mariota,TEN,HOU,13,33,27.5,3.6
29,Derek Carr,OAK,DEN,18,32,28.3,2.6
30,Ryan Tannehill,MIA,NYJ,19,30,26.9,2.6
31,Sam Bradford,ARI,LAR,25,32,30.6,1.2
32,Josh Allen,BUF,LAC,22,35,31.4,1.8
33,Lamar Jackson,BAL,CIN,23,34,33.1,1.7
34,Joshua Dobbs,PIT,KC,33,34,33.3,0.4
35,Blaine Gabbert,TEN,HOU,31,37,33.6,1.3
36,DeShone Kizer,GB,MIN,31,37,34.6,1.3
37,Nathan Peterman,BUF,LAC,32,54,34.6,4.2
38,Josh McCown,NYJ,MIA,34,39,36.0,2.0
39,Baker Mayfield,CLE,NO,34,38,36.0,1.6
40,Josh Rosen,ARI,LAR,35,40,36.8,2.0
41,Jacoby Brissett,IND,WAS,38,41,39.5,1.5
42,Trevor Siemian,MIN,GB,40,42,41.0,1.0
43,C.J. Beathard,SF,DET,41,43,42.0,1.0
44,Colt McCoy,WAS,IND,42,44,43.0,1.0
45,Chase Daniel,CHI,SEA,43,45,44.0,1.0
46,Brandon Weeden,HOU,TEN,44,46,45.0,1.0
47,Cooper Rush,DAL,NYG,45,47,46.0,1.0
48,David Fales,MIA,NYJ,46,48,47.0,1.0
49,Brett Hundley,SEA,CHI,47,49,48.0,1.0
50,Teddy Bridgewater,NO,CLE,48,50,49.0,1.0
51,Cody Kessler,JAC,NE,49,51,50.0,1.0
52,Brian Hoyer,NE,JAC,50,52,51.0,1.0
53,Chad Henne,KC,PIT,51,53,52.0,1.0
54,AJ McCarron,OAK,DEN,52,54,53.0,1.0
55,Matt Schaub,ATL,CAR,53,55,54.0,1.0
56,Geno Smith,LAC,BUF,55,56,55.5,0.5
57,Matt Cassel,DET,SF,56,57,56.5,0.5
58,Sean Mannion,LAR,ARI,57,58,57.5,0.5
