Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Alvin Kamara,NO,ATL,1,4,1.2,0.5
2,Todd Gurley,LAR,LAC,1,7,1.9,0.7
3,Ezekiel Elliott,DAL,SEA,3,10,4.3,1.7
4,Melvin Gordon,LAC,LAR,3,15,5.3,2.5
5,James Conner,PIT,TB,2,18,5.8,2.4
6,Christian McCaffrey,CAR,CIN,2,13,6.1,1.9
7,Saquon Barkley,NYG,HOU,2,12,6.7,2.1
8,Kareem Hunt,KC,SF,1,17,7.6,2.8
9,Tevin Coleman,ATL,NO,4,16,9.8,2.5
10,David Johnson,ARI,CHI,3,22,10.8,3.0
11,Giovani Bernard,CIN,CAR,8,34,12.1,3.7
12,Kenyan Drake,MIA,OAK,6,31,13.1,2.9
13,Chris Thompson,WAS,GB,6,45,13.4,4.7
14,Jordan Howard,CHI,ARI,3,19,13.5,3.2
15,Lamar Miller,HOU,NYG,7,43,15.6,3.7
16,Latavius Murray,MIN,BUF,5,46,17.2,8.4
17,Matt Breida,SF,KC,10,38,18.7,4.1
18,Corey Clement,PHI,IND,5,45,19.9,7.3
19,Carlos Hyde,CLE,NYJ,13,31,20.4,3.6
20,Phillip Lindsay,DEN,BAL,12,42,21.5,3.9
21,James White,NE,DET,15,42,21.9,4.4
22,Dion Lewis,TEN,JAC,14,30,22.6,2.6
23,Alex Collins,BAL,DEN,15,39,22.7,4.2
24,Marshawn Lynch,OAK,MIA,17,39,24.1,3.8
25,Adrian Peterson,WAS,GB,17,44,28.9,4.8
26,Rex Burkhead,NE,DET,20,43,29.5,5.2
27,Bilal Powell,NYJ,CLE,22,49,30.0,4.4
28,Isaiah Crowell,NYJ,CLE,21,45,30.8,5.1
29,Leonard Fournette,JAC,TEN,6,93,19.7,12.0
30,Jamaal Williams,GB,WAS,18,47,30.8,4.8
31,Peyton Barber,TB,PIT,23,51,31.0,4.9
32,Sony Michel,NE,DET,15,50,31.4,6.8
33,Austin Ekeler,LAC,LAR,20,48,33.8,5.3
34,T.J. Yeldon,JAC,TEN,10,58,33.8,10.8
35,Theo Riddick,DET,NE,16,51,34.1,5.2
36,Javorius Allen,BAL,DEN,20,54,34.9,5.5
37,Kerryon Johnson,DET,NE,24,46,35.5,4.3
38,Royce Freeman,DEN,BAL,20,60,38.2,6.7
39,Tarik Cohen,CHI,ARI,23,57,38.0,5.3
40,Duke Johnson,CLE,NYJ,20,51,38.9,5.6
41,Jordan Wilkins,IND,PHI,23,54,40.3,6.1
42,Chris Carson,SEA,DAL,25,54,40.9,5.2
43,Derrick Henry,TEN,JAC,25,55,43.2,5.5
44,Alfred Morris,SF,KC,30,55,43.6,4.5
45,Nyheim Hines,IND,PHI,24,58,45.5,7.6
46,Rashaad Penny,SEA,DAL,27,60,45.7,4.6
47,Ty Montgomery,GB,WAS,32,59,47.3,5.2
48,Wendell Smallwood,PHI,IND,32,84,53.3,12.0
49,Corey Grant,JAC,TEN,20,86,52.0,9.9
50,Ito Smith,ATL,NO,38,61,48.7,4.4
51,Aaron Jones,GB,WAS,19,72,50.3,6.9
52,Frank Gore,MIA,OAK,39,60,49.4,3.3
53,Chris Ivory,BUF,MIN,32,72,53.6,8.8
54,Jalen Richard,OAK,MIA,35,62,51.2,4.7
