Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Jacksonville (JAC)JAC DST,JAC,HOU,1,6,1.3,0.6
2,Indianapolis (IND)IND DST,IND,BUF,1,23,3.1,1.7
3,Los Angeles (LAR)LAR DST,LAR,SF,1,12,3.6,2.0
4,Minnesota (MIN)MIN DST,MIN,NYJ,2,13,4.4,1.3
5,Los Angeles (LAC)LAC DST,LAC,TEN,1,14,5.3,1.9
6,Denver (DEN)DEN DST,DEN,ARI,3,17,6.8,2.7
7,Houston (HOU)HOU DST,HOU,JAC,2,15,7.8,2.3
8,Philadelphia (PHI)PHI DST,PHI,CAR,5,11,7.9,1.1
9,Arizona (ARI)ARI DST,ARI,DEN,4,21,8.1,3.1
10,Buffalo (BUF)BUF DST,BUF,IND,4,20,11.7,2.5
11,Detroit (DET)DET DST,DET,MIA,4,19,11.7,2.1
12,New England (NE)NE DST,NE,CHI,7,20,12.9,2.0
13,Washington (WAS)WAS DST,WAS,DAL,5,20,12.5,2.8
14,Baltimore (BAL)BAL DST,BAL,NO,4,22,15.0,3.8
15,Dallas (DAL)DAL DST,DAL,WAS,2,21,14.9,2.6
16,Cleveland (CLE)CLE DST,CLE,TB,10,21,16.6,2.4
17,Chicago (CHI)CHI DST,CHI,NE,2,25,17.3,3.9
18,New York (NYJ)NYJ DST,NYJ,MIN,5,23,17.5,2.6
19,Carolina (CAR)CAR DST,CAR,PHI,7,24,17.7,2.1
20,Atlanta (ATL)ATL DST,ATL,NYG,6,25,19.2,2.2
21,Tampa Bay (TB)TB DST,TB,CLE,10,26,18.1,4.1
22,Miami (MIA)MIA DST,MIA,DET,13,23,20.3,2.0
23,Kansas City (KC)KC DST,KC,CIN,20,25,23.3,0.7
24,Tennessee (TEN)TEN DST,TEN,LAC,9,26,23.7,1.5
25,New Orleans (NO)NO DST,NO,BAL,21,25,24.2,1.1
26,New York (NYG)NYG DST,NYG,ATL,22,27,26.2,0.5
27,Cincinnati (CIN)CIN DST,CIN,KC,17,28,27.0,0.6
28,San Francisco (SF)SF DST,SF,LAR,26,29,27.9,0.4
