Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Travis Kelce,KC,CIN,1,2,1.0,0.2
2,Zach Ertz,PHI,CAR,1,3,2.0,0.2
3,Eric Ebron,IND,BUF,2,8,3.6,1.1
4,George Kittle,SF,LAR,3,6,4.4,0.8
5,David Njoku,CLE,TB,3,8,4.7,0.9
6,Jordan Reed,WAS,DAL,3,13,6.1,1.2
7,Austin Hooper,ATL,NYG,5,13,7.8,1.4
8,Trey Burton,CHI,NE,4,13,8.5,1.6
9,C.J. Uzomah,CIN,KC,7,14,9.5,1.0
10,O.J. Howard,TB,CLE,4,13,10.1,1.6
11,Kyle Rudolph,MIN,NYJ,5,14,10.3,1.6
12,Greg Olsen,CAR,PHI,6,16,11.4,1.5
13,Evan Engram,NYG,ATL,7,18,12.8,2.0
14,Benjamin Watson,NO,BAL,13,20,15.3,1.5
15,Cameron Brate,TB,CLE,13,23,16.1,2.0
16,Charles Clay,BUF,IND,11,23,16.1,1.6
17,Ricky Seals-Jones,ARI,DEN,12,34,16.4,1.6
18,Geoff Swaim,DAL,WAS,14,20,16.9,1.3
19,Antonio Gates,LAC,TEN,17,24,20.4,1.2
20,Vernon Davis,WAS,DAL,14,26,20.9,2.2
21,Dallas Goedert,PHI,CAR,18,28,21.2,1.8
22,Jeff Heuerman,DEN,ARI,17,34,22.3,3.2
23,Gerald Everett,LAR,SF,15,31,23.4,2.8
24,Hayden Hurst,BAL,NO,16,47,24.1,3.1
25,Mike Gesicki,MIA,DET,21,37,25.2,2.4
26,Chris Herndon IV,NYJ,MIN,20,34,26.6,2.6
27,Nick O'Leary,MIA,DET,21,39,27.8,3.0
28,Erik Swoope,IND,BUF,21,43,29.9,4.3
29,Mark Andrews,BAL,NO,24,47,29.2,2.8
30,Tyler Higbee,LAR,SF,26,45,32.7,3.8
31,Demetrius Harris,KC,CIN,21,37,28.4,1.9
32,Josh Hill,NO,BAL,22,45,32.7,4.3
33,Jonnu Smith,TEN,LAC,26,44,33.5,2.5
34,Neal Sterling,NYJ,MIN,18,41,32.2,2.4
35,Luke Willson,DET,MIA,29,43,36.1,3.0
36,Nick Boyle,BAL,NO,21,43,34.7,2.7
37,Dwayne Allen,NE,CHI,17,50,34.4,5.8
38,Virgil Green,LAC,TEN,30,40,36.9,1.9
39,Jordan Akins,HOU,JAC,24,48,36.9,7.0
40,Maxx Williams,BAL,NO,27,48,38.1,3.1
41,Jermaine Gresham,ARI,DEN,25,48,39.6,1.6
42,Luke Stocker,TEN,LAC,38,51,42.4,2.9
43,Jason Croom,BUF,IND,35,56,48.1,4.4
44,Darren Fells,CLE,TB,36,56,44.0,3.0
45,Ian Thomas,CAR,PHI,21,68,48.1,9.0
46,Jordan Thomas,HOU,JAC,29,61,44.4,8.0
47,Levine Toilolo,DET,MIA,38,53,45.7,3.8
48,Eric Tomlinson,NYJ,MIN,41,56,45.8,2.9
49,Jordan Leggett,NYJ,MIN,32,72,44.6,3.5
50,Garrett Celek,SF,LAR,44,58,49.8,3.1
51,Blake Jarwin,DAL,WAS,46,61,53.1,3.5
52,Rico Gathers,DAL,WAS,36,55,48.0,3.8
53,Logan Thomas,BUF,IND,49,60,52.9,2.5
54,David Grinnage,JAC,HOU,32,59,48.9,7.2
55,Logan Paulsen,ATL,NYG,46,65,52.1,2.7
56,Matt LaCosse,DEN,ARI,44,63,55.8,3.7
57,Rhett Ellison,NYG,ATL,35,60,52.0,3.2
58,David Morgan,MIN,NYJ,49,59,54.8,1.8
59,Dion Sims,CHI,NE,52,67,59.1,2.8
60,James O'Shaughnessy,JAC,HOU,23,30,26.0,2.9
61,Mason Schreck,CIN,KC,52,79,57.3,3.7
62,Jacob Hollister,NE,CHI,28,62,47.4,12.0
63,Seth DeValve,CLE,TB,57,66,60.3,2.0
64,Eric Saubert,ATL,NYG,54,68,61.4,2.8
65,Blake Bell,JAC,HOU,41,66,56.2,8.5
66,A.J. Derby,MIA,DET,46,64,58.0,6.2
67,Durham Smythe,MIA,DET,59,62,60.3,1.3
68,Joshua Perkins,PHI,CAR,58,74,65.7,4.1
69,Mo Alie-Cox,IND,BUF,59,78,67.3,3.2
70,Antony Auclair,TB,CLE,51,76,62.7,10.3
71,Scott Simonson,NYG,ATL,42,84,65.3,17.5
72,Tyler Conklin,NE,CHI,62,65,63.0,1.4
73,Gabe Holmes,ARI,DEN,60,80,68.0,8.6
74,Michael Roberts,DET,MIA,63,63,63.0,0.0
75,Ben Braunecker,CHI,NE,66,68,67.0,1.0
76,Sean Culkin,LAC,TEN,67,70,68.5,1.5
77,Chris Manhertz,CAR,PHI,66,73,69.5,3.5
78,Orson Charles,CLE,TB,69,71,70.0,1.0
79,Brian Parker,DEN,ARI,70,75,72.7,2.1
80,Jeremy Sprinkle,WAS,DAL,72,74,73.0,1.0
81,MyCole Pruitt,TEN,LAC,73,75,74.0,1.0
