Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Adam Thielen,MIN,NYJ,1,4,1.2,0.5
2,Julio Jones,ATL,NYG,1,5,3.0,0.9
3,Tyreek Hill,KC,CIN,1,8,3.7,1.7
4,A.J. Green,CIN,KC,1,6,3.7,1.3
5,Odell Beckham Jr.,NYG,ATL,2,7,3.9,1.0
6,DeAndre Hopkins,HOU,JAC,5,15,7.6,2.1
7,Michael Thomas,NO,BAL,3,15,8.1,2.0
8,Robert Woods,LAR,SF,4,15,8.3,2.2
9,Mike Evans,TB,CLE,6,13,9.5,1.7
10,Keenan Allen,LAC,TEN,4,15,9.6,2.1
11,Jarvis Landry,CLE,TB,7,15,10.5,1.3
12,Stefon Diggs,MIN,NYJ,5,15,11.6,2.0
13,Brandin Cooks,LAR,SF,6,19,11.7,2.4
14,Tyler Boyd,CIN,KC,6,18,14.2,1.2
15,Golden Tate,DET,MIA,8,18,14.5,1.5
16,Emmanuel Sanders,DEN,ARI,11,23,17.1,1.4
17,Alshon Jeffery,PHI,CAR,13,22,18.1,2.2
18,Kenny Golladay,DET,MIA,13,23,18.4,2.2
19,Julian Edelman,NE,CHI,14,31,19.4,2.9
20,John Brown,BAL,NO,12,50,20.0,1.7
21,Michael Crabtree,BAL,NO,18,26,20.7,1.5
22,Sterling Shepard,NYG,ATL,17,40,22.2,2.5
23,Allen Robinson,CHI,NE,16,43,23.9,3.5
24,Marvin Jones,DET,MIA,24,33,26.2,1.8
25,Josh Gordon,NE,CHI,12,39,26.3,3.4
26,Devin Funchess,CAR,PHI,23,35,27.6,2.4
27,Calvin Ridley,ATL,NYG,18,42,28.5,5.1
28,T.Y. Hilton,IND,BUF,16,69,28.5,7.0
29,Corey Davis,TEN,LAC,16,46,29.3,3.6
30,Taylor Gabriel,CHI,NE,21,37,29.3,3.5
31,DeSean Jackson,TB,CLE,24,39,29.4,3.3
32,Demaryius Thomas,DEN,ARI,23,38,29.7,2.4
33,Sammy Watkins,KC,CIN,24,52,33.3,2.5
34,Dede Westbrook,JAC,HOU,27,44,35.3,2.5
35,Chris Godwin,TB,CLE,26,49,36.7,3.7
36,Marquise Goodwin,SF,LAR,25,52,36.8,5.2
37,Christian Kirk,ARI,DEN,25,47,37.4,3.2
38,Keelan Cole,JAC,HOU,29,50,37.5,3.2
39,Nelson Agholor,PHI,CAR,29,54,39.5,3.1
40,Willie Snead,BAL,NO,27,49,39.8,4.2
41,Mohamed Sanu,ATL,NYG,21,51,40.0,4.8
42,Robby Anderson,NYJ,MIN,30,52,43.9,4.5
43,Keke Coutee,HOU,JAC,30,54,44.6,3.9
44,Will Fuller,HOU,JAC,32,57,44.6,4.3
45,Albert Wilson,MIA,DET,39,59,45.0,3.6
46,Antonio Callaway,CLE,TB,36,58,45.3,3.1
47,Jermaine Kearse,NYJ,MIN,20,68,45.4,8.7
48,Larry Fitzgerald,ARI,DEN,33,64,46.1,4.1
49,Kenny Stills,MIA,DET,42,68,49.2,3.5
50,Chester Rogers,IND,BUF,35,61,49.6,5.0
51,Mike Williams,LAC,TEN,29,56,49.8,2.9
52,Donte Moncrief,JAC,HOU,43,61,52.2,3.0
53,Cole Beasley,DAL,WAS,36,63,52.5,4.1
54,Tyrell Williams,LAC,TEN,45,64,54.3,2.8
55,Pierre Garcon,SF,LAR,43,68,56.5,4.2
56,Courtland Sutton,DEN,ARI,39,71,56.7,3.2
57,Tre'Quan Smith,NO,BAL,48,77,58.1,5.4
58,Taywan Taylor,TEN,LAC,38,69,58.1,3.3
59,Chris Hogan,NE,CHI,42,81,59.1,4.4
