Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Christian McCaffrey,CAR,LAR,1,9,2.0,1.1
2,Saquon Barkley,NYG,DAL,1,13,2.2,1.1
3,Alvin Kamara,NO,HOU,1,6,2.5,0.9
4,Dalvin Cook,MIN,ATL,1,20,5.1,2.0
5,David Johnson,ARI,DET,3,16,7.3,2.2
6,Nick Chubb,CLE,TEN,3,21,7.4,2.5
7,Ezekiel Elliott,DAL,NYG,1,16,7.9,3.5
8,Chris Carson,SEA,CIN,2,18,8.4,3.4
9,James Conner,PIT,NE,2,28,8.8,2.7
10,Leonard Fournette,JAC,KC,3,18,9.3,2.8
11,Le'Veon Bell,NYJ,BUF,2,17,9.7,2.4
12,Todd Gurley,LAR,CAR,1,21,11.3,3.0
13,Kerryon Johnson,DET,ARI,5,43,12.2,2.6
14,Joe Mixon,CIN,SEA,10,49,14.7,2.3
15,Mark Ingram,BAL,MIA,3,30,15.8,3.3
16,Austin Ekeler,LAC,IND,7,32,18.0,4.9
17,Damien Williams,KC,JAC,6,30,19.8,4.0
18,Aaron Jones,GB,CHI,14,32,19.8,3.4
19,David Montgomery,CHI,GB,8,33,19.9,3.8
20,Devonta Freeman,ATL,MIN,9,29,20.0,3.3
21,Sony Michel,NE,PIT,8,31,21.1,3.6
22,Josh Jacobs,OAK,DEN,8,31,22.3,4.0
23,Phillip Lindsay,DEN,OAK,9,63,22.8,4.7
24,Duke Johnson,HOU,NO,12,49,23.4,5.8
25,James White,NE,PIT,12,35,23.4,4.4
26,Derrick Henry,TEN,CLE,17,39,26.3,3.6
27,Marlon Mack,IND,LAC,16,34,26.4,3.6
28,Tevin Coleman,SF,TB,14,39,27.4,4.2
29,Tarik Cohen,CHI,GB,15,42,27.9,4.1
30,Matt Breida,SF,TB,13,46,29.4,4.9
31,Miles Sanders,PHI,WAS,21,47,31.7,3.6
32,Derrius Guice,WAS,PHI,13,43,31.7,4.7
33,Latavius Murray,NO,HOU,24,51,33.2,2.9
34,Kenyan Drake,MIA,BAL,22,47,33.3,3.6
35,Jordan Howard,PHI,WAS,18,51,37.2,4.6
36,Royce Freeman,DEN,OAK,23,59,37.3,3.7
37,Rashaad Penny,SEA,CIN,24,55,37.7,4.6
38,Justin Jackson,LAC,IND,23,50,38.2,3.8
39,Chris Thompson,WAS,PHI,27,59,40.2,4.4
40,Dion Lewis,TEN,CLE,33,52,40.4,2.5
41,Devin Singletary,BUF,NYJ,18,66,41.3,5.5
42,LeSean McCoy,KC,JAC,28,62,41.3,5.0
43,Peyton Barber,TB,SF,28,57,42.4,4.4
44,Nyheim Hines,IND,LAC,32,63,43.7,5.1
45,Tony Pollard,DAL,NYG,23,71,46.2,8.5
46,Kalen Ballage,MIA,BAL,33,56,48.3,3.3
47,Justice Hill,BAL,MIA,27,61,49.2,5.1
48,Giovani Bernard,CIN,SEA,36,62,49.2,5.1
49,Frank Gore,BUF,NYJ,33,66,51.1,4.9
50,Darrell Henderson,LAR,CAR,38,79,50.3,5.2
51,C.J. Anderson,DET,ARI,39,70,52.1,4.6
52,Ronald Jones II,TB,SF,34,70,52.3,5.3
53,Jaylen Samuels,PIT,NE,40,66,53.2,4.5
54,Ty Montgomery,NYJ,BUF,38,75,53.3,6.2
55,Jalen Richard,OAK,DEN,36,73,52.2,7.7
