Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Travis Kelce,KC,JAC,1,14,1.3,0.7
2,George Kittle,SF,TB,1,16,2.1,0.8
3,Zach Ertz,PHI,WAS,1,15,2.9,0.7
4,Evan Engram,NYG,DAL,1,10,4.4,1.2
5,O.J. Howard,TB,SF,1,11,5.2,0.9
6,Hunter Henry,LAC,IND,2,11,5.7,0.8
7,Jared Cook,NO,HOU,2,11,7.0,1.2
8,Vance McDonald,PIT,NE,4,20,8.4,1.6
9,Delanie Walker,TEN,CLE,7,18,9.9,1.7
10,David Njoku,CLE,TEN,5,24,10.8,2.2
11,Austin Hooper,ATL,MIN,7,18,11.3,1.8
12,Mark Andrews,BAL,MIA,7,25,13.4,2.7
13,Darren Waller,OAK,DEN,5,38,13.9,4.3
14,Kyle Rudolph,MIN,ATL,4,26,14.3,3.2
15,Greg Olsen,CAR,LAR,9,26,15.3,2.6
16,Eric Ebron,IND,LAC,9,32,16.6,3.1
17,Jack Doyle,IND,LAC,11,36,17.2,3.5
18,Jimmy Graham,GB,CHI,11,30,17.5,3.1
19,T.J. Hockenson,DET,ARI,9,30,19.1,3.2
20,Tyler Eifert,CIN,SEA,2,31,21.0,3.2
21,Noah Fant,DEN,OAK,9,30,21.9,3.1
22,Dallas Goedert,PHI,WAS,13,41,22.6,3.3
23,Gerald Everett,LAR,CAR,16,36,25.0,2.7
24,Will Dissly,SEA,CIN,14,45,26.2,5.3
25,Jason Witten,DAL,NYG,13,36,25.6,3.4
26,Mike Gesicki,MIA,BAL,12,34,26.2,3.4
27,Geoff Swaim,JAC,KC,12,40,27.8,5.4
28,Cameron Brate,TB,SF,22,42,29.5,2.9
29,Vernon Davis,WAS,PHI,15,48,23.8,6.8
30,C.J. Uzomah,CIN,SEA,17,47,31.8,3.6
31,Hayden Hurst,BAL,MIA,26,47,32.5,4.2
32,Ian Thomas,CAR,LAR,25,44,33.6,2.9
33,Charles Clay,ARI,DET,25,48,33.9,3.0
34,Nick Vannett,SEA,CIN,18,48,32.8,3.9
35,Adam Shaheen,CHI,GB,14,49,28.3,8.2
36,Matt LaCosse,NE,PIT,20,87,35.5,11.1
37,Irv Smith Jr.,MIN,ATL,23,50,37.3,6.0
38,Jesse James,DET,ARI,24,46,37.4,4.3
39,Jordan Akins,HOU,NO,23,64,36.9,7.6
40,Blake Jarwin,DAL,NYG,16,47,39.0,3.3
41,Ryan Griffin,NYJ,BUF,30,59,38.2,6.0
42,Tyler Higbee,LAR,CAR,29,51,41.9,4.2
43,Dawson Knox,BUF,NYJ,26,66,42.7,8.3
44,Jonnu Smith,TEN,CLE,30,53,43.4,5.2
45,Jeff Heuerman,DEN,OAK,29,56,40.2,5.8
46,Josh Hill,NO,HOU,38,70,50.4,6.7
47,Rhett Ellison,NYG,DAL,42,65,49.0,5.7
48,Demetrius Harris,CLE,TEN,35,64,52.0,4.7
49,Darren Fells,HOU,NO,30,73,49.5,8.9
50,James O'Shaughnessy,JAC,KC,41,69,50.0,5.9
51,Jeremy Sprinkle,WAS,PHI,36,73,54.6,8.4
52,Nick Boyle,BAL,MIA,39,72,53.5,9.1
53,Maxx Williams,ARI,DET,34,71,54.5,8.0
54,Xavier Grimble,PIT,NE,48,73,57.4,6.2
55,Nick O'Leary,MIA,BAL,33,61,54.2,4.1
56,Blake Bell,KC,JAC,39,72,56.6,6.5
57,Mo Alie-Cox,IND,LAC,41,79,62.0,7.8
58,Foster Moreau,OAK,DEN,46,71,57.0,6.3
59,Virgil Green,LAC,IND,39,68,60.8,5.3
60,Ryan Izzo,MIN,ATL,34,64,52.0,10.7
61,Tyler Kroft,BUF,NYJ,27,72,54.1,7.9
62,Luke Stocker,ATL,MIN,41,76,61.1,6.9
63,Ben Braunecker,CHI,GB,29,69,57.6,9.0
64,Robert Tonyan,GB,CHI,27,75,58.1,11.3
65,Lee Smith,BUF,NYJ,28,71,58.7,7.4
66,Daniel Brown,NYJ,BUF,27,80,62.7,8.2
67,Trevon Wesco,NYJ,BUF,51,69,63.3,3.2
68,Anthony Firkser,TEN,CLE,57,71,64.6,4.0
69,Tommy Sweeney,BUF,NYJ,51,74,65.4,8.6
70,Logan Paulsen,HOU,NO,33,74,61.4,10.5
71,Dan Arnold,NO,HOU,41,72,62.0,11.1
72,Austin Seferian-Jenkins,FA,,31,43,37.0,6.0
73,Derek Carrier,OAK,DEN,58,73,67.2,4.1
74,Drew Sample,CIN,SEA,61,82,67.5,6.8
75,Dalton Schultz,DAL,NYG,60,74,67.5,4.1
76,Ross Dwelley,SF,TB,50,75,69.2,4.8
77,Levine Toilolo,SF,TB,44,68,59.7,11.1
78,Seth DeValve,JAC,KC,61,79,68.8,7.0
79,Zach Gentry,PIT,NE,60,77,70.6,6.1
80,Logan Thomas,DET,ARI,52,86,71.7,14.4
81,Tyler Conklin,NE,PIT,68,85,75.2,6.2
82,Durham Smythe,MIA,BAL,51,93,72.0,21.0
83,Chris Manhertz,CAR,LAR,62,94,78.0,10.3
84,Marcedes Lewis,GB,CHI,63,78,72.0,6.5
85,Troy Fumagalli,DEN,OAK,69,78,72.3,4.0
86,Deon Yelder,KC,JAC,61,92,76.5,15.5
