Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Michael Thomas,NO,HOU,1,5,1.6,1.1
2,DeAndre Hopkins,HOU,NO,1,6,2.0,0.6
3,Davante Adams,GB,CHI,1,35,4.3,1.9
4,Odell Beckham Jr.,CLE,TEN,1,19,4.6,2.2
5,JuJu Smith-Schuster,PIT,NE,1,25,5.5,2.1
6,Mike Evans,TB,SF,2,109,6.0,2.0
7,Julio Jones,ATL,MIN,2,22,6.2,2.1
8,Tyreek Hill,KC,JAC,3,31,9.1,2.5
9,Keenan Allen,LAC,IND,3,33,9.2,2.0
10,Adam Thielen,MIN,ATL,2,26,9.7,2.7
11,Julian Edelman,NE,PIT,4,39,12.6,3.1
12,Amari Cooper,DAL,NYG,7,28,13.0,2.8
13,Chris Godwin,TB,SF,1,22,14.1,3.1
14,Tyler Lockett,SEA,CIN,2,35,14.3,3.2
15,Stefon Diggs,MIN,ATL,7,54,15.8,5.2
16,Kenny Golladay,DET,ARI,8,44,15.9,3.7
17,Brandin Cooks,LAR,CAR,8,42,16.2,2.3
18,Robert Woods,LAR,CAR,8,57,17.9,3.3
19,Tyler Boyd,CIN,SEA,12,45,19.1,4.1
20,Cooper Kupp,LAR,CAR,14,31,20.9,2.7
21,Allen Robinson,CHI,GB,8,39,22.2,3.4
22,Dede Westbrook,JAC,KC,12,44,22.8,4.6
23,Alshon Jeffery,PHI,WAS,15,42,23.2,3.8
24,T.Y. Hilton,IND,LAC,11,37,24.1,4.0
25,D.J. Moore,CAR,LAR,7,38,25.0,3.9
26,Mike Williams,LAC,IND,15,64,28.2,3.8
27,Calvin Ridley,ATL,MIN,12,40,28.9,3.9
28,Josh Gordon,NE,PIT,14,48,29.0,5.8
29,Jarvis Landry,CLE,TEN,17,69,29.4,4.1
30,Marvin Jones,DET,ARI,14,51,30.0,4.7
31,Will Fuller,HOU,NO,6,47,30.1,5.4
32,Sterling Shepard,NYG,DAL,22,42,31.2,3.8
33,Dante Pettis,SF,TB,18,74,33.8,6.0
34,Curtis Samuel,CAR,LAR,18,49,35.2,4.9
35,Larry Fitzgerald,ARI,DET,9,62,36.3,4.2
36,Christian Kirk,ARI,DET,23,67,36.4,4.8
37,Robby Anderson,NYJ,BUF,25,58,37.8,5.4
38,Corey Davis,TEN,CLE,22,66,38.3,5.5
39,Sammy Watkins,KC,JAC,18,68,38.6,5.7
40,Tyrell Williams,OAK,DEN,11,61,38.9,7.7
41,Emmanuel Sanders,DEN,OAK,22,66,40.2,7.3
42,DeSean Jackson,PHI,WAS,20,55,43.3,5.4
43,Jamison Crowder,NYJ,BUF,13,70,44.8,4.5
44,Geronimo Allison,GB,CHI,16,57,43.8,5.2
45,Michael Gallup,DAL,NYG,25,73,45.2,5.5
46,Courtland Sutton,DEN,OAK,33,63,44.7,5.2
47,John Brown,BUF,NYJ,25,76,47.1,5.3
48,Donte Moncrief,PIT,NE,11,95,47.7,7.0
49,Marquez Valdes-Scantling,GB,CHI,36,71,48.9,4.1
50,Anthony Miller,CHI,GB,31,94,48.4,7.0
51,Albert Wilson,MIA,BAL,28,72,51.4,6.4
52,Marquise Goodwin,SF,TB,29,81,52.2,6.7
53,Mohamed Sanu,ATL,MIN,44,77,55.4,5.6
54,James Washington,PIT,NE,43,96,57.8,8.6
55,Tre'Quan Smith,NO,HOU,41,114,60.9,9.1
56,Adam Humphries,TEN,CLE,35,72,56.8,5.4
57,Cole Beasley,BUF,NYJ,43,92,65.3,10.8
58,Keke Coutee,HOU,NO,36,90,58.3,9.3
59,Zay Jones,BUF,NYJ,40,102,63.3,9.0
60,Devante Parker,MIA,BAL,28,83,61.1,6.9
61,DaeSean Hamilton,DEN,OAK,42,91,62.9,7.3
62,Deebo Samuel,SF,TB,45,103,64.1,8.6
63,Ted Ginn,NO,HOU,48,108,66.0,9.2
64,Taylor Gabriel,CHI,GB,41,83,64.6,5.6
65,Trey Quinn,WAS,PHI,41,87,66.0,9.4
66,Quincy Enunwa,NYJ,BUF,32,80,65.2,6.6
67,D.K. Metcalf,SEA,CIN,38,100,65.6,9.4
68,Devin Funchess,IND,LAC,41,84,66.0,7.1
69,Rashard Higgins,CLE,TEN,41,96,68.8,9.2
70,Kenny Stills,HOU,NO,39,115,68.3,10.5
71,Willie Snead,BAL,MIA,47,99,73.4,7.1
72,Danny Amendola,DET,ARI,36,97,71.2,7.4
73,Randall Cobb,DAL,NYG,43,93,72.7,6.7
74,Miles Boykin,BAL,MIA,46,104,74.5,8.9
75,John Ross,CIN,SEA,55,96,74.5,7.8
76,Paul Richardson,WAS,PHI,51,97,76.5,9.4
77,Hunter Renfrow,OAK,DEN,35,129,73.6,18.0
78,Nelson Agholor,PHI,WAS,46,98,77.9,6.7
79,Marquise Brown,BAL,MIA,25,102,79.9,8.5
80,D.J. Chark,JAC,KC,46,120,79.6,9.9
81,Parris Campbell,IND,LAC,39,119,80.4,11.0
82,Mecole Hardman,KC,JAC,53,106,83.8,8.6
83,Chris Conley,JAC,KC,26,100,82.9,7.8
84,Phillip Dorsett,NE,PIT,61,111,82.3,8.4
85,Terry McLaurin,WAS,PHI,51,120,80.5,9.8
86,Marqise Lee,JAC,KC,48,109,83.0,11.6
87,Breshad Perriman,TB,SF,52,109,87.3,7.5
88,Robert Foster,BUF,NYJ,58,110,83.8,9.2
89,A.J. Brown,TEN,CLE,65,102,87.7,5.1
90,KeeSean Johnson,ARI,DET,56,115,90.5,8.2
91,J.,PHI,WAS,69,120,92.9,7.5
92,Andy Isabella,ARI,DET,69,127,93.1,10.0
93,Travis Benjamin,LAC,IND,71,107,93.5,6.4
94,Keelan Cole,JAC,KC,77,160,94.6,10.1
95,Damion Willis,CIN,SEA,49,121,92.3,13.4
96,Jake Kumerow,GB,CHI,56,126,98.1,7.8
97,Cordarrelle Patterson,CHI,GB,57,119,97.2,8.9
98,Josh Reynolds,LAR,CAR,76,150,98.2,10.0
99,Chris Hogan,CAR,LAR,65,125,100.0,7.6
100,Michael Crabtree,ARI,DET,59,128,92.8,14.3
101,Preston Williams,MIA,BAL,34,143,96.4,10.7
102,Cody Latimer,NYG,DAL,49,140,99.2,11.3
103,Ryan Grant,OAK,DEN,73,129,101.7,7.1
104,Taywan Taylor,CLE,TEN,76,149,102.6,11.9
105,Chad Beebe,MIN,ATL,72,119,103.2,8.4
106,Keith Kirkwood,NO,HOU,93,123,106.8,5.6
107,Deon Cain,IND,LAC,75,152,106.6,8.2
108,Diontae Johnson,PIT,NE,96,136,109.5,7.3
109,Josh Doctson,MIN,ATL,79,139,108.4,12.5
110,Jaron Brown,SEA,CIN,48,119,89.5,14.6
111,Demaryius Thomas,NE,PIT,56,123,99.3,15.4
112,Jakeem Grant,MIA,BAL,53,133,100.9,16.3
113,Kendrick Bourne,SF,TB,80,132,108.1,8.5
114,Demarcus Robinson,KC,JAC,70,134,110.0,10.1
115,J.,OAK,DEN,63,147,105.8,16.8
116,Tim Patrick,DEN,OAK,99,141,114.4,7.6
117,Bennie Fowler,NYG,DAL,83,131,111.8,8.4
118,Jarius Wright,CAR,LAR,79,139,114.0,12.7
119,Ryan Switzer,PIT,NE,77,136,113.7,10.4
120,Jakobi Meyers,NE,PIT,49,136,116.4,12.2
121,Justin Watson,TB,SF,87,129,116.5,7.9
122,Dontrelle Inman,LAC,IND,99,143,123.4,9.0
123,Kelvin Harmon,WAS,PHI,66,135,121.0,11.2
124,Russell Shepard,NYG,DAL,92,138,121.2,10.7
125,Chris Moore,BAL,MIA,95,140,122.5,9.0
126,John Ursua,SEA,CIN,71,149,116.8,13.1
127,Chester Rogers,IND,LAC,79,139,127.9,8.6
128,Gary Jennings,SEA,CIN,101,150,127.5,10.5
129,Tajae Sharpe,TEN,CLE,96,154,120.4,11.5
130,Tavon Austin,DAL,NYG,101,149,126.1,9.5
131,Alex Erickson,CIN,SEA,97,160,124.1,12.3
132,Allen Hurns,MIA,BAL,93,158,131.1,13.0
133,Olabisi Johnson,MIN,ATL,91,137,125.7,6.2
134,Isaiah McKenzie,BUF,NYJ,109,140,131.9,6.9
135,Justin Hardy,ATL,MIN,109,157,133.8,9.0
136,Josh Bellamy,NYJ,BUF,116,141,132.6,7.4
137,DeAndre Carter,HOU,NO,128,157,136.4,7.4
138,Austin Carr,NO,HOU,98,144,133.9,10.8
139,Robert Davis,WAS,PHI,114,174,138.0,13.1
140,Mack Hollins,PHI,WAS,111,164,134.3,15.0
141,Travis Fulgham,DET,ARI,125,148,140.8,4.9
142,Richie James,SF,TB,107,165,138.5,11.4
143,Zach Pascal,IND,LAC,119,152,142.3,8.2
144,Trent Sherfield,ARI,DET,131,163,145.2,8.2
145,Damion Ratley,CLE,TEN,118,146,140.1,5.4
146,Seth Roberts,BAL,MIA,123,156,139.2,9.6
147,Bobo Wilson,TB,SF,118,148,133.0,12.0
148,Chris Lacy,DET,ARI,116,151,139.2,12.9
149,Russell Gage,ATL,MIN,112,153,145.7,5.0
150,Cody Core,NYG,DAL,110,165,147.5,8.8
151,Jordan Lasley,FA,,101,119,110.0,9.0
152,Laquon Treadwell,FA,,100,124,112.0,12.0
153,Darius Jennings,TEN,CLE,130,152,142.0,8.6
154,Damiere Byrd,ARI,DET,138,154,144.3,6.2
155,Malik Turner,SEA,CIN,132,155,144.5,8.4
156,Byron Pringle,KC,JAC,130,159,149.8,6.2
157,J'Mon Moore,FA,,105,134,119.5,14.5
158,Maurice Harris,FA,,100,145,122.5,22.5
159,Chad Williams,IND,LAC,122,153,137.5,15.5
160,Emanuel Hall,TB,SF,121,161,141.0,20.0
161,Anthony Johnson,FA,,125,159,142.0,17.0
162,Lil'Jordan Humphrey,NO,HOU,123,162,142.5,19.5
163,Greg Dortch,NYJ,BUF,124,163,143.5,19.5
164,Duke Williams,BUF,NYJ,144,145,144.5,0.5
165,Stanley Morgan Jr.,CIN,SEA,130,180,155.0,25.0
166,Braxton Berrios,NYJ,BUF,151,152,151.5,0.5
167,Geremy Davis,LAC,IND,140,186,163.0,23.0
168,Marcell Ateman,OAK,DEN,144,169,156.5,12.5
169,Emmanuel Butler,NO,HOU,148,170,159.0,11.0
170,Scott Miller,TB,SF,150,178,164.0,14.0
