Date,Year,Week,Team,Opp,Total_Score,Win_Prob,Expected_Points,OwnPer_RB,Expected_Points_RB,OwnPer_QB,Expected_Points_QB,OwnPer_WR,Expected_Points_WR,OwnPer_TE,Expected_Points_TE,OwnPer_DST,Expected_Points_DST
2019-09-09,2019,1,DEN,OAK,42.5,0.609756097560976,22.75,,,,,,,,,,
2019-09-09,2019,1,HOU,NO,51.5,0.28571428571428603,22.5,,,,,,,,,,
2019-09-09,2019,1,NO,HOU,51.5,0.7575757575757579,29.0,,,,,,,,,,
2019-09-09,2019,1,OAK,DEN,42.5,0.425531914893617,19.75,,,,,,,,,,
2019-09-08,2019,1,ARI,DET,45.5,0.43478260869565205,21.25,0.09175,22.2,0.0965,18.0,0.07025,40.46,0.00325,8.375,0.011333333,6.2
2019-09-08,2019,1,ATL,MIN,47.0,0.37453183520599204,21.75,0.04025,23.799999999999994,0.0285,17.1,0.17725,42.399999999999984,0.02575,11.4,0.014333333,6.1
2019-09-08,2019,1,BAL,MIA,40.5,0.7633587786259541,23.75,0.1095,29.085000000000004,0.07875,20.1,0.01525,24.000000000000004,0.060250000000000005,17.300000000000004,0.15433333300000002,8.2
2019-09-08,2019,1,BUF,NYJ,41.0,0.444444444444444,19.25,0.0285,19.9,0.02375,15.9,0.051250000000000004,33.099999999999994,0.00225,3.2003700000000004,0.041666667,7.2
2019-09-08,2019,1,CAR,LAR,49.5,0.47619047619047605,23.75,0.23075,26.49999999999999,0.0525,18.6,0.34049999999999997,33.72,0.021500000000000002,12.9,0.009333333,5.8
2019-09-08,2019,1,CIN,SEA,44.0,0.222222222222222,17.5,0.032,25.319999999999997,0.00475,13.100000000000005,0.17975,31.339999999999996,0.0175,14.48,0.014,5.0
2019-09-08,2019,1,CLE,TEN,44.0,0.7142857142857142,24.75,0.134,23.000000000000004,0.05325,18.9,0.2165,40.10004000000001,0.03225,12.900033999999998,0.054333333,7.8
2019-09-08,2019,1,DAL,NYG,44.0,0.7751937984496121,25.5,0.11374999999999999,28.700230000000005,0.0305,18.500000000000004,0.11124999999999999,35.79999999999999,0.019,12.059999999999999,0.061666667,7.6
2019-09-08,2019,1,DET,ARI,45.5,0.602409638554217,24.25,0.1115,27.299999999999997,0.0245,16.4,0.19425,36.1,0.0155,13.8,0.020666667,7.0
2019-09-08,2019,1,IND,LAC,44.5,0.298507462686567,19.25,0.02775,23.86,0.06475,14.300000000000004,0.04525,34.79999999999999,0.01625,17.800000000000004,0.006999999999999999,5.7
2019-09-08,2019,1,JAX,KC,49.0,0.377358490566038,22.75,0.12875,23.199999999999992,0.0255,15.7,0.21200000000000002,40.980000000000004,0.00525,10.1,0.008666667,6.5
2019-09-08,2019,1,KC,JAX,49.0,0.6493506493506489,26.25,0.07400000000000001,26.500000000000007,0.08199999999999999,20.399999999999995,0.1615,39.78,0.14125,18.999999999999993,0.03,6.7
2019-09-08,2019,1,LAC,IND,44.5,0.746268656716418,25.25,0.1945,25.1,0.01175,18.4,0.1295,39.99999999999999,0.14625,15.8,0.08566666699999999,7.8
2019-09-08,2019,1,LAR,CAR,49.5,0.568181818181818,25.75,0.06925,29.299999999999997,0.04875,19.299999999999994,0.25225000000000003,49.61999999999999,0.0072499999999999995,10.4,0.016666667,7.2
2019-09-08,2019,1,MIA,BAL,40.5,0.277777777777778,16.75,0.017,19.0,0.0035,13.899999999999999,0.02075,29.45,0.002,8.9,0.006333333000000001,6.0
2019-09-08,2019,1,MIN,ATL,47.0,0.657894736842105,25.25,0.28225,29.2,0.05525,17.799999999999994,0.32749999999999996,41.04003699999999,0.028250000000000004,11.999999999999998,0.017666667,7.2
2019-09-08,2019,1,NE,PIT,49.0,0.7142857142857142,27.25,,,,,,,,,,
2019-09-08,2019,1,NYG,DAL,44.0,0.27027027027027,18.5,0.19625,27.20000000000001,0.00525,13.299999999999999,0.07925,27.665,0.1115,17.1,0.01,5.8
2019-09-08,2019,1,NYJ,BUF,41.0,0.595238095238095,21.75,0.10350000000000001,27.09999999999999,0.0045,13.999999999999998,0.06,32.54,0.00375,8.55,0.066666667,7.3
2019-09-08,2019,1,PHI,WAS,44.5,0.833333333333333,27.25,0.08850000000000001,25.839999999999996,0.13425,19.7,0.093,33.525,0.11399999999999999,21.799999999999997,0.16,8.1
2019-09-08,2019,1,PIT,NE,49.0,0.327868852459016,21.75,,,,,,,,,,
2019-09-08,2019,1,SEA,CIN,44.0,0.819672131147541,26.5,0.223,28.299999999999994,0.047,19.0,0.201,37.224999999999994,0.012,10.8,0.150333333,7.9
2019-09-08,2019,1,SF,TB,51.0,0.512820512820513,25.0,0.09775,28.0,0.054000000000000006,16.999999999999996,0.11725000000000001,33.50000000000001,0.13075,17.4,0.027666667,6.5
2019-09-08,2019,1,TB,SF,51.0,0.537634408602151,26.0,0.0145,20.745000000000005,0.093,20.0,0.29200000000000004,46.300000000000004,0.07475,19.28,0.031333333,5.9
2019-09-08,2019,1,TEN,CLE,44.0,0.32258064516129,19.25,0.027,22.775,0.00375,14.699999999999998,0.0325,32.08,0.036750000000000005,15.399999999999999,0.006666666999999999,6.0
2019-09-08,2019,1,WAS,PHI,44.5,0.21052631578947398,17.25,0.02725,24.460569999999997,0.00425,12.9,0.0175,31.65,0.009000000000000001,11.820000000000004,0.004333333,5.4
2019-09-05,2019,1,CHI,GB,46.5,0.632911392405063,24.75,,,,,,,,,,
2019-09-05,2019,1,GB,CHI,46.5,0.4,21.75,,,,,,,,,,
