"Team","Opp","DK $","DK Own%","FD $","FD Own%"
"Arizona Cardinals","DET","2700","0-1%","3600","0-1%"
"Atlanta Falcons","@MIN","2400","0-1%","3500","0-1%"
"Baltimore Ravens","@MIA","3800","15.5-20.5%","5000","15.5-20.5%"
"Buffalo Bills","@NYJ","3000","1-5%","4000","1-5%"
"Carolina Panthers","LAR","2100","0-1%","3500","0-1%"
"Cincinnati Bengals","@SEA","2000","1-5%","3100","1-5%"
"Cleveland Browns","TEN","3400","5.5-10.5%","4300","5.5-10.5%"
"Dallas Cowboys","NYG","3500","5.5-10.5%","4700","5.5-10.5%"
"Detroit Lions","@ARI","2900","1-5%","4100","1-5%"
"Indianapolis Colts","@LAC","2600","0-1%","3600","0-1%"
"Jacksonville Jaguars","KC","2300","0-1%","3900","0-1%"
"Kansas City Chiefs","@JAX","2800","1-5%","3900","1-5%"
"Los Angeles Rams","@CAR","3200","0-1%","4400","0-1%"
"Los Angeles Chargers","IND","3000","5.5-10.5%","4000","10.5-15.5%"
"Miami Dolphins","BAL","2100","0-1%","3000","0-1%"
"Minnesota Vikings","ATL","3300","1-5%","4300","1-5%"
"New York Jets","BUF","3100","5.5-10.5%","4200","5.5-10.5%"
"New York Giants","@DAL","2300","0-1%","3400","0-1%"
"Philadelphia Eagles","WAS","3600","15.5-20.5%","4600","10.5-15.5%"
"San Francisco 49ers","@TB","2200","0-1%","3700","0-1%"
"Seattle Seahawks","CIN","3100","15.5-20.5%","4500","10.5-15.5%"
"Tampa Bay Buccaneers","SF","2200","0-1%","3500","0-1%"
"Tennessee Titans","@CLE","2600","0-1%","3700","0-1%"
"Washington Redskins","@PHI","2500","0-1%","3500","0-1%"
