"Player","Pos","Team","Opp","DK $","DK Own%","FD $","FD Own%"
"Andy Dalton","QB","CIN","@SEA","5000","0-1%","6500","0-1%"
"Baker Mayfield","QB","CLE","TEN","6400","5.5-10.5%","7900","5.5-10.5%"
"Cam Newton","QB","CAR","LAR","6500","5.5-10.5%","7900","5.5-10.5%"
"Carson Wentz","QB","PHI","WAS","5700","5.5-10.5%","7600","5.5-10.5%"
"Case Keenum","QB","WAS","@PHI","4900","0-1%","6200","0-1%"
"Dak Prescott","QB","DAL","NYG","5900","1-5%","7500","5.5-10.5%"
"Eli Manning","QB","NYG","@DAL","5000","0-1%","6400","0-1%"
"Jacoby Brissett","QB","IND","@LAC","5300","0-1%","6000","0-1%"
"Jameis Winston","QB","TB","SF","6600","5.5-10.5%","7500","10.5-15.5%"
"Jared Goff","QB","LAR","@CAR","6200","5.5-10.5%","7800","5.5-10.5%"
"Jimmy Garoppolo","QB","SF","@TB","5800","5.5-10.5%","7200","5.5-10.5%"
"Josh Allen","QB","BUF","@NYJ","5600","1-5%","6900","1-5%"
"Kirk Cousins","QB","MIN","ATL","5500","1-5%","7400","1-5%"
"Kyler Murray","QB","ARI","DET","5600","10.5-15.5%","7300","5.5-10.5%"
"Lamar Jackson","QB","BAL","@MIA","6000","5.5-10.5%","7400","5.5-10.5%"
"Marcus Mariota","QB","TEN","@CLE","5200","0-1%","6500","0-1%"
"Matt Ryan","QB","ATL","@MIN","6100","1-5%","8000","1-5%"
"Matthew Stafford","QB","DET","@ARI","5400","1-5%","6600","1-5%"
"Nick Foles","QB","JAX","KC","5300","1-5%","6500","5.5-10.5%"
"Patrick Mahomes","QB","KC","@JAX","7200","10.5-15.5%","8700","5.5-10.5%"
"Philip Rivers","QB","LAC","IND","5900","1-5%","7500","1-5%"
"Russell Wilson","QB","SEA","CIN","6300","5.5-10.5%","8200","5.5-10.5%"
"Ryan Fitzpatrick","QB","MIA","BAL","4900","0-1%","6200","0-1%"
"Sam Darnold","QB","NYJ","BUF","5100","0-1%","6700","0-1%"
