"Player","Pos","Team","Opp","DK $","DK Own%","FD $","FD Own%"
"Adrian Peterson","RB","WAS","@PHI","3700","0-1%","5600","0-1%"
"Alexander Mattison","RB","MIN","ATL","3800","0-1%","4900","0-1%"
"Alfred Morris","RB","DAL","NYG","3500","0-1%","5400","0-1%"
"Austin Ekeler","RB","LAC","IND","5500","15.5-20.5%","6400","15.5-20.5%"
"Bilal Powell","RB","NYJ","BUF","3300","0-1%","4500","0-1%"
"Brian Hill","RB","ATL","@MIN","3000","0-1%","4500","0-1%"
"C.J. Prosise","RB","SEA","CIN","3000","0-1%","4500","0-1%"
"C.J. Anderson","RB","DET","@ARI","3900","0-1%","5300","0-1%"
"Chandler Cox","RB","MIA","BAL","3000","0-1%","4500","0-1%"
"Chase Edmonds","RB","ARI","DET","3100","0-1%","5100","0-1%"
"Chris Thompson","RB","WAS","@PHI","3500","0-1%","5100","0-1%"
"Chris Carson","RB","SEA","CIN","5700","15.5-20.5%","6600","15.5-20.5%"
"Christian McCaffrey","RB","CAR","LAR","8800","25.5-30.5%","8900","20.5-25.5%"
"Corey Clement","RB","PHI","WAS","3200","0-1%","4500","0-1%"
"D'Ernest Johnson","RB","CLE","TEN","3000","0-1%","4500","0-1%"
"Dalvin Cook","RB","MIN","ATL","6000","30.5-35.5%","7400","25.5-30.5%"
"Damien Williams","RB","KC","@JAX","6300","5.5-10.5%","6900","5.5-10.5%"
"Dare Ogunbowale","RB","TB","SF","3000","0-1%","4500","0-1%"
"Darrel Williams","RB","KC","@JAX","3400","0-1%","4800","0-1%"
"Darren Sproles","RB","PHI","WAS","3100","0-1%","4600","0-1%"
"Darwin Thompson","RB","KC","@JAX","3000","0-1%","4500","0-1%"
"David Fluellen","RB","TEN","@CLE","3000","0-1%","4500","0-1%"
"David Johnson","RB","ARI","DET","7700","5.5-10.5%","8100","5.5-10.5%"
"Derrick Henry","RB","TEN","@CLE","5900","1-5%","6800","1-5%"
"Derrius Guice","RB","WAS","@PHI","4400","0-1%","5900","0-1%"
"Devin Singletary","RB","BUF","@NYJ","3600","0-1%","5300","0-1%"
"Devine Ozigbo","RB","JAX","KC","3000","0-1%","4500","0-1%"
"Devonta Freeman","RB","ATL","@MIN","5300","1-5%","6700","1-5%"
"Dion Lewis","RB","TEN","@CLE","4700","0-1%","5600","0-1%"
"Dontrell Hilliard","RB","CLE","TEN","3000","0-1%","4800","0-1%"
"Ezekiel Elliott","RB","DAL","NYG","9200","10.5-15.5%","9100","10.5-15.5%"
"Frank Gore","RB","BUF","@NYJ","3800","0-1%","4900","0-1%"
"Giovani Bernard","RB","CIN","@SEA","4100","0-1%","5200","0-1%"
"Gus Edwards","RB","BAL","@MIA","3100","0-1%","4800","0-1%"
"Ito Smith","RB","ATL","@MIN","4000","0-1%","5400","0-1%"
"Joe Mixon","RB","CIN","@SEA","6700","1-5%","7800","1-5%"
"Jonathan Williams","RB","IND","@LAC","3000","0-1%","4500","0-1%"
"Jordan Wilkins","RB","IND","@LAC","3000","0-1%","4600","0-1%"
"Jordan Howard","RB","PHI","WAS","4200","1-5%","5800","1-5%"
"Jordan Scarlett","RB","CAR","LAR","3400","0-1%","4700","0-1%"
"Justice Hill","RB","BAL","@MIA","3600","0-1%","5000","0-1%"
"Justin Jackson","RB","LAC","IND","4000","1-5%","5900","1-5%"
"Kalen Ballage","RB","MIA","BAL","4500","0-1%","5700","0-1%"
"Kenyan Drake","RB","MIA","BAL","4700","0-1%","6000","0-1%"
"Kerryon Johnson","RB","DET","@ARI","5800","5.5-10.5%","7000","5.5-10.5%"
"Leonard Fournette","RB","JAX","KC","6100","15.5-20.5%","7200","15.5-20.5%"
"LeSean McCoy","RB","KC","@JAX","4600","1-5%","5800","1-5%"
"LeVeon Bell","RB","NYJ","BUF","7100","5.5-10.5%","7900","5.5-10.5%"
"Malcolm Brown","RB","LAR","@CAR","3800","0-1%","4900","0-1%"
"Mark Ingram","RB","BAL","@MIA","5100","5.5-10.5%","6600","5.5-10.5%"
"Marlon Mack","RB","IND","@LAC","5600","1-5%","6900","1-5%"
"Matt Breida","RB","SF","@TB","4000","1-5%","5400","5.5-10.5%"
"Mike Boone","RB","MIN","ATL","3000","0-1%","4500","0-1%"
"Miles Sanders","RB","PHI","WAS","3900","1-5%","6000","1-5%"
"Myles Gaskin","RB","MIA","BAL","3000","0-1%","4500","0-1%"
"Nick Chubb","RB","CLE","TEN","6400","20.5-25.5%","7400","20.5-25.5%"
"Nyheim Hines","RB","IND","@LAC","3900","0-1%","5300","0-1%"
"Patrick DiMarco","RB","BUF","@NYJ","3000","0-1%","4500","0-1%"
"Paul Perkins","RB","NYG","@DAL","3300","0-1%","4700","0-1%"
"Peyton Barber","RB","TB","SF","4000","1-5%","5500","1-5%"
"Qadree Ollison","RB","ATL","@MIN","3000","0-1%","4700","0-1%"
"Raheem Mostert","RB","SF","@TB","3700","0-1%","4500","0-1%"
"Rashaad Penny","RB","SEA","CIN","4900","0-1%","5900","0-1%"
"Reggie Bonnafon","RB","CAR","LAR","3000","0-1%","4500","0-1%"
"Ronald Jones","RB","TB","SF","3900","0-1%","5600","0-1%"
"Ryquell Armstead","RB","JAX","KC","3000","0-1%","4500","0-1%"
"Saquon Barkley","RB","NYG","@DAL","9000","15.5-20.5%","9200","15.5-20.5%"
"T.J. Logan","RB","TB","SF","3000","0-1%","4500","0-1%"
"T.J. Yeldon","RB","BUF","@NYJ","3300","0-1%","4600","0-1%"
