"Player","Pos","Team","Opp","DK $","DK Own%","FD $","FD Own%"
"Anthony Firkser","TE","TEN","@CLE","2500","0-1%","4000","0-1%"
"Antony Auclair","TE","TB","SF","2500","0-1%","4000","0-1%"
"Austin Hooper","TE","ATL","@MIN","3200","1-5%","5500","1-5%"
"Blake Jarwin","TE","DAL","NYG","2700","0-1%","4000","0-1%"
"Blake Bell","TE","KC","@JAX","2500","0-1%","4000","0-1%"
"C.J. Uzomah","TE","CIN","@SEA","2600","0-1%","4300","0-1%"
"Cameron Brate","TE","TB","SF","2800","0-1%","4800","0-1%"
"Charles Clay","TE","ARI","DET","2700","0-1%","4200","0-1%"
"Chris Manhertz","TE","CAR","LAR","2500","0-1%","4000","0-1%"
"Dallas Goedert","TE","PHI","WAS","2900","0-1%","5000","0-1%"
"Dalton Schultz","TE","DAL","NYG","2500","0-1%","4000","0-1%"
"David Njoku","TE","CLE","TEN","3700","5.5-10.5%","5800","5.5-10.5%"
"Dawson Knox","TE","BUF","@NYJ","2500","0-1%","4600","0-1%"
"Delanie Walker","TE","TEN","@CLE","3500","1-5%","5400","1-5%"
"Demetrius Harris","TE","CLE","TEN","2500","0-1%","4000","0-1%"
"Deon Yelder","TE","KC","@JAX","2500","0-1%","4000","0-1%"
"Drew Sample","TE","CIN","@SEA","2500","0-1%","4000","0-1%"
"Eric Ebron","TE","IND","@LAC","4100","0-1%","5900","0-1%"
"Evan Engram","TE","NYG","@DAL","4800","10.5-15.5%","6400","10.5-15.5%"
"Geoff Swaim","TE","JAX","KC","2900","0-1%","4500","0-1%"
"George Kittle","TE","SF","@TB","6600","10.5-15.5%","7300","10.5-15.5%"
"Gerald Everett","TE","LAR","@CAR","2900","0-1%","4900","0-1%"
"Greg Olsen","TE","CAR","LAR","3200","1-5%","5200","1-5%"
"Hayden Hurst","TE","BAL","@MIA","2700","0-1%","4400","0-1%"
"Hunter Henry","TE","LAC","IND","3900","5.5-10.5%","6100","5.5-10.5%"
"Ian Thomas","TE","CAR","LAR","2800","0-1%","4600","0-1%"
"Irv Smith Jr.","TE","MIN","ATL","2700","0-1%","4000","0-1%"
"Jack Doyle","TE","IND","@LAC","3400","0-1%","5400","0-1%"
"James O'Shaughnessy","TE","JAX","KC","2500","0-1%","4000","0-1%"
"Jason Witten","TE","DAL","NYG","3000","0-1%","4700","0-1%"
"Jeremy Sprinkle","TE","WAS","@PHI","2500","0-1%","4000","0-1%"
"Jesse James","TE","DET","@ARI","2500","0-1%","4000","0-1%"
"Jonnu Smith","TE","TEN","@CLE","2700","0-1%","4000","0-1%"
"Kyle Rudolph","TE","MIN","ATL","3300","1-5%","5100","1-5%"
"Luke Stocker","TE","ATL","@MIN","2500","0-1%","4000","0-1%"
"Mark Andrews","TE","BAL","@MIA","3000","1-5%","5400","1-5%"
"Maxx Williams","TE","ARI","DET","2500","0-1%","4100","0-1%"
"Mike Gesicki","TE","MIA","BAL","3000","0-1%","4900","0-1%"
"Mo Alie-Cox","TE","IND","@LAC","2500","0-1%","4000","0-1%"
"Nick Boyle","TE","BAL","@MIA","2500","0-1%","4000","0-1%"
"Nick Vannett","TE","SEA","CIN","2700","0-1%","4800","0-1%"
"Nick O'Leary","TE","MIA","BAL","2500","0-1%","4000","0-1%"
"O.J. Howard","TE","TB","SF","5000","5.5-10.5%","6500","5.5-10.5%"
"Rhett Ellison","TE","NYG","@DAL","2500","0-1%","4000","0-1%"
"Ross Dwelley","TE","SF","@TB","2500","0-1%","4000","0-1%"
"Ryan Griffin","TE","NYJ","BUF","2700","0-1%","4000","0-1%"
"Sean Culkin","TE","LAC","IND","2500","0-1%","4000","0-1%"
"T.J. Hockenson","TE","DET","@ARI","3100","0-1%","4900","0-1%"
"Tommy Sweeney","TE","BUF","@NYJ","2500","0-1%","4000","0-1%"
"Travis Kelce","TE","KC","@JAX","7100","15.5-20.5%","7800","10.5-15.5%"
"Tyler Conklin","TE","MIN","ATL","2500","0-1%","4000","0-1%"
"Tyler Eifert","TE","CIN","@SEA","3100","1-5%","5200","1-5%"
"Tyler Higbee","TE","LAR","@CAR","2600","0-1%","4000","0-1%"
"Vernon Davis","TE","WAS","@PHI","2700","1-5%","4000","1-5%"
"Virgil Green","TE","LAC","IND","2500","0-1%","4000","0-1%"
"Will Dissly","TE","SEA","CIN","2900","0-1%","4000","0-1%"
"Zach Ertz","TE","PHI","WAS","6100","5.5-10.5%","7100","10.5-15.5%"
