"Player","Pos","Team","Opp","DK $","DK Own%","FD $","FD Own%"
"A.J. Brown","WR","TEN","@CLE","3500","0-1%","5100","0-1%"
"Adam Humphries","WR","TEN","@CLE","4000","0-1%","5200","0-1%"
"Adam Thielen","WR","MIN","ATL","6800","15.5-20.5%","7400","10.5-15.5%"
"Albert Wilson","WR","MIA","BAL","3900","0-1%","5000","0-1%"
"Alex Erickson","WR","CIN","@SEA","3200","0-1%","4500","0-1%"
"Allen Hurns","WR","MIA","BAL","3700","0-1%","4500","0-1%"
"Alshon Jeffery","WR","PHI","WAS","5900","5.5-10.5%","6700","5.5-10.5%"
"Amari Cooper","WR","DAL","NYG","7000","10.5-15.5%","7500","10.5-15.5%"
"Andy Isabella","WR","ARI","DET","3400","0-1%","4600","0-1%"
"Antonio Callaway","WR","CLE","TEN","3300","0-1%","5100","0-1%"
"Auden Tate","WR","CIN","@SEA","3000","0-1%","4500","0-1%"
"Bennie Fowler","WR","NYG","@DAL","3000","0-1%","4500","0-1%"
"Brandin Cooks","WR","LAR","@CAR","6500","10.5-15.5%","7000","10.5-15.5%"
"Breshad Perriman","WR","TB","SF","3300","0-1%","4800","0-1%"
"Calvin Ridley","WR","ATL","@MIN","5100","1-5%","6500","1-5%"
"Chad Beebe","WR","MIN","ATL","3000","0-1%","4800","0-1%"
"Chester Rogers","WR","IND","@LAC","3300","0-1%","4700","0-1%"
"Chris Conley","WR","JAX","KC","3100","0-1%","4500","0-1%"
"Chris Godwin","WR","TB","SF","6200","15.5-20.5%","6900","10.5-15.5%"
"Chris Hogan","WR","CAR","LAR","3300","0-1%","4600","0-1%"
"Chris Moore","WR","BAL","@MIA","3200","0-1%","5100","0-1%"
"Christian Kirk","WR","ARI","DET","4700","1-5%","6000","1-5%"
"Cody Latimer","WR","NYG","@DAL","3300","0-1%","5500","0-1%"
"Cole Beasley","WR","BUF","@NYJ","3600","0-1%","4800","0-1%"
"Cooper Kupp","WR","LAR","@CAR","5700","5.5-10.5%","6800","5.5-10.5%"
"Corey Davis","WR","TEN","@CLE","4900","1-5%","6200","1-5%"
"Curtis Samuel","WR","CAR","LAR","4200","15.5-20.5%","5900","10.5-15.5%"
"D.J. Moore","WR","CAR","LAR","5500","10.5-15.5%","6200","5.5-10.5%"
"Damion Ratley","WR","CLE","TEN","3000","0-1%","4500","0-1%"
"Danny Amendola","WR","DET","@ARI","3600","0-1%","4900","0-1%"
"Dante Pettis","WR","SF","@TB","5400","5.5-10.5%","6500","1-5%"
"Darius Jennings","WR","TEN","@CLE","3000","0-1%","4500","0-1%"
"Darius Slayton","WR","NYG","@DAL","3200","0-1%","4500","0-1%"
"Dede Westbrook","WR","JAX","KC","4800","10.5-15.5%","5900","10.5-15.5%"
"Deebo Samuel","WR","SF","@TB","4000","0-1%","5200","0-1%"
"Demarcus Robinson","WR","KC","@JAX","3200","0-1%","4800","0-1%"
"Deon Cain","WR","IND","@LAC","3000","0-1%","4500","0-1%"
"DeSean Jackson","WR","PHI","WAS","4500","1-5%","5600","1-5%"
"DeVante Parker","WR","MIA","BAL","3900","0-1%","5300","0-1%"
"Devin Funchess","WR","IND","@LAC","4000","0-1%","5600","0-1%"
"DK Metcalf","WR","SEA","CIN","4000","0-1%","5500","0-1%"
"Dontrelle Inman","WR","LAC","IND","3200","0-1%","4500","0-1%"
"Gary Jennings","WR","SEA","CIN","3000","0-1%","4500","0-1%"
"Geremy Davis","WR","LAC","IND","3000","0-1%","4500","0-1%"
"Isaiah McKenzie","WR","BUF","@NYJ","3000","0-1%","4500","0-1%"
"Jakeem Grant","WR","MIA","BAL","3000","0-1%","4500","0-1%"
"Jalen Hurd","WR","SF","@TB","3000","0-1%","4500","0-1%"
"Jamison Crowder","WR","NYJ","BUF","4100","0-1%","5400","0-1%"
"Jarius Wright","WR","CAR","LAR","3200","0-1%","4700","0-1%"
"Jaron Brown","WR","SEA","CIN","3100","0-1%","4500","0-1%"
"Jarvis Landry","WR","CLE","TEN","5600","5.5-10.5%","6300","5.5-10.5%"
"JJ Arcega-Whiteside","WR","PHI","WAS","3400","0-1%","4800","0-1%"
"John Brown","WR","BUF","@NYJ","4300","1-5%","5500","1-5%"
"Josh Bellamy","WR","NYJ","BUF","3000","0-1%","4500","0-1%"
"Josh Doctson","WR","MIN","ATL","3900","0-1%","5000","0-1%"
"Josh Reynolds","WR","LAR","@CAR","3300","0-1%","4900","0-1%"
"Julio Jones","WR","ATL","@MIN","8000","15.5-20.5%","8500","15.5-20.5%"
"Justin Hardy","WR","ATL","@MIN","3000","0-1%","4500","0-1%"
"Justin Watson","WR","TB","SF","3200","0-1%","4500","0-1%"
"Keelan Cole","WR","JAX","KC","3400","0-1%","4700","0-1%"
"Keenan Allen","WR","LAC","IND","7300","10.5-15.5%","7700","15.5-20.5%"
"KeeSean Johnson","WR","ARI","DET","3000","0-1%","4900","0-1%"
"Kendrick Bourne","WR","SF","@TB","3000","0-1%","4500","0-1%"
"Kenny Golladay","WR","DET","@ARI","6300","10.5-15.5%","6900","10.5-15.5%"
"Larry Fitzgerald","WR","ARI","DET","4900","1-5%","5900","1-5%"
"Mack Hollins","WR","PHI","WAS","3000","0-1%","4500","0-1%"
"Marqise Lee","WR","JAX","KC","4400","0-1%","5000","0-1%"
"Marquise Brown","WR","BAL","@MIA","3800","0-1%","5000","0-1%"
"Marquise Goodwin","WR","SF","@TB","4000","0-1%","5400","0-1%"
"Marvin Jones","WR","DET","@ARI","4800","5.5-10.5%","6100","5.5-10.5%"
"Mecole Hardman","WR","KC","@JAX","4100","0-1%","5100","0-1%"
"Michael Crabtree","WR","ARI","DET","3400","0-1%","4600","0-1%"
"Michael Gallup","WR","DAL","NYG","4300","0-1%","5600","0-1%"
"Mike Evans","WR","TB","SF","7900","10.5-15.5%","7900","10.5-15.5%"
"Mike Williams","WR","LAC","IND","5300","5.5-10.5%","6400","5.5-10.5%"
"Miles Boykin","WR","BAL","@MIA","3000","0-1%","4500","0-1%"
"Mohamed Sanu","WR","ATL","@MIN","4600","0-1%","5300","0-1%"
"Nelson Agholor","WR","PHI","WAS","3900","0-1%","5000","0-1%"
"Odell Beckham","WR","CLE","TEN","8100","20.5-25.5%","8200","25.5-30.5%"
"Parris Campbell","WR","IND","@LAC","3800","0-1%","5000","0-1%"
"Paul Richardson","WR","WAS","@PHI","3900","0-1%","4900","0-1%"
"Quincy Enunwa","WR","NYJ","BUF","3800","0-1%","5200","0-1%"
"Randall Cobb","WR","DAL","NYG","4200","0-1%","5000","0-1%"
"Rashard Higgins","WR","CLE","TEN","3200","0-1%","4500","0-1%"
"Robby Anderson","WR","NYJ","BUF","5200","1-5%","6300","1-5%"
"Robert Foster","WR","BUF","@NYJ","4100","0-1%","5700","0-1%"
"Robert Woods","WR","LAR","@CAR","6400","5.5-10.5%","7000","5.5-10.5%"
"Russell Gage","WR","ATL","@MIN","3000","0-1%","4500","0-1%"
"Russell Shepard","WR","NYG","@DAL","3000","0-1%","4500","0-1%"
"Sammy Watkins","WR","KC","@JAX","5000","5.5-10.5%","6300","5.5-10.5%"
"Stefon Diggs","WR","MIN","ATL","6700","10.5-15.5%","7200","10.5-15.5%"
"Sterling Shepard","WR","NYG","@DAL","5000","5.5-10.5%","6000","5.5-10.5%"
