"Team","#","Sum of DK Own %","#","Sum of FD Own %"
"Arizona Cardinals","14","25.0%","16","20.0%"
"Atlanta Falcons","11","31.0%","9","31.0%"
"Baltimore Ravens","18","17.0%","17","17.0%"
"Buffalo Bills","21","12.0%","21","12.0%"
"Carolina Panthers","4","46.0%","6","36.0%"
"Cincinnati Bengals","17","21.0%","18","16.0%"
"Cleveland Browns","2","52.0%","1","57.0%"
"Dallas Cowboys","15","22.0%","11","27.0%"
"Detroit Lions","13","27.0%","13","27.0%"
"Indianapolis Colts","20","12.0%","20","12.0%"
"Jacksonville Jaguars","16","21.0%","15","26.0%"
"Kansas City Chiefs","1","61.0%","2","56.0%"
"Los Angeles Chargers","7","37.0%","4","42.0%"
"Los Angeles Rams","6","40.0%","5","40.0%"
"Miami Dolphins","24","7.0%","24","7.0%"
"Minnesota Vikings","5","41.0%","7","36.0%"
"New York Giants","12","27.0%","12","27.0%"
"New York Jets","22","8.0%","22","8.0%"
"Philadelphia Eagles","10","31.0%","8","36.0%"
"San Francisco 49ers","8","34.0%","10","29.0%"
"Seattle Seahawks","9","31.0%","14","26.0%"
"Tampa Bay Buccaneers","3","51.0%","3","51.0%"
"Tennessee Titans","19","13.0%","19","13.0%"
"Washington Redskins","23","8.0%","23","8.0%"
