Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
RB,Dalvin Cook,MIN,ATL,6000,32.50%,52%,14%,16%,0.5
RB,Christian McCaffrey,CAR,LAR,8800,27.50%,55%,21%,25%,0.92
WR,Odell Beckham,CLE,TEN,8100,22.50%,49%,16%,20%,0.9
RB,Nick Chubb,CLE,TEN,6400,22.50%,49%,13%,15%,0.69
RB,Saquon Barkley,NYG,@DAL,9000,17.50%,50%,18%,22%,1.26
RB,Leonard Fournette,JAX,KC,6100,17.50%,55%,16%,20%,1.12
WR,Tyreek Hill,KC,@JAX,7600,17.50%,47%,14%,18%,1.01
DEF,Baltimore Ravens,BAL,@MIA,3800,17.50%,43%,20%,17%,0.99
RB,Chris Carson,SEA,CIN,5700,17.50%,46%,11%,13%,0.74
WR,Julio Jones,ATL,@MIN,8000,17.50%,41%,10%,13%,0.72
TE,Travis Kelce,KC,@JAX,7100,17.50%,49%,8%,12%,0.71
WR,Tyler Lockett,SEA,CIN,6000,17.50%,42%,10%,12%,0.71
WR,Adam Thielen,MIN,ATL,6800,17.50%,40%,9%,12%,0.66
DEF,Philadelphia Eagles,PHI,WAS,3600,17.50%,36%,13%,11%,0.65
RB,Austin Ekeler,LAC,IND,5500,17.50%,46%,9%,11%,0.63
WR,Chris Godwin,TB,SF,6200,17.50%,37%,7%,9%,0.53
WR,Curtis Samuel,CAR,LAR,4200,17.50%,37%,7%,8%,0.47
DEF,Seattle Seahawks,SEA,CIN,3100,17.50%,33%,8%,7%,0.41
TE,George Kittle,SF,@TB,6600,12.50%,53%,9%,15%,1.2
RB,Ezekiel Elliott,DAL,NYG,9200,12.50%,39%,12%,15%,1.16
WR,Keenan Allen,LAC,IND,7300,12.50%,44%,11%,14%,1.11
WR,Amari Cooper,DAL,NYG,7000,12.50%,41%,10%,13%,1.04
WR,Stefon Diggs,MIN,ATL,6700,12.50%,41%,10%,13%,1.03
WR,Kenny Golladay,DET,@ARI,6300,12.50%,40%,9%,11%,0.86
WR,D.J. Moore,CAR,LAR,5500,12.50%,39%,8%,10%,0.8
WR,Dede Westbrook,JAX,KC,4800,12.50%,39%,7%,9%,0.74
WR,Tyler Boyd,CIN,@SEA,5800,12.50%,39%,7%,9%,0.73
WR,Brandin Cooks,LAR,@CAR,6500,12.50%,37%,7%,9%,0.71
WR,Mike Evans,TB,SF,7900,12.50%,33%,7%,9%,0.7
TE,Evan Engram,NYG,@DAL,4800,12.50%,43%,5%,8%,0.67
QB,Patrick Mahomes,KC,@JAX,7200,12.50%,50%,20%,7%,0.6
QB,Kyler Murray,ARI,DET,5600,12.50%,46%,17%,7%,0.52
TE,Zach Ertz,PHI,WAS,6100,7.50%,54%,10%,16%,2.16
RB,Kerryon Johnson,DET,@ARI,5800,7.50%,51%,12%,15%,1.94
RB,David Johnson,ARI,DET,7700,7.50%,43%,11%,13%,1.8
RB,LeVeon Bell,NYJ,BUF,7100,7.50%,43%,10%,13%,1.67
TE,Hunter Henry,LAC,IND,3900,7.50%,47%,7%,11%,1.45
WR,Marvin Jones,DET,@ARI,4800,7.50%,41%,8%,10%,1.35
RB,Damien Williams,KC,@JAX,6300,7.50%,39%,8%,10%,1.34
WR,Cooper Kupp,LAR,@CAR,5700,7.50%,39%,8%,10%,1.31
RB,Todd Gurley,LAR,@CAR,7900,7.50%,34%,8%,10%,1.31
DEF,New York Jets,NYJ,BUF,3100,7.50%,36%,10%,9%,1.23
WR,Robert Woods,LAR,@CAR,6400,7.50%,36%,7%,9%,1.2
WR,Sterling Shepard,NYG,@DAL,5000,7.50%,38%,6%,8%,1.04
WR,Mike Williams,LAC,IND,5300,7.50%,35%,6%,8%,1.02
RB,Mark Ingram,BAL,@MIA,5100,7.50%,40%,6%,7%,0.99
WR,Alshon Jeffery,PHI,WAS,5900,7.50%,32%,5%,7%,0.91
QB,Cam Newton,CAR,LAR,6500,7.50%,46%,18%,7%,0.89
WR,Sammy Watkins,KC,@JAX,5000,7.50%,33%,5%,6%,0.86
WR,Jarvis Landry,CLE,TEN,5600,7.50%,33%,5%,6%,0.85
QB,Lamar Jackson,BAL,@MIA,6000,7.50%,45%,17%,6%,0.83
QB,Jameis Winston,TB,SF,6600,7.50%,45%,16%,6%,0.82
QB,Baker Mayfield,CLE,TEN,6400,7.50%,45%,16%,6%,0.78
DEF,Los Angeles Chargers,LAC,IND,3000,7.50%,31%,7%,6%,0.78
QB,Russell Wilson,SEA,CIN,6300,7.50%,44%,15%,6%,0.78
QB,Carson Wentz,PHI,WAS,5700,7.50%,46%,15%,6%,0.76
TE,O.J. Howard,TB,SF,5000,7.50%,34%,3%,5%,0.71
DEF,Dallas Cowboys,DAL,NYG,3500,7.50%,26%,6%,5%,0.7
WR,Dante Pettis,SF,@TB,5400,7.50%,29%,4%,5%,0.7
QB,Jared Goff,LAR,@CAR,6200,7.50%,42%,13%,5%,0.66
TE,David Njoku,CLE,TEN,3700,7.50%,34%,3%,5%,0.63
QB,Jimmy Garoppolo,SF,@TB,5800,7.50%,40%,12%,4%,0.6
DEF,Cleveland Browns,CLE,TEN,3400,7.50%,25%,5%,4%,0.59
RB,Joe Mixon,CIN,@SEA,6700,3.00%,37%,7%,8%,2.69
WR,Calvin Ridley,ATL,@MIN,5100,3.00%,34%,6%,8%,2.61
RB,Devonta Freeman,ATL,@MIN,5300,3.00%,38%,6%,7%,2.36
WR,Christian Kirk,ARI,DET,4700,3.00%,35%,5%,7%,2.26
WR,Larry Fitzgerald,ARI,DET,4900,3.00%,34%,5%,7%,2.24
WR,Corey Davis,TEN,@CLE,4900,3.00%,33%,5%,7%,2.19
WR,T.Y. Hilton,IND,@LAC,6600,3.00%,31%,5%,6%,2.14
QB,Dak Prescott,DAL,NYG,5900,3.00%,44%,16%,6%,1.99
WR,Robby Anderson,NYJ,BUF,5200,3.00%,31%,5%,6%,1.96
QB,Josh Allen,BUF,@NYJ,5600,3.00%,41%,14%,5%,1.78
DEF,Buffalo Bills,BUF,@NYJ,3000,3.00%,30%,6%,5%,1.77
TE,Delanie Walker,TEN,@CLE,3500,3.00%,37%,3%,5%,1.74
WR,DeSean Jackson,PHI,WAS,4500,3.00%,31%,4%,5%,1.69
QB,Kirk Cousins,MIN,ATL,5500,3.00%,42%,13%,5%,1.65
RB,Tevin Coleman,SF,@TB,5000,3.00%,34%,4%,5%,1.63
RB,Miles Sanders,PHI,WAS,3900,3.00%,36%,4%,5%,1.54
WR,John Brown,BUF,@NYJ,4300,3.00%,30%,4%,5%,1.53
RB,Matt Breida,SF,@TB,4000,3.00%,36%,4%,5%,1.53
TE,Mark Andrews,BAL,@MIA,3000,3.00%,34%,3%,4%,1.45
RB,Derrick Henry,TEN,@CLE,5900,3.00%,28%,4%,4%,1.42
TE,Greg Olsen,CAR,LAR,3200,3.00%,31%,3%,4%,1.39
RB,Marlon Mack,IND,@LAC,5600,3.00%,29%,3%,4%,1.35
QB,Philip Rivers,LAC,IND,5900,3.00%,39%,10%,4%,1.31
TE,Tyler Eifert,CIN,@SEA,3100,3.00%,32%,2%,4%,1.29
QB,Nick Foles,JAX,KC,5300,3.00%,39%,10%,4%,1.27
QB,Matt Ryan,ATL,@MIN,6100,3.00%,36%,10%,4%,1.26
TE,Vernon Davis,WAS,@PHI,2700,3.00%,33%,2%,4%,1.24
QB,Matthew Stafford,DET,@ARI,5400,3.00%,37%,10%,4%,1.21
TE,Austin Hooper,ATL,@MIN,3200,3.00%,32%,2%,4%,1.17
DEF,Detroit Lions,DET,@ARI,2900,3.00%,25%,4%,3%,1.12
DEF,Kansas City Chiefs,KC,@JAX,2800,3.00%,26%,4%,3%,1.07
RB,Justin Jackson,LAC,IND,4000,3.00%,30%,3%,3%,1.06
TE,Kyle Rudolph,MIN,ATL,3300,3.00%,28%,2%,3%,0.97
RB,LeSean McCoy,KC,@JAX,4600,3.00%,25%,2%,2%,0.77
DEF,Minnesota Vikings,MIN,ATL,3300,3.00%,19%,2%,2%,0.73
RB,Tony Pollard,DAL,NYG,4500,3.00%,22%,1%,2%,0.59
RB,Jordan Howard,PHI,WAS,4200,3.00%,22%,1%,2%,0.52
RB,Peyton Barber,TB,SF,4000,3.00%,21%,1%,1%,0.43
DEF,Cincinnati Bengals,CIN,@SEA,2000,3.00%,24%,1%,1%,0.42
DEF,Tampa Bay Buccaneers,TB,SF,2200,0.50%,36%,6%,5%,10.71
DEF,San Francisco 49ers,SF,@TB,2200,0.50%,35%,6%,5%,10.36
WR,Marquise Goodwin,SF,@TB,4000,0.50%,30%,3%,4%,8.59
QB,Jacoby Brissett,IND,@LAC,4400,0.50%,38%,11%,4%,8.29
QB,Marcus Mariota,TEN,@CLE,5200,0.50%,36%,11%,4%,8.03
RB,Kenyan Drake,MIA,BAL,4700,0.50%,32%,3%,4%,7.73
WR,Jamison Crowder,NYJ,BUF,4100,0.50%,28%,3%,4%,7.7
WR,DK Metcalf,SEA,CIN,4000,0.50%,25%,3%,3%,6.28
WR,Quincy Enunwa,NYJ,BUF,3800,0.50%,26%,2%,3%,6.18
DEF,Tennessee Titans,TEN,@CLE,2600,0.50%,27%,3%,3%,6.07
DEF,Los Angeles Rams,LAR,@CAR,3200,0.50%,22%,3%,3%,5.99
WR,Michael Gallup,DAL,NYG,4300,0.50%,24%,2%,3%,5.99
