Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Deshaun Watson,HOU,NO,1,7,1.4,0.9
2,Patrick Mahomes,KC,JAC,1,23,3.0,2.1
3,Jameis Winston,TB,SF,1,12,4.2,2.1
4,Drew Brees,NO,HOU,1,14,4.5,2.2
5,Carson Wentz,PHI,WAS,1,12,5.2,1.9
6,Russell Wilson,SEA,CIN,1,28,7.7,3.4
7,Lamar Jackson,BAL,MIA,1,19,7.9,2.9
8,Baker Mayfield,CLE,TEN,2,20,8.2,3.0
9,Cam Newton,CAR,LAR,3,17,8.9,3.2
10,Dak Prescott,DAL,NYG,2,22,10.8,3.2
11,Aaron Rodgers,GB,CHI,3,22,10.9,3.4
12,Jared Goff,LAR,CAR,5,23,12.5,2.6
13,Kirk Cousins,MIN,ATL,6,24,14.1,3.7
14,Kyler Murray,ARI,DET,6,25,14.7,3.9
15,Tom Brady,NE,PIT,5,22,15.1,2.9
16,Ben Roethlisberger,PIT,NE,4,23,15.7,3.3
17,Philip Rivers,LAC,IND,7,26,16.9,3.2
18,Matt Ryan,ATL,MIN,6,23,17.1,3.3
19,Jimmy Garoppolo,SF,TB,3,26,17.4,3.7
20,Mitch Trubisky,CHI,GB,8,25,18.1,3.3
21,Matthew Stafford,DET,ARI,9,27,20.4,3.6
22,Josh Allen,BUF,NYJ,8,29,20.6,2.8
23,Nick Foles,JAC,KC,8,30,22.0,2.5
24,Jacoby Brissett,IND,LAC,17,31,25.0,1.9
25,Sam Darnold,NYJ,BUF,18,32,25.2,2.0
26,Joe Flacco,DEN,OAK,19,32,26.3,2.0
27,Derek Carr,OAK,DEN,17,32,26.6,2.4
28,Marcus Mariota,TEN,CLE,22,32,27.8,1.6
29,Andy Dalton,CIN,SEA,23,32,29.0,1.7
30,Eli Manning,NYG,DAL,22,34,29.3,1.3
31,Ryan Fitzpatrick,MIA,BAL,18,33,30.6,1.7
32,Case Keenum,WAS,PHI,24,34,31.4,1.4
33,Taysom Hill,NO,HOU,32,35,33.1,0.4
34,Josh Rosen,MIA,BAL,31,36,33.9,0.8
35,Dwayne Haskins,WAS,PHI,28,36,34.4,1.3
36,Ryan Tannehill,TEN,CLE,34,36,35.5,0.6
37,Daniel Jones,NYG,DAL,35,38,36.9,0.8
38,Blake Bortles,LAR,CAR,36,38,37.6,0.8
39,Tyrod Taylor,LAC,IND,37,40,38.8,1.0
40,Robert Griffin,BAL,MIA,37,42,40.0,1.3
