Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Travis Kelce,KC,JAC,1,12,1.3,0.6
2,George Kittle,SF,TB,1,15,2.0,0.8
3,Zach Ertz,PHI,WAS,1,16,3.0,0.8
4,O.J. Howard,TB,SF,1,9,4.5,0.9
5,Evan Engram,NYG,DAL,1,10,5.0,1.2
6,Hunter Henry,LAC,IND,2,9,5.5,0.9
7,Jared Cook,NO,HOU,3,11,7.0,1.0
8,Vance McDonald,PIT,NE,5,21,8.4,1.5
9,Delanie Walker,TEN,CLE,7,17,10.2,1.6
10,David Njoku,CLE,TEN,6,22,10.3,2.0
11,Austin Hooper,ATL,MIN,7,18,11.8,1.8
12,Mark Andrews,BAL,MIA,7,25,12.8,2.7
13,Darren Waller,OAK,DEN,5,38,13.8,4.1
14,Greg Olsen,CAR,LAR,9,26,14.3,2.5
15,Kyle Rudolph,MIN,ATL,6,26,15.2,3.1
16,Eric Ebron,IND,LAC,8,32,16.0,3.3
17,Jimmy Graham,GB,CHI,11,30,17.6,3.0
18,Jack Doyle,IND,LAC,12,36,18.3,3.3
19,Tyler Eifert,CIN,SEA,2,31,20.8,3.2
20,T.J. Hockenson,DET,ARI,9,30,19.6,3.2
21,Noah Fant,DEN,OAK,9,36,22.2,3.4
22,Dallas Goedert,PHI,WAS,13,40,22.6,3.3
23,Gerald Everett,LAR,CAR,16,36,24.8,2.8
24,Will Dissly,SEA,CIN,13,40,25.5,5.0
25,Jason Witten,DAL,NYG,16,37,25.9,3.6
26,Mike Gesicki,MIA,BAL,13,35,26.5,3.3
27,Geoff Swaim,JAC,KC,12,42,28.4,5.1
28,Cameron Brate,TB,SF,22,42,29.4,2.8
29,Vernon Davis,WAS,PHI,15,46,23.5,6.5
30,Hayden Hurst,BAL,MIA,25,48,32.2,4.5
31,C.J. Uzomah,CIN,SEA,18,48,32.0,3.5
32,Ian Thomas,CAR,LAR,25,43,33.9,2.8
33,Charles Clay,ARI,DET,26,50,34.6,3.0
34,Nick Vannett,SEA,CIN,17,48,33.0,4.1
35,Adam Shaheen,CHI,GB,14,49,28.0,7.8
36,Matt LaCosse,NE,PIT,20,89,35.1,11.3
37,Irv Smith Jr.,MIN,ATL,23,51,37.9,6.2
38,Jesse James,DET,ARI,24,47,37.6,4.1
39,Jordan Akins,HOU,NO,23,66,36.5,7.5
40,Blake Jarwin,DAL,NYG,16,48,39.3,3.4
41,Ryan Griffin,NYJ,BUF,30,60,38.4,6.1
42,Tyler Higbee,LAR,CAR,29,51,41.4,4.2
43,Dawson Knox,BUF,NYJ,26,65,43.2,8.3
44,Jonnu Smith,TEN,CLE,30,65,44.4,6.5
45,Jeff Heuerman,DEN,OAK,29,55,40.8,5.6
46,Josh Hill,NO,HOU,37,69,50.6,6.3
47,Demetrius Harris,CLE,TEN,35,64,50.6,4.9
48,Rhett Ellison,NYG,DAL,41,65,49.3,5.8
49,Darren Fells,HOU,NO,29,72,48.5,8.9
50,James O'Shaughnessy,JAC,KC,40,70,50.0,5.6
51,Jeremy Sprinkle,WAS,PHI,35,73,53.9,8.2
52,Nick O'Leary,MIA,BAL,32,61,53.3,4.1
53,Maxx Williams,ARI,DET,35,72,55.5,8.9
54,Xavier Grimble,PIT,NE,46,74,56.8,6.5
55,Blake Bell,KC,JAC,39,71,56.5,6.3
56,Ryan Izzo,MIN,ATL,34,73,50.7,12.8
57,Nick Boyle,BAL,MIA,40,76,58.0,9.9
58,Foster Moreau,OAK,DEN,47,71,56.9,5.5
59,Mo Alie-Cox,IND,LAC,41,80,62.1,7.9
60,Virgil Green,LAC,IND,39,68,60.4,5.0
61,Luke Stocker,ATL,MIN,39,76,60.5,6.7
62,Tyler Kroft,BUF,NYJ,27,71,53.8,7.7
63,Ben Braunecker,CHI,GB,29,69,54.9,9.7
64,Robert Tonyan,GB,CHI,27,71,56.0,9.6
65,Lee Smith,BUF,NYJ,28,70,57.5,7.8
66,Trevon Wesco,NYJ,BUF,50,79,63.7,6.9
67,Tommy Sweeney,BUF,NYJ,52,75,66.8,8.4
68,Daniel Brown,NYJ,BUF,27,81,62.4,8.0
69,Anthony Firkser,TEN,CLE,57,72,65.2,4.4
70,Derek Carrier,OAK,DEN,57,73,66.6,5.2
71,Dalton Schultz,DAL,NYG,62,77,67.9,4.6
72,Levine Toilolo,SF,TB,44,68,60.2,9.4
73,Logan Paulsen,HOU,NO,33,85,65.0,12.9
74,Ross Dwelley,SF,TB,52,76,70.5,5.1
75,Dan Arnold,NO,HOU,41,73,62.0,11.1
76,Drew Sample,CIN,SEA,61,83,69.4,7.3
77,Seth DeValve,JAC,KC,60,78,67.0,7.1
78,Austin Seferian-Jenkins,FA,,32,44,38.0,6.0
79,Marcedes Lewis,GB,CHI,62,79,69.4,6.3
80,Logan Thomas,DET,ARI,52,86,67.3,13.9
81,Zach Gentry,PIT,NE,61,84,74.5,5.4
82,Tyler Conklin,NE,PIT,67,88,76.5,6.9
83,Troy Fumagalli,DEN,OAK,70,79,73.5,3.8
84,Durham Smythe,MIA,BAL,51,99,75.3,19.6
85,Chris Manhertz,CAR,LAR,61,98,81.2,8.3
86,Deon Yelder,KC,JAC,61,97,79.0,18.0
87,MyCole Pruitt,TEN,CLE,75,82,78.5,3.5
88,Antony Auclair,TB,SF,77,100,88.5,11.5
89,Sean Culkin,LAC,IND,78,92,85.0,7.0
