Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,DeAndre Hopkins,HOU,NO,1,6,1.4,0.7
2,Michael Thomas,NO,HOU,1,5,2.2,0.9
3,Odell Beckham Jr.,CLE,TEN,1,17,4.2,2.0
4,Davante Adams,GB,CHI,1,35,4.3,1.7
5,Mike Evans,TB,SF,1,109,5.4,2.1
6,JuJu Smith-Schuster,PIT,NE,1,24,6.1,1.8
7,Julio Jones,ATL,MIN,2,22,6.2,2.0
8,Tyreek Hill,KC,JAC,1,26,8.8,2.3
9,Adam Thielen,MIN,ATL,2,25,9.6,2.3
10,Keenan Allen,LAC,IND,4,34,9.6,2.0
11,Amari Cooper,DAL,NYG,8,29,13.0,2.8
12,Tyler Lockett,SEA,CIN,2,32,13.1,2.9
13,Julian Edelman,NE,PIT,6,39,13.2,2.5
14,Chris Godwin,TB,SF,2,22,14.0,3.1
15,Brandin Cooks,LAR,CAR,9,42,15.3,2.3
16,Kenny Golladay,DET,ARI,7,43,15.9,3.6
17,Stefon Diggs,MIN,ATL,8,54,16.8,5.5
18,Robert Woods,LAR,CAR,8,56,17.6,3.2
19,Tyler Boyd,CIN,SEA,13,44,19.9,4.2
20,Cooper Kupp,LAR,CAR,14,34,20.7,2.8
21,Allen Robinson,CHI,GB,8,38,22.1,3.1
22,Alshon Jeffery,PHI,WAS,16,42,23.2,3.3
23,T.Y. Hilton,IND,LAC,13,37,23.7,3.7
24,Dede Westbrook,JAC,KC,13,46,24.1,4.4
25,D.J. Moore,CAR,LAR,8,37,25.0,3.7
26,Mike Williams,LAC,IND,16,63,26.1,3.4
27,Josh Gordon,NE,PIT,12,45,27.7,5.5
28,Marvin Jones,DET,ARI,14,55,29.0,4.5
29,Calvin Ridley,ATL,MIN,11,41,29.2,3.6
30,Will Fuller,HOU,NO,6,44,29.3,5.3
31,Jarvis Landry,CLE,TEN,19,71,31.4,3.9
32,Sterling Shepard,NYG,DAL,22,42,31.9,3.4
33,Dante Pettis,SF,TB,16,74,33.3,5.6
34,Curtis Samuel,CAR,LAR,18,49,35.0,4.4
35,Christian Kirk,ARI,DET,26,70,36.6,4.5
36,Robby Anderson,NYJ,BUF,23,57,37.0,5.2
37,Sammy Watkins,KC,JAC,18,67,38.0,5.8
38,Larry Fitzgerald,ARI,DET,9,63,38.4,4.0
39,Tyrell Williams,OAK,DEN,16,60,38.7,7.3
40,Corey Davis,TEN,CLE,22,68,39.2,5.1
41,DeSean Jackson,PHI,WAS,18,51,41.3,4.6
42,Emmanuel Sanders,DEN,OAK,27,66,41.5,6.5
43,Courtland Sutton,DEN,OAK,32,64,43.8,4.5
44,Geronimo Allison,GB,CHI,19,57,43.9,5.1
45,Michael Gallup,DAL,NYG,23,72,44.2,4.6
46,John Brown,BUF,NYJ,24,76,45.6,5.3
47,Jamison Crowder,NYJ,BUF,15,72,47.1,4.6
48,Donte Moncrief,PIT,NE,12,96,47.2,5.4
49,Anthony Miller,CHI,GB,32,93,48.1,5.2
50,Marquez Valdes-Scantling,GB,CHI,40,70,48.6,3.9
51,Albert Wilson,MIA,BAL,29,72,51.8,6.2
52,Marquise Goodwin,SF,TB,29,79,50.7,6.4
53,Mohamed Sanu,ATL,MIN,45,77,56.3,4.9
54,Tre'Quan Smith,NO,HOU,41,113,59.9,9.2
55,James Washington,PIT,NE,43,97,57.1,8.5
56,Adam Humphries,TEN,CLE,38,73,58.4,4.9
57,Ted Ginn,NO,HOU,48,108,63.5,9.3
58,Keke Coutee,HOU,NO,37,93,60.1,9.4
59,Zay Jones,BUF,NYJ,40,102,63.7,9.2
60,Devante Parker,MIA,BAL,31,85,61.7,6.6
61,Cole Beasley,BUF,NYJ,43,93,66.6,10.2
62,DaeSean Hamilton,DEN,OAK,43,94,64.3,7.2
63,D.K. Metcalf,SEA,CIN,38,99,63.4,9.0
64,Deebo Samuel,SF,TB,46,105,64.8,8.9
65,Quincy Enunwa,NYJ,BUF,32,90,66.2,7.2
