Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Michael Thomas,NO,ATL,1,2,1.0,0.0,24.2,0.0
2,Chris Godwin,TB,ARI,1,6,2.7,0.8,18.8,0.64
3,Tyreek Hill,KC,TEN,2,6,3.6,1.5,18.3,1.125
4,Cooper Kupp,LAR,PIT,2,8,4.3,1.1,17.6,0.605
5,Mike Evans,TB,ARI,2,17,5.3,1.4,17.5,0.98
6,Julio Jones,ATL,NO,2,8,5.3,1.5,17.1,1.125
7,Davante Adams,GB,CAR,4,13,7.3,1.5,16.9,0.5625
8,Amari Cooper,DAL,MIN,3,11,7.9,1.6,16.9,0.853333333333
9,Tyler Lockett,SEA,SF,6,14,9.7,1.5,16.8,0.375
10,Keenan Allen,LAC,OAK,7,20,10.0,1.2,16.5,0.205714285714
11,Stefon Diggs,MIN,DAL,5,13,10.5,1.6,16.4,0.512
12,Allen Robinson,CHI,DET,11,15,13.1,0.8,16.2,0.0581818181818
13,Emmanuel Sanders,SF,SEA,11,20,14.1,2.1,16.0,0.400909090909
14,Odell Beckham Jr.,CLE,BUF,14,19,15.7,1.4,15.9,0.14
15,John Brown,BUF,CLE,12,28,16.9,2.9,15.0,0.700833333333
16,Kenny Golladay,DET,CHI,8,40,17.0,7.8,14.6,7.605
17,Golden Tate,NYG,NYJ,10,24,17.7,3.9,14.4,1.521
18,Christian Kirk,ARI,TB,13,40,19.6,2.7,14.4,0.560769230769
19,Mike Williams,LAC,OAK,16,38,20.2,3.5,14.3,0.765625
20,D.J. Moore,CAR,GB,14,26,20.5,3.1,13.4,0.686428571429
21,JuJu Smith-Schuster,PIT,LAR,15,41,21.1,4.1,13.3,1.12066666667
22,Michael Gallup,DAL,MIN,13,28,21.3,2.3,13.2,0.406923076923
23,Calvin Ridley,ATL,NO,15,33,24.1,3.8,13.0,0.962666666667
24,Robert Woods,LAR,PIT,14,34,24.5,3.0,12.9,0.642857142857
25,Marvin Jones,DET,CHI,15,48,25.5,8.8,12.8,5.16266666667
26,Tyrell Williams,OAK,LAC,17,34,27.0,3.4,12.8,0.68
27,Devante Parker,MIA,IND,11,35,27.2,4.9,12.6,2.18272727273
28,Curtis Samuel,CAR,GB,22,35,28.0,2.1,12.6,0.200454545455
29,Zach Pascal,IND,MIA,11,34,28.0,3.6,12.6,1.17818181818
30,Marquise Brown,BAL,CIN,15,37,29.4,2.7,12.4,0.486
31,Sammy Watkins,KC,TEN,19,39,29.5,4.4,12.4,1.01894736842
32,Jamison Crowder,NYJ,NYG,23,34,29.9,3.5,12.4,0.532608695652
33,Jarvis Landry,CLE,BUF,23,36,32.1,3.7,12.3,0.595217391304
34,Tyler Boyd,CIN,BAL,25,39,33.8,3.6,12.0,0.5184
35,Larry Fitzgerald,ARI,TB,23,41,34.4,3.0,12.0,0.391304347826
36,A.J. Brown,TEN,KC,22,44,34.6,4.7,11.9,1.00409090909
37,D.K. Metcalf,SEA,SF,25,43,35.0,3.4,11.9,0.4624
38,Robby Anderson,NYJ,NYG,23,40,35.5,3.1,11.8,0.417826086957
39,Diontae Johnson,PIT,LAR,34,50,41.2,2.3,11.3,0.155588235294
40,Cole Beasley,BUF,CLE,37,47,42.6,1.9,11.2,0.0975675675676
41,Darius Slayton,NYG,NYJ,35,69,43.1,3.6,11.1,0.370285714286
42,Josh Reynolds,LAR,PIT,36,55,43.3,5.1,11.0,0.7225
43,Deebo Samuel,SF,SEA,38,49,44.8,3.2,10.9,0.269473684211
44,Auden Tate,CIN,BAL,33,56,45.3,4.5,10.6,0.613636363636
45,Danny Amendola,DET,CHI,37,60,45.4,4.9,10.6,0.648918918919
46,Hunter Renfrow,OAK,LAC,42,50,46.3,1.7,10.6,0.0688095238095
47,Demaryius Thomas,NYJ,NYG,39,54,47.4,3.2,10.3,0.262564102564
48,Adam Humphries,TEN,KC,41,56,48.1,3.3,10.2,0.265609756098
49,Ted Ginn,NO,ATL,35,57,48.9,4.7,10.0,0.631142857143
50,Chester Rogers,IND,MIA,42,66,50.2,4.9,9.9,0.571666666667
51,Taylor Gabriel,CHI,DET,37,62,51.0,4.1,9.7,0.454324324324
52,Olabisi Johnson,MIN,DAL,47,63,52.2,3.2,9.6,0.217872340426
53,Marquez Valdes-Scantling,GB,CAR,43,70,54.5,5.3,9.2,0.653255813953
54,Randall Cobb,DAL,MIN,49,65,56.7,3.3,8.7,0.222244897959
55,Josh Gordon,SEA,SF,40,70,60.3,5.1,8.7,0.65025
56,Anthony Miller,CHI,DET,49,69,57.6,4.8,8.6,0.470204081633
57,Russell Gage,ATL,NO,41,69,57.8,5.3,8.5,0.68512195122
58,James Washington,PIT,LAR,53,68,59.9,3.4,8.4,0.218113207547
59,Allen Lazard,GB,CAR,49,64,57.3,3.6,8.3,0.264489795918
60,Alex Erickson,CIN,BAL,36,73,59.0,9.0,8.0,2.25
61,Albert Wilson,MIA,IND,39,76,60.2,6.2,7.9,0.985641025641
62,Geronimo Allison,GB,CAR,55,75,63.4,4.9,7.8,0.436545454545
63,Zay Jones,OAK,LAC,52,74,62.9,4.5,7.8,0.389423076923
64,Willie Snead,BAL,CIN,59,72,62.9,3.2,7.8,0.173559322034
65,Mecole Hardman,KC,TEN,52,76,66.7,5.5,7.6,0.581730769231
66,Dante Pettis,SF,SEA,57,74,66.9,3.6,7.5,0.227368421053
67,Jakeem Grant,MIA,IND,46,79,64.8,5.5,7.5,0.657608695652
68,Demarcus Robinson,KC,TEN,56,73,68.4,2.6,7.5,0.120714285714
69,Allen Hurns,MIA,IND,56,80,68.8,5.7,7.3,0.580178571429
70,KeeSean Johnson,ARI,TB,67,79,71.8,3.2,6.9,0.152835820896
71,Tajae Sharpe,TEN,KC,52,78,70.7,6.8,6.7,0.889230769231
72,Laquon Treadwell,MIN,DAL,63,78,72.1,3.3,6.6,0.172857142857
73,Cody Latimer,NYG,NYJ,69,84,76.3,3.6,6.5,0.187826086957
74,Antonio Callaway,CLE,BUF,58,82,73.5,2.9,6.5,0.145
75,Tre'Quan Smith,NO,ATL,57,97,74.3,8.4,6.5,1.23789473684
76,Miles Boykin,BAL,CIN,67,85,79.2,4.4,6.5,0.288955223881
77,Breshad Perriman,TB,ARI,64,85,74.3,3.8,6.4,0.225625
78,Andy Isabella,ARI,TB,58,84,78.8,4.3,6.4,0.318793103448
79,David Moore,SEA,SF,65,89,79.3,4.4,6.3,0.297846153846
80,Jarius Wright,CAR,GB,71,85,78.4,2.2,6.3,0.0681690140845
81,Cordarrelle Patterson,CHI,DET,73,100,84.7,4.6,6.0,0.289863013699
82,Isaiah McKenzie,BUF,CLE,74,89,82.2,3.5,5.9,0.165540540541
83,Bennie Fowler,NYG,NYJ,73,91,81.0,5.2,5.8,0.370410958904
84,Kendrick Bourne,SF,SEA,74,89,83.1,2.8,5.7,0.105945945946
85,Jaron Brown,SEA,SF,66,107,87.5,7.7,5.6,0.898333333333
86,Pharoh Cooper,ARI,TB,77,99,88.9,4.4,5.6,0.251428571429
87,Tavon Austin,DAL,MIN,74,102,90.6,3.6,5.4,0.175135135135
88,Jake Kumerow,GB,CAR,82,97,88.8,2.6,5.4,0.0824390243902
89,Justin Hardy,ATL,NO,68,102,91.9,5.6,5.3,0.461176470588
90,Corey Davis,TEN,KC,38,121,58.8,29.0,5.3,22.1315789474
91,Seth Roberts,BAL,CIN,84,108,90.6,5.3,5.2,0.334404761905
92,Trent Sherfield,ARI,TB,76,98,91.1,4.1,5.2,0.221184210526
93,Trevor Davis,OAK,LAC,88,106,95.8,4.1,5.1,0.191022727273
94,Robert Foster,BUF,CLE,82,102,94.0,4.8,5.0,0.280975609756
95,Vyncint Smith,NYJ,NYG,87,103,97.0,2.9,4.9,0.0966666666667
96,Marvin Hall,DET,CHI,82,124,97.2,7.5,4.9,0.685975609756
97,Andre Patton,LAC,OAK,65,112,101.0,5.2,4.9,0.416
98,Austin Carr,NO,ATL,90,104,96.0,4.1,4.5,0.186777777778
99,Scott Miller,TB,ARI,94,112,100.6,4.2,4.5,0.187659574468
100,Rashard Higgins,CLE,BUF,91,101,96.5,2.2,4.3,0.0531868131868
101,Richie James,SF,SEA,88,106,99.3,4.6,4.3,0.240454545455
102,Ashton Dulin,IND,MIA,91,114,101.8,5.0,4.2,0.274725274725
103,Kalif Raymond,TEN,KC,55,106,97.8,7.9,4.1,1.13472727273
104,Marcell Ateman,OAK,LAC,96,117,105.9,5.4,4.0,0.30375
105,Damiere Byrd,ARI,TB,80,110,101.9,4.1,4.0,0.210125
106,Deon Cain,IND,MIA,66,103,78.8,11.3,4.0,1.9346969697
107,Deonte Harris,NO,ATL,93,112,105.1,3.9,3.9,0.163548387097
108,Johnny Holton,PIT,LAR,102,118,110.5,4.9,3.8,0.235392156863
109,Marquise Goodwin,SF,SEA,74,120,102.6,8.1,3.8,0.886621621622
110,Chris Moore,BAL,CIN,95,115,108.6,3.1,3.7,0.101157894737
111,Javon Wims,CHI,DET,99,113,107.7,2.8,3.7,0.0791919191919
112,Ryan Switzer,PIT,LAR,102,118,109.2,3.5,3.6,0.120098039216
113,Isaiah Ford,MIA,IND,103,111,109.0,2.2,3.5,0.0469902912621
114,Marcus Johnson,IND,MIA,80,123,103.6,15.4,3.5,2.9645
115,Malik Turner,SEA,SF,56,121,114.9,3.6,3.5,0.231428571429
116,Byron Pringle,KC,TEN,111,120,114.8,3.0,3.3,0.0810810810811
117,Andre Roberts,BUF,CLE,111,120,115.7,2.4,3.3,0.0518918918919
118,Braxton Berrios,NYJ,NYG,113,122,116.7,3.5,3.1,0.108407079646
119,Mike Thomas,LAR,PIT,91,93,92.0,1.0,2.9,0.010989010989
120,Khadarel Hodge,CLE,BUF,107,120,115.6,4.6,2.8,0.197757009346
121,Donte Moncrief,CAR,GB,109,120,115.5,4.7,2.8,0.202660550459
122,Brandon Zylstra,CAR,GB,111,124,120.8,2.5,2.7,0.0563063063063
123,Krishawn Hogan,NO,ATL,104,123,117.5,7.8,2.7,0.585
124,Justin Watson,TB,ARI,111,122,118.0,4.3,2.7,0.166576576577
125,Duke Williams,BUF,CLE,111,130,120.4,7.7,2.7,0.534144144144
126,Jason Moore,LAC,OAK,101,127,122.3,4.7,2.6,0.218712871287
127,Devin Smith,DAL,MIN,114,124,121.2,3.8,2.5,0.126666666667
128,Cedrick Wilson,DAL,MIN,117,128,125.0,3.2,2.0,0.0875213675214
129,Taywan Taylor,CLE,BUF,116,122,119.0,3.0,1.9,0.0775862068966
130,De'Anthony Thomas,BAL,CIN,119,126,123.3,3.1,1.8,0.080756302521
131,Riley Ridley,CHI,DET,123,127,125.0,2.0,1.5,0.0325203252033
132,Olamide Zaccheaus,ATL,NO,125,129,127.8,1.6,1.5,0.02048
133,DeAndrew White,CAR,GB,125,127,126.0,1.0,1.4,0.008
