Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1715099651,NFL $100K FREE 100th Season Contest,79801095,$0,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,1. Column A lists all of your contest entries for this draftgroup
1715099652,AutoNation Free Football Challenge,79913750,$0,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,2. Your current lineup is listed next to each entry (blank for reservations)
1715099653,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1715099654,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1715099655,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,5. For faster processing only include entries you are changing in the file you upload
1715099656,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,
1715099657,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1715099658,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Christian McCaffrey (13693749),Christian McCaffrey,13693749,RB/FLEX,10500,CAR@GB 11/10/2019 04:25PM ET,CAR,32.68
1715099659,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Saquon Barkley (13693751),Saquon Barkley,13693751,RB/FLEX,8800,NYG@NYJ 11/10/2019 01:00PM ET,NYG,19.15
1715099660,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Michael Thomas (13693915),Michael Thomas,13693915,WR/FLEX,8300,ATL@NO 11/10/2019 01:00PM ET,NO,24.45
1715099661,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Alvin Kamara (13693753),Alvin Kamara,13693753,RB/FLEX,8200,ATL@NO 11/10/2019 01:00PM ET,NO,18.40
1715099662,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Tyreek Hill (13693917),Tyreek Hill,13693917,WR/FLEX,7700,KC@TEN 11/10/2019 01:00PM ET,KC,17.82
1715099663,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Mike Evans (13693919),Mike Evans,13693919,WR/FLEX,7600,ARI@TB 11/10/2019 01:00PM ET,TB,23.4
1715099664,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Julio Jones (13693921),Julio Jones,13693921,WR/FLEX,7500,ATL@NO 11/10/2019 01:00PM ET,ATL,19.66
1715099665,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Aaron Jones (13693755),Aaron Jones,13693755,RB/FLEX,7400,CAR@GB 11/10/2019 04:25PM ET,GB,21.56
1715099666,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Chris Godwin (13693923),Chris Godwin,13693923,WR/FLEX,7400,ARI@TB 11/10/2019 01:00PM ET,TB,22.68
1715099667,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Lamar Jackson (13693697),Lamar Jackson,13693697,QB,7300,BAL@CIN 11/10/2019 01:00PM ET,BAL,27.65
