Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,5.7,73.4,0.5,0.1,13.2
Hunter Henry,LAC,5.5,68.8,0.6,0.1,13.0
Austin Hooper,ATL,5.9,62.7,0.5,0.1,12.0
Darren Waller,OAK,5.9,61.7,0.4,0.1,11.6
Mark Andrews,BAL,4.1,54.2,0.5,0.0,10.6
George Kittle,SF,5.0,59.6,0.3,0.1,10.1
Jared Cook,NO,3.1,37.3,0.4,0.0,7.6
Greg Olsen,CAR,3.8,46.3,0.2,0.0,7.6
Eric Ebron,IND,3.6,42.6,0.2,0.0,7.4
Jack Doyle,IND,4.3,41.7,0.2,0.1,7.3
Mike Gesicki,MIA,4.0,43.0,0.1,0.0,6.8
Gerald Everett,LAR,3.5,40.3,0.2,0.0,6.8
Jonnu Smith,TEN,3.4,39.8,0.1,0.0,6.5
Jason Witten,DAL,4.0,37.6,0.1,0.1,6.4
Vance McDonald,PIT,3.6,34.6,0.2,0.0,6.2
T.J. Hockenson,DET,3.1,37.7,0.1,0.0,5.9
Jimmy Graham,GB,2.9,31.9,0.2,0.0,5.6
Kyle Rudolph,MIN,3.2,30.3,0.1,0.0,5.5
O.J. Howard,TB,2.6,36.8,0.1,0.1,5.3
Irv Smith Jr.,MIN,3.0,30.9,0.1,0.0,5.1
Rhett Ellison,NYG,2.9,28.9,0.1,0.0,5.0
Chris Herndon IV,NYJ,2.3,28.5,0.1,0.0,4.8
Trey Burton,CHI,2.7,28.1,0.1,0.0,4.7
Ryan Griffin,NYJ,2.5,27.0,0.1,0.0,4.7
Tyler Eifert,CIN,2.5,27.6,0.1,0.0,4.5
Jacob Hollister,SEA,2.7,26.4,0.1,0.0,4.4
Demetrius Harris,CLE,2.3,21.7,0.1,0.0,4.2
Dawson Knox,BUF,2.3,25.4,0.1,0.0,4.2
Cameron Brate,TB,1.9,21.9,0.1,0.0,3.8
Ross Dwelley,SF,2.0,20.0,0.1,0.0,3.7
Hayden Hurst,BAL,1.9,21.8,0.1,0.0,3.6
Foster Moreau,OAK,2.0,20.4,0.1,0.0,3.6
Charles Clay,ARI,2.0,21.8,0.1,0.0,3.5
C.J. Uzomah,CIN,1.9,20.0,0.1,0.0,3.5
Tyler Kroft,BUF,2.0,20.8,0.1,0.0,3.4
Blake Jarwin,DAL,1.6,18.0,0.1,0.0,3.3
Josh Hill,NO,1.8,18.8,0.1,0.0,3.3
Nick Boyle,BAL,1.9,18.8,0.1,0.0,3.2
Tyler Higbee,LAR,1.8,18.6,0.1,0.0,3.2
Anthony Firkser,TEN,1.5,18.4,0.1,0.0,3.0
Maxx Williams,ARI,1.8,17.0,0.1,0.0,3.0
Ricky Seals-Jones,CLE,1.5,18.8,0.1,0.0,3.0
Adam Shaheen,CHI,1.5,15.3,0.1,0.0,2.7
Jesse James,DET,1.4,14.5,0.0,0.0,2.5
Ed Dickson,SEA,1.2,14.1,0.1,0.0,2.4
Dan Arnold,NO,1.3,13.8,0.1,0.0,2.4
Tanner Hudson,TB,1.2,13.1,0.1,0.0,2.4
Nick Vannett,PIT,1.3,13.0,0.0,0.0,2.2
Marcedes Lewis,GB,1.1,12.7,0.1,0.0,2.2
Logan Thomas,DET,1.4,13.2,0.0,0.0,2.1
Luke Willson,SEA,1.2,12.9,0.0,0.0,2.1
Kaden Smith,NYG,1.1,11.4,0.1,0.0,2.0
Mo Alie-Cox,IND,0.9,12.1,0.0,0.0,1.9
Luke Stocker,ATL,1.2,10.1,0.0,0.0,1.9
Virgil Green,LAC,0.9,10.2,0.0,0.0,1.6
Derek Carrier,OAK,1.0,9.7,0.0,0.0,1.6
Zach Gentry,PIT,0.7,6.2,0.1,0.0,1.6
Pharaoh Brown,CLE,0.8,8.8,0.0,0.0,1.5
Tommy Sweeney,BUF,0.7,7.0,0.1,0.0,1.4
Jace Sternberger,GB,0.7,7.4,0.0,0.0,1.3
Lee Smith,BUF,0.9,6.4,0.0,0.0,1.2
Blake Bell,KC,0.7,7.7,0.0,0.0,1.2
Levine Toilolo,SF,0.6,6.8,0.0,0.0,1.2
Ian Thomas,CAR,0.6,6.5,0.0,0.0,1.2
Jaeden Graham,ATL,0.6,7.0,0.0,0.0,1.1
Durham Smythe,MIA,0.6,7.4,0.0,0.0,1.1
Stephen Carlson,CLE,0.6,6.2,0.0,0.0,1.0
J.P. Holtz,CHI,0.6,6.8,0.0,0.0,1.0
Drew Sample,CIN,0.6,6.3,0.0,0.0,1.0
MyCole Pruitt,TEN,0.6,6.1,0.0,0.0,0.9
Jordan Leggett,TB,0.4,4.4,0.0,0.0,0.9
Deon Yelder,KC,0.4,4.4,0.0,0.0,0.8
Robert Tonyan,GB,0.5,5.9,0.0,0.0,0.8
Lance Kendricks,LAC,0.4,5.7,0.0,0.0,0.8
Ben Braunecker,CHI,0.5,5.5,0.0,0.0,0.8
Tyler Conklin,MIN,0.5,5.2,0.0,0.0,0.8
Dalton Schultz,DAL,0.5,4.9,0.0,0.0,0.7
Chris Manhertz,CAR,0.3,3.6,0.0,0.0,0.5
Johnny Mundt,LAR,0.3,3.2,0.0,0.0,0.5
Daniel Brown,NYJ,0.2,2.9,0.0,0.0,0.4
Trevon Wesco,NYJ,0.3,2.7,0.0,0.0,0.4
Clive Walford,MIA,0.2,2.3,0.0,0.0,0.4
Garrett Celek,SF,0.1,1.2,0.0,0.0,0.2
Darrell Daniels,ARI,0.1,1.4,0.0,0.0,0.2
Cethan Carter,CIN,0.1,0.8,0.0,0.0,0.1
