Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Michael Thomas,NO,9.0,103.0,0.8,0.1,0.6,0.0,0.1,19.5
Mike Evans,TB,6.2,98.3,0.7,0.1,0.3,0.0,0.1,16.8
Tyreek Hill,KC,5.9,91.8,0.7,0.9,5.5,0.0,0.1,16.7
Julio Jones,ATL,6.4,92.2,0.5,0.1,0.5,0.0,0.1,15.1
Chris Godwin,TB,6.0,83.6,0.6,0.1,0.9,0.0,0.1,15.1
Cooper Kupp,LAR,6.4,80.4,0.6,0.2,1.3,0.0,0.1,14.8
Davante Adams,GB,6.5,79.8,0.6,0.0,0.0,0.0,0.1,14.6
Keenan Allen,LAC,6.2,79.0,0.5,0.2,1.4,0.0,0.1,14.2
Amari Cooper,DAL,5.5,77.8,0.6,0.1,0.7,0.0,0.1,14.0
Stefon Diggs,MIN,5.7,80.4,0.5,0.4,2.4,0.0,0.1,14.0
Tyler Lockett,SEA,5.3,69.8,0.5,0.4,2.2,0.0,0.0,13.0
Kenny Golladay,DET,4.7,75.4,0.4,0.0,0.4,0.0,0.0,12.5
Allen Robinson,CHI,5.1,67.8,0.5,0.0,0.1,0.0,0.1,12.3
D.J. Moore,CAR,5.0,69.2,0.4,0.4,4.7,0.0,0.1,12.1
Odell Beckham Jr.,CLE,4.9,67.1,0.5,0.4,2.3,0.0,0.1,12.0
Golden Tate,NYG,5.7,64.6,0.4,0.4,3.1,0.0,0.1,11.9
Christian Kirk,ARI,5.3,63.1,0.4,0.6,4.7,0.0,0.1,11.9
Emmanuel Sanders,SF,5.0,62.7,0.5,0.1,1.0,0.0,0.0,11.9
John Brown,BUF,4.4,64.8,0.5,0.2,0.6,0.0,0.0,11.6
JuJu Smith-Schuster,PIT,4.8,63.6,0.5,0.1,0.9,0.0,0.0,11.4
Tyrell Williams,OAK,4.4,60.5,0.5,0.0,0.1,0.0,0.0,11.2
Michael Gallup,DAL,4.3,61.3,0.5,0.0,0.0,0.0,0.0,11.1
Zach Pascal,IND,4.1,54.0,0.5,0.3,2.3,0.0,0.0,10.6
Devante Parker,MIA,4.4,59.3,0.4,0.0,0.0,0.0,0.0,10.6
D.K. Metcalf,SEA,3.6,52.8,0.4,0.4,2.5,0.0,0.1,9.8
Curtis Samuel,CAR,4.0,54.5,0.2,0.7,6.7,0.1,0.0,9.8
Sammy Watkins,KC,4.3,58.8,0.3,0.1,0.4,0.0,0.1,9.8
Robert Woods,LAR,4.5,57.7,0.2,0.9,6.6,0.0,0.1,9.8
Mike Williams,LAC,3.7,61.3,0.3,0.2,1.2,0.0,0.0,9.7
Tyler Boyd,CIN,5.1,60.0,0.2,0.3,1.6,0.0,0.1,9.6
Jamison Crowder,NYJ,5.3,56.5,0.2,0.2,1.3,0.0,0.1,9.5
Marquise Brown,BAL,3.8,56.9,0.2,0.5,3.9,0.0,0.1,9.4
Calvin Ridley,ATL,4.3,56.1,0.3,0.2,0.9,0.0,0.0,9.3
Marvin Jones,DET,4.2,57.1,0.2,0.1,0.2,0.0,0.0,9.2
A.J. Brown,TEN,4.2,55.6,0.2,0.4,2.2,0.0,0.0,9.2
Jarvis Landry,CLE,4.5,56.4,0.2,0.3,2.1,0.0,0.1,9.0
Larry Fitzgerald,ARI,4.8,52.9,0.2,0.1,0.5,0.0,0.0,8.9
Robby Anderson,NYJ,3.6,54.3,0.2,0.1,0.7,0.0,0.0,8.5
Cole Beasley,BUF,4.4,44.7,0.2,0.1,0.5,0.0,0.0,7.9
Diontae Johnson,PIT,3.6,46.2,0.2,0.6,3.7,0.0,0.1,7.9
Ted Ginn,NO,3.3,48.8,0.2,0.4,3.0,0.0,0.0,7.8
Darius Slayton,NYG,3.2,43.2,0.2,0.4,2.8,0.0,0.0,7.4
Auden Tate,CIN,3.7,47.8,0.1,0.0,0.3,0.0,0.1,7.4
Josh Reynolds,LAR,3.2,42.5,0.2,0.3,2.0,0.0,0.0,7.2
Adam Humphries,TEN,3.9,41.0,0.2,0.2,1.0,0.0,0.0,7.0
Alex Erickson,CIN,3.5,43.1,0.1,0.4,2.2,0.0,0.1,6.9
Demaryius Thomas,NYJ,3.6,40.7,0.1,0.0,0.0,0.0,0.0,6.6
Deebo Samuel,SF,3.0,35.6,0.2,0.5,3.9,0.0,0.1,6.6
Chester Rogers,IND,3.3,37.2,0.2,0.2,1.1,0.0,0.0,6.5
Jakeem Grant,MIA,3.1,39.1,0.1,0.6,2.9,0.0,0.1,6.4
Randall Cobb,DAL,3.5,36.9,0.2,0.2,0.7,0.0,0.0,6.3
Danny Amendola,DET,3.7,39.6,0.1,0.0,0.1,0.0,0.0,6.3
Albert Wilson,MIA,3.1,34.4,0.1,0.3,1.5,0.0,0.0,5.9
Taylor Gabriel,CHI,2.8,33.5,0.2,0.3,2.0,0.0,0.0,5.9
Olabisi Johnson,MIN,2.8,34.6,0.1,0.1,1.0,0.0,0.0,5.7
Hunter Renfrow,OAK,3.1,33.7,0.1,0.2,1.3,0.0,0.0,5.7
Marquez Valdes-Scantling,GB,2.3,37.8,0.1,0.2,1.3,0.0,0.0,5.7
Allen Hurns,MIA,2.4,33.7,0.2,0.0,0.0,0.0,0.0,5.5
Anthony Miller,CHI,2.5,32.8,0.1,0.4,2.2,0.0,0.1,5.4
James Washington,PIT,2.3,32.9,0.1,0.0,0.0,0.0,0.0,5.0
Geronimo Allison,GB,2.4,29.8,0.1,0.1,0.8,0.0,0.1,4.9
Tajae Sharpe,TEN,2.1,28.6,0.1,0.1,0.7,0.0,0.0,4.8
Josh Gordon,SEA,2.0,31.5,0.1,0.0,0.0,0.0,0.0,4.7
Russell Gage,ATL,2.4,28.1,0.1,0.3,1.8,0.0,0.0,4.7
Willie Snead,BAL,2.3,28.7,0.1,0.1,0.6,0.0,0.0,4.6
Dante Pettis,SF,2.1,26.1,0.1,0.0,0.3,0.0,0.0,4.5
Mecole Hardman,KC,1.8,27.7,0.1,0.2,1.3,0.0,0.1,4.5
Zay Jones,OAK,2.3,25.3,0.1,0.2,1.1,0.0,0.0,4.4
Bennie Fowler,NYG,2.2,24.3,0.1,0.1,1.0,0.0,0.0,4.2
Breshad Perriman,TB,1.8,25.6,0.1,0.1,0.7,0.0,0.0,4.2
