Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Baltimore (BAL)BAL DST,BAL,CIN,1,6,1.3,0.5,9.0,0.25
2,Indianapolis (IND)IND DST,IND,MIA,1,5,2.2,0.8,8.8,0.64
3,New Orleans (NO)NO DST,NO,ATL,2,9,3.5,0.8,8.8,0.32
4,Buffalo (BUF)BUF DST,BUF,CLE,1,13,4.8,2.0,8.6,4.0
5,Chicago (CHI)CHI DST,CHI,DET,1,9,6.0,2.2,8.4,4.84
6,San Francisco (SF)SF DST,SF,SEA,2,12,6.2,2.1,8.0,2.205
7,Los Angeles (LAR)LAR DST,LAR,PIT,4,17,7.0,1.6,7.9,0.64
8,Cleveland (CLE)CLE DST,CLE,BUF,4,19,7.8,1.6,7.8,0.64
9,New York (NYG)NYG DST,NYG,NYJ,2,16,9.2,2.0,7.6,2.0
10,Kansas City (KC)KC DST,KC,TEN,4,18,11.3,2.8,7.6,1.96
11,Detroit (DET)DET DST,DET,CHI,7,17,11.8,2.1,7.4,0.63
12,Green Bay (GB)GB DST,GB,CAR,3,18,11.8,2.6,7.3,2.25333333333
13,Pittsburgh (PIT)PIT DST,PIT,LAR,7,19,12.1,2.4,7.1,0.822857142857
14,Dallas (DAL)DAL DST,DAL,MIN,5,17,13.7,1.6,7.1,0.512
15,New York (NYJ)NYJ DST,NYJ,NYG,9,24,15.1,2.5,7.0,0.694444444444
16,Los Angeles (LAC)LAC DST,LAC,OAK,8,22,15.9,2.7,7.0,0.91125
17,Tampa Bay (TB)TB DST,TB,ARI,11,20,16.9,2.2,7.0,0.44
18,Arizona (ARI)ARI DST,ARI,TB,9,20,17.5,1.7,7.0,0.321111111111
19,Minnesota (MIN)MIN DST,MIN,DAL,9,20,17.3,2.0,6.9,0.444444444444
20,Carolina (CAR)CAR DST,CAR,GB,16,22,20.4,0.9,6.6,0.050625
21,Seattle (SEA)SEA DST,SEA,SF,15,23,20.7,1.2,6.3,0.096
22,Tennessee (TEN)TEN DST,TEN,KC,15,24,22.2,0.9,6.2,0.054
23,Oakland (OAK)OAK DST,OAK,LAC,20,24,23.0,0.9,6.2,0.0405
24,Miami (MIA)MIA DST,MIA,IND,21,25,23.4,1.1,6.2,0.057619047619
25,Atlanta (ATL)ATL DST,ATL,NO,25,26,25.4,0.5,6.2,0.01
26,Cincinnati (CIN)CIN DST,CIN,BAL,24,26,25.6,0.6,6.1,0.015
