Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Christian McCaffrey,CAR,GB,1,1,1.0,0.0,22.1,0.0
2,Saquon Barkley,NYG,NYJ,2,6,2.7,0.7,20.3,0.245
3,Dalvin Cook,MIN,DAL,2,9,2.9,1.1,19.8,0.605
4,Ezekiel Elliott,DAL,MIN,2,7,3.7,0.6,18.9,0.18
5,Alvin Kamara,NO,ATL,3,10,5.3,0.8,17.9,0.213333333333
6,Aaron Jones,GB,CAR,4,14,6.5,1.2,16.1,0.36
7,Marlon Mack,IND,MIA,3,13,7.7,1.6,16.0,0.853333333333
8,Josh Jacobs,OAK,LAC,5,10,7.8,0.9,15.6,0.162
9,Nick Chubb,CLE,BUF,4,14,7.9,1.4,15.0,0.49
10,Derrick Henry,TEN,KC,7,13,10.2,1.2,14.4,0.205714285714
11,Mark Ingram,BAL,CIN,9,18,12.0,1.5,14.0,0.25
12,Chris Carson,SEA,SF,10,20,13.0,1.6,14.0,0.256
13,Le'Veon Bell,NYJ,NYG,7,17,13.3,2.1,13.7,0.63
14,David Montgomery,CHI,DET,10,21,13.7,2.2,13.1,0.484
15,Melvin Gordon,LAC,OAK,8,18,13.8,1.2,13.0,0.18
16,Jaylen Samuels,PIT,LAR,9,23,16.7,2.5,12.7,0.694444444444
17,Tevin Coleman,SF,SEA,14,24,17.7,2.1,12.7,0.315
18,Todd Gurley,LAR,PIT,11,25,18.2,1.7,12.4,0.262727272727
19,Devin Singletary,BUF,CLE,12,23,18.6,1.4,12.3,0.163333333333
20,Austin Ekeler,LAC,OAK,17,24,20.3,1.6,12.2,0.150588235294
21,David Johnson,ARI,TB,13,28,20.8,2.5,11.8,0.480769230769
22,Ronald Jones II,TB,ARI,15,27,21.9,2.0,11.5,0.266666666667
23,Devonta Freeman,ATL,NO,15,26,22.6,1.8,11.4,0.216
24,Damien Williams,KC,TEN,18,27,23.5,1.6,10.8,0.142222222222
25,Latavius Murray,NO,ATL,17,34,25.0,2.4,10.0,0.338823529412
26,Joe Mixon,CIN,BAL,22,30,26.5,1.5,10.0,0.102272727273
27,Matt Breida,SF,SEA,18,33,26.7,1.5,9.9,0.125
28,Jamaal Williams,GB,CAR,23,32,27.0,1.2,9.4,0.0626086956522
29,Kenyan Drake,ARI,TB,26,35,29.0,1.1,9.4,0.0465384615385
30,Kalen Ballage,MIA,IND,27,34,30.8,1.1,9.2,0.0448148148148
31,Ty Johnson,DET,CHI,26,35,31.0,1.6,8.9,0.0984615384615
32,Tarik Cohen,CHI,DET,29,36,31.6,1.2,8.7,0.0496551724138
33,Frank Gore,BUF,CLE,27,39,33.7,1.9,8.7,0.133703703704
34,LeSean McCoy,KC,TEN,29,44,34.2,2.5,8.6,0.215517241379
35,Kareem Hunt,CLE,BUF,30,49,35.8,2.0,8.6,0.133333333333
36,J.D. McKissic,DET,CHI,33,41,36.8,2.0,8.3,0.121212121212
37,Darrell Henderson,LAR,PIT,32,42,37.7,1.6,8.1,0.08
38,Trey Edmunds,PIT,LAR,32,43,38.0,2.9,8.0,0.2628125
39,Nyheim Hines,IND,MIA,33,46,38.6,2.5,8.0,0.189393939394
