Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Pittsburgh (PIT)PIT DST,PIT,CIN,1,1,1.0,0.0,9.3,0.0
2,Buffalo (BUF)BUF DST,BUF,DEN,2,8,3.0,1.1,9.2,0.605
3,New Orleans (NO)NO DST,NO,CAR,2,7,3.3,1.1,9.0,0.605
4,Chicago (CHI)CHI DST,CHI,NYG,2,8,3.5,1.1,8.8,0.605
5,Cleveland (CLE)CLE DST,CLE,MIA,2,19,5.5,1.9,8.7,1.805
6,Atlanta (ATL)ATL DST,ATL,TB,4,10,6.3,1.1,8.3,0.3025
7,Baltimore (BAL)BAL DST,BAL,LAR,3,14,7.5,2.5,8.3,2.08333333333
8,New England (NE)NE DST,NE,DAL,4,13,7.6,1.7,8.1,0.7225
9,Detroit (DET)DET DST,DET,WAS,6,19,9.0,1.4,8.0,0.326666666667
10,Denver (DEN)DEN DST,DEN,BUF,5,21,10.8,2.6,8.0,1.352
11,Oakland (OAK)OAK DST,OAK,NYJ,8,15,11.8,1.4,7.9,0.245
12,San Francisco (SF)SF DST,SF,GB,9,18,12.1,1.9,7.7,0.401111111111
13,Jacksonville (JAC)JAC DST,JAC,TEN,8,19,13.3,2.0,7.6,0.5
14,Tennessee (TEN)TEN DST,TEN,JAC,7,28,13.8,3.8,7.6,2.06285714286
15,Washington (WAS)WAS DST,WAS,DET,11,23,14.8,2.2,7.4,0.44
16,New York (NYG)NYG DST,NYG,CHI,9,18,15.1,1.6,7.1,0.284444444444
17,Houston (HOU)HOU DST,HOU,IND,15,21,18.3,1.4,6.7,0.130666666667
18,New York (NYJ)NYJ DST,NYJ,OAK,10,26,19.9,3.3,6.6,1.089
19,Los Angeles (LAR)LAR DST,LAR,BAL,12,24,20.1,2.6,6.6,0.563333333333
20,Seattle (SEA)SEA DST,SEA,PHI,10,24,20.3,2.3,6.6,0.529
21,Green Bay (GB)GB DST,GB,SF,13,25,20.4,2.9,6.5,0.646923076923
22,Indianapolis (IND)IND DST,IND,HOU,15,25,20.4,2.1,6.5,0.294
23,Philadelphia (PHI)PHI DST,PHI,SEA,15,26,21.9,2.1,6.1,0.294
24,Miami (MIA)MIA DST,MIA,CLE,14,28,24.1,2.0,5.9,0.285714285714
25,Dallas (DAL)DAL DST,DAL,NE,8,28,24.8,2.1,5.9,0.55125
26,Cincinnati (CIN)CIN DST,CIN,PIT,14,28,25.3,2.5,5.9,0.446428571429
27,Carolina (CAR)CAR DST,CAR,NO,20,28,26.3,1.4,5.8,0.098
28,Tampa Bay (TB)TB DST,TB,ATL,20,28,26.9,2.0,5.5,0.2
