Jaeden Graham,1.5,ATL
Luke Stocker,0.75,ATL
Brandon Powell,0.0001,ATL
Isaiah McKenzie,1.5,BUF
Tommy Sweeney,0.0001,BUF
Duke Williams,0.0001,BUF
Jarius Wright,1.33,CAR
Brandon Zylstra,0.0001,CAR
Ben Braunecker,1.2,CHI
Anthony Miller,1.33,CHI
Riley Ridley,0.0001,CHI
Adam Shaheen,0.0001,CHI
Bradley Sowell,0.0001,CHI
Drew Sample,0.0001,CIN
Pharaoh Brown,0.0001,CLE
Taywan Taylor,0.0001,CLE
Rashard Higgins,1.25,CLE
Juwann Winfree,0.0001,DEN
DaeSean Hamilton,1.7,DEN
Keelan Cole,1.25,JAC
Clive Walford,0.0001,MIA
Phillip Dorsett,0.0001,NE
Jakobi Meyers,1.33,NE
N'Keal Harry,1.25,NE
Mohamed Sanu,0.0001,NE
Dan Arnold,0.0001,NO
Deonte Harris,0.0001,NO
Tre'Quan Smith,1.33,NO
Ted Ginn,1.2,NO
Rhett Ellison,0.0001,NYG
Evan Engram,0.0001,NYG
Bennie Fowler,0.0001,NYG
Darius Slayton,1.2,NYG
Sterling Shepard,1.2,NYG
Kaden Smith,1.75,NYG
Scott Simonson,1.75,NYG
Robby Anderson,1.2,NYJ
Keelan Doss,0.0001,OAK
Hunter Renfrow,0.85,OAK
Zay Jones,1.4,OAK
Nelson Agholor,0.0001,PHI
Alshon Jeffery,0.0001,PHI
Jordan Matthews,2,PHI
J.J. Arcega-Whiteside,2.3,PHI
Mack Hollins,2,PHI
James Conner,0.0001,PIT
Zach Gentry,0.0001,PIT
JuJu Smith-Schuster,0.0001,PIT
Tevin Jones,2,PIT
Johnny Holton,2,PIT
Jaron Brown,0.0001,SEA
John Ursua,0.0001,SEA
Luke Willson,0.0001,SEA
C.J. Prosise,0.0001,SEA
Jordan Leggett,0.0001,TB
Scott Miller,1.25,TB
Breshad Perriman,1.33,TB
Delanie Walker,2,TEN
Jonnu Smith,1.2,TEN
Cam Sims,0.0001,WAS
Chris Thompson,0.0001,WAS
Paul Richardson,2.5,WAS
Kelvin Harmon,1.5,WAS
Trey Quinn,1.5,WAS
