Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Zach Ertz,PHI,SEA,1,4,1.3,0.7,13.0,0.49
2,Darren Waller,OAK,NYJ,1,4,2.3,0.6,11.4,0.36
3,Mark Andrews,BAL,LAR,1,6,3.4,0.7,11.2,0.49
4,George Kittle,SF,GB,1,35,4.4,3.1,11.0,9.61
5,Jared Cook,NO,CAR,2,28,4.9,1.0,10.9,0.5
6,Greg Olsen,CAR,NO,4,10,6.2,1.2,8.8,0.36
7,Ryan Griffin,NYJ,OAK,5,15,8.0,1.6,8.0,0.512
8,Dallas Goedert,PHI,SEA,4,13,8.3,1.6,7.9,0.64
9,Jacob Hollister,SEA,PHI,6,29,9.1,2.0,7.7,0.666666666667
10,Vance McDonald,PIT,CIN,4,15,9.3,1.9,7.5,0.9025
11,Gerald Everett,LAR,BAL,7,18,11.1,1.8,7.5,0.462857142857
12,Eric Ebron,IND,HOU,6,17,11.8,1.9,7.3,0.601666666667
13,Noah Fant,DEN,BUF,7,20,12.2,1.8,7.0,0.462857142857
14,Jack Doyle,IND,HOU,10,22,14.6,1.4,6.9,0.196
15,Cameron Brate,TB,ATL,11,25,15.3,2.4,6.6,0.523636363636
16,Mike Gesicki,MIA,CLE,11,24,15.9,1.2,6.6,0.130909090909
17,Darren Fells,HOU,IND,7,24,18.8,1.9,6.5,0.515714285714
18,Jason Witten,DAL,NE,13,23,19.0,1.7,6.5,0.222307692308
19,Jimmy Graham,GB,SF,15,25,19.0,2.2,6.4,0.322666666667
20,T.J. Hockenson,DET,WAS,8,26,18.6,3.1,6.2,1.20125
21,Dawson Knox,BUF,DEN,11,27,21.9,2.8,5.8,0.712727272727
22,Tyler Eifert,CIN,PIT,17,25,22.0,1.7,5.4,0.17
23,Benjamin Watson,NE,DAL,15,26,22.0,2.2,5.4,0.322666666667
24,Jonnu Smith,TEN,JAC,12,35,22.9,4.5,5.3,1.6875
25,O.J. Howard,TB,ATL,11,35,26.1,4.0,5.2,1.45454545455
26,Ross Dwelley,SF,GB,20,52,29.2,7.5,5.2,2.8125
27,Nick Boyle,BAL,LAR,25,34,28.8,3.2,5.1,0.4096
28,Jordan Akins,HOU,IND,25,34,29.2,2.4,5.0,0.2304
29,Ben Braunecker,CHI,NYG,25,34,29.7,2.6,5.0,0.2704
30,Jeremy Sprinkle,WAS,DET,24,37,30.5,2.6,5.0,0.281666666667
31,Demetrius Harris,CLE,MIA,24,35,30.2,3.0,4.7,0.375
32,Foster Moreau,OAK,NYJ,25,37,31.3,2.3,4.6,0.2116
