Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Christian McCaffrey,CAR,WAS,1,1,1.0,0.0,24.5,0.0
2,Dalvin Cook,MIN,SEA,2,5,2.4,0.7,21.9,0.245
3,Ezekiel Elliott,DAL,BUF,2,5,3.1,0.6,21.7,0.18
4,Alvin Kamara,NO,ATL,2,5,3.7,0.8,19.0,0.32
5,Saquon Barkley,NYG,GB,4,11,5.9,1.2,18.7,0.36
6,Le'Veon Bell,NYJ,CIN,5,15,6.6,1.6,17.8,0.512
7,Leonard Fournette,JAC,TB,4,20,8.4,1.9,17.2,0.9025
8,Josh Jacobs,OAK,KC,5,14,8.4,1.8,16.8,0.648
9,Derrick Henry,TEN,IND,3,15,8.5,2.5,16.2,2.08333333333
10,Aaron Jones,GB,NYG,6,12,8.7,1.2,15.6,0.24
11,Nick Chubb,CLE,PIT,6,16,10.7,1.1,15.6,0.201666666667
12,Jonathan Williams,IND,TEN,11,27,13.0,3.2,15.5,0.930909090909
13,Melvin Gordon,LAC,DEN,8,21,13.8,1.1,15.5,0.15125
14,Todd Gurley,LAR,ARI,8,20,13.8,2.1,15.4,0.55125
15,Miles Sanders,PHI,MIA,8,24,15.6,2.8,14.6,0.98
16,Phillip Lindsay,DEN,LAC,9,18,16.1,1.9,14.6,0.401111111111
17,Mark Ingram,BAL,SF,14,20,16.3,1.5,14.4,0.160714285714
18,Chris Carson,SEA,MIN,14,40,19.4,2.0,13.5,0.285714285714
19,Austin Ekeler,LAC,DEN,12,25,20.3,2.9,13.4,0.700833333333
20,Joe Mixon,CIN,NYJ,16,34,20.4,2.9,13.2,0.525625
21,Devin Singletary,BUF,DAL,18,29,20.9,2.1,13.1,0.245
22,Ronald Jones II,TB,JAC,10,28,22.1,2.8,12.8,0.784
23,David Montgomery,CHI,DET,18,28,22.7,2.0,12.5,0.222222222222
24,Kenyan Drake,ARI,LAR,11,28,23.3,3.2,12.1,0.930909090909
25,Tevin Coleman,SF,BAL,18,41,24.8,4.1,12.0,0.933888888889
26,Benny Snell Jr.,PIT,CLE,23,36,27.5,2.5,11.9,0.271739130435
27,James White,NE,HOU,26,36,29.2,2.8,11.4,0.301538461538
28,Tarik Cohen,CHI,DET,21,35,29.5,3.1,11.2,0.457619047619
29,Jamaal Williams,GB,NYG,22,38,30.6,3.5,11.1,0.556818181818
30,Sony Michel,NE,HOU,27,35,30.6,2.2,11.0,0.179259259259
31,LeSean McCoy,KC,OAK,14,41,31.1,4.9,10.7,1.715
32,Kareem Hunt,CLE,PIT,18,37,31.5,2.1,10.6,0.245
