Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Travis Kelce,KC,OAK,1,4,1.0,0.0,17.4,0.0
2,George Kittle,SF,BAL,1,5,3.0,0.9,15.9,0.81
3,Zach Ertz,PHI,MIA,2,11,3.3,2.0,14.6,2.0
4,Hunter Henry,LAC,DEN,2,6,3.9,1.3,13.5,0.845
5,Darren Waller,OAK,KC,2,7,4.4,0.7,13.4,0.245
6,Mark Andrews,BAL,SF,5,10,6.8,1.1,13.3,0.242
7,Jared Cook,NO,ATL,5,11,7.1,1.5,10.4,0.45
8,Greg Olsen,CAR,WAS,7,14,8.3,1.3,10.3,0.241428571429
9,Jack Doyle,IND,TEN,4,14,9.8,1.3,9.7,0.4225
10,Ryan Griffin,NYJ,CIN,6,16,9.8,1.2,9.9,0.24
11,Dallas Goedert,PHI,MIA,4,17,10.3,2.1,9.4,1.1025
12,Jacob Hollister,SEA,MIN,10,15,12.0,0.8,9.0,0.064
13,Noah Fant,DEN,LAC,8,23,14.0,1.5,8.5,0.28125
14,Kyle Rudolph,MIN,SEA,11,21,14.0,2.0,8.2,0.363636363636
15,Mike Gesicki,MIA,PHI,10,20,14.4,1.5,8.2,0.225
16,Tyler Higbee,LAR,ARI,5,27,15.7,4.2,8.0,3.528
17,Vance McDonald,PIT,CLE,14,25,17.9,1.5,7.7,0.160714285714
18,Jason Witten,DAL,BUF,15,24,19.3,2.0,7.6,0.266666666667
19,Jimmy Graham,GB,NYG,16,25,19.6,2.3,7.6,0.330625
20,Dawson Knox,BUF,DAL,14,26,21.4,1.8,7.3,0.231428571429
21,Darren Fells,HOU,NE,17,29,21.9,2.9,7.0,0.494705882353
22,Jonnu Smith,TEN,IND,15,29,21.5,4.1,6.7,1.12066666667
23,Tyler Eifert,CIN,NYJ,19,29,24.8,1.8,6.6,0.170526315789
24,T.J. Hockenson,DET,CHI,18,27,22.1,2.2,6.5,0.268888888889
25,Irv Smith Jr.,MIN,SEA,15,31,23.7,3.2,6.4,0.682666666667
26,Jaeden Graham,ATL,NO,18,32,26.2,3.1,6.3,0.533888888889
27,Benjamin Watson,NE,HOU,20,33,27.4,2.7,5.9,0.3645
28,O.J. Howard,TB,JAC,24,33,28.8,1.6,5.6,0.106666666667
29,Cameron Brate,TB,JAC,22,36,29.8,3.8,5.6,0.656363636364
30,Jordan Akins,HOU,NE,21,36,32.2,2.0,5.6,0.190476190476
31,Nick Boyle,BAL,SF,18,36,29.9,2.0,5.4,0.222222222222
32,Jeremy Sprinkle,WAS,CAR,30,39,34.0,2.0,4.9,0.133333333333
33,Kaden Smith,NYG,GB,15,39,28.2,6.3,5.5,2.646
