Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
1760223700,Straight Cash Free Contest Series presented by Straight Talk Wireless,81518983,$0 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1760223701,AutoNation Free Football Challenge,81518990,$0 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1760223722,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1760223723,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1760223724,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1760223725,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,,,,,,,,,
1760223726,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1760223727,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,RB,Christian McCaffrey (13837299),Christian McCaffrey,13837299,RB/FLEX,10500,WAS@CAR 12/01/2019 01:00PM ET,CAR,32.54
1760223728,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,WR,Tyreek Hill (13837485),Tyreek Hill,13837485,WR/FLEX,8900,OAK@KC 12/01/2019 04:25PM ET,KC,17.87
1760223729,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,RB,Nick Chubb (13837301),Nick Chubb,13837301,RB/FLEX,7800,CLE@PIT 12/01/2019 01:00PM ET,CLE,19.83
1760223730,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,WR,Chris Godwin (13837487),Chris Godwin,13837487,WR/FLEX,7700,TB@JAX 12/01/2019 01:00PM ET,TB,22.63
1760223731,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,RB,Derrick Henry (13837303),Derrick Henry,13837303,RB/FLEX,7600,TEN@IND 12/01/2019 01:00PM ET,TEN,19.13
1760223732,NFL $200K First Down [20 Entry Max],81602417,$1 ,Patrick Mahomes (13837241),Giovani Bernard (13837385),Christian McCaffrey (13837299),Mecole Hardman (13837569),DJ Moore (13837497),Demarcus Robinson (13837597),Travis Kelce (13837751),Ryquell Armstead (13837373),Raiders (13837934),,RB,Leonard Fournette (13837305),Leonard Fournette,13837305,RB/FLEX,7500,TB@JAX 12/01/2019 01:00PM ET,JAX,19.66
