Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Christian McCaffrey,CAR,WAS,Sun 01:00 EST,RB,23.10%,11000,RB,19.30%,10500
Travis Kelce,KC,OAK,Sun 04:25 EST,TE,22.80%,7100,TE,20.90%,7200
Le'Veon Bell,NYJ,CIN,Sun 01:00 EST,RB,21.10%,7300,RB,17.10%,7200
Davante Adams,GB,NYG,Sun 01:00 EST,WR,21.10%,8000,WR,21.70%,7000
Miles Sanders,PHI,MIA,Sun 01:00 EST,RB,21.10%,5800,RB,17.40%,5400
Mike Evans,TB,JAC,Sun 01:00 EST,WR,20.10%,7700,WR,19.90%,6900
D.J. Moore,CAR,WAS,Sun 01:00 EST,WR,20.10%,6800,WR,18.10%,6800
Patrick Mahomes,KC,OAK,Sun 04:25 EST,QB,18.90%,8600,QB,20.30%,7400
Leonard Fournette,JAC,TB,Sun 01:00 EST,RB,18.80%,7600,RB,15.30%,7500
Jonathan Williams,IND,TEN,Sun 01:00 EST,RB,17.80%,6800,RB,17.90%,5300
Jameis Winston,TB,JAC,Sun 01:00 EST,QB,16.20%,7600,QB,16.00%,6300
Derrick Henry,TEN,IND,Sun 01:00 EST,RB,15.40%,8600,RB,13.00%,7600
Lamar Jackson,BAL,SF,Sun 01:00 EST,QB,15.30%,8700,QB,15.50%,7000
Tyler Boyd,CIN,NYJ,Sun 01:00 EST,WR,14.60%,6000,WR,14.50%,5500
Jamaal Williams,GB,NYG,Sun 01:00 EST,RB,14.50%,5600,RB,14.30%,4500
D.J. Chark,JAC,TB,Sun 01:00 EST,WR,14.20%,6900,WR,13.60%,6600
Sammy Watkins,KC,OAK,Sun 04:25 EST,WR,13.70%,6100,WR,13.90%,5400
Aaron Jones,GB,NYG,Sun 01:00 EST,RB,13.60%,8000,RB,12.90%,6800
Jack Doyle,IND,TEN,Sun 01:00 EST,TE,12.60%,5000,TE,18.00%,3300
DeVante Parker,MIA,PHI,Sun 01:00 EST,WR,12.30%,6000,WR,11.80%,5700
Chris Godwin,TB,JAC,Sun 01:00 EST,WR,12.30%,8200,WR,11.80%,7700
Cooper Kupp,LA,ARI,Sun 04:05 EST,WR,12.20%,7800,WR,12.40%,7100
Aaron Rodgers,GB,NYG,Sun 01:00 EST,QB,11.50%,8100,QB,11.70%,6500
Christian Kirk,ARI,LA,Sun 04:05 EST,WR,11.40%,6100,WR,10.80%,5700
LeSean McCoy,KC,OAK,Sun 04:25 EST,RB,11.20%,5800,RB,10.60%,4800
Phillip Lindsay,DEN,LAC,Sun 04:25 EST,RB,11.00%,6300,RB,10.90%,5000
Saquon Barkley,NYG,GB,Sun 01:00 EST,RB,10.90%,7600,RB,8.90%,7400
Darren Waller,OAK,KC,Sun 04:25 EST,TE,10.30%,6100,TE,10.70%,5500
Dede Westbrook,JAC,TB,Sun 01:00 EST,WR,10.10%,5700,WR,10.90%,5000
